EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106714) of UNITED KINGDOM, LERWICK (STAID: 348)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   348,106714,20010101,   44,    0
   348,106714,20010102,   61,    0
   348,106714,20010103,   72,    0
   348,106714,20010104,   56,    0
   348,106714,20010105,   57,    0
   348,106714,20010106,   50,    0
   348,106714,20010107,   50,    0
   348,106714,20010108,   45,    0
   348,106714,20010109,   22,    0
   348,106714,20010110,   26,    0
   348,106714,20010111,   30,    0
   348,106714,20010112,   30,    0
   348,106714,20010113,   30,    0
   348,106714,20010114,   38,    0
   348,106714,20010115,   43,    0
   348,106714,20010116,   47,    0
   348,106714,20010117,   46,    0
   348,106714,20010118,   34,    0
   348,106714,20010119,   32,    0
   348,106714,20010120,   37,    0
   348,106714,20010121,   39,    0
   348,106714,20010122,   40,    0
   348,106714,20010123,   58,    0
   348,106714,20010124,   61,    0
   348,106714,20010125,   52,    0
   348,106714,20010126,   52,    0
   348,106714,20010127,   56,    0
   348,106714,20010128,   47,    0
   348,106714,20010129,   48,    0
   348,106714,20010130,   32,    0
   348,106714,20010131,   37,    0
   348,106714,20010201,   32,    0
   348,106714,20010202,   24,    0
   348,106714,20010203,  -11,    0
   348,106714,20010204,  -42,    0
   348,106714,20010205,  -22,    0
   348,106714,20010206,  -20,    0
   348,106714,20010207,    5,    0
   348,106714,20010208,  -12,    0
   348,106714,20010209,    6,    0
   348,106714,20010210,    2,    0
   348,106714,20010211,   50,    0
   348,106714,20010212,   64,    0
   348,106714,20010213,   68,    0
   348,106714,20010214,   68,    0
   348,106714,20010215,   60,    0
   348,106714,20010216,   37,    0
   348,106714,20010217,   54,    0
   348,106714,20010218,   56,    0
   348,106714,20010219,   59,    0
   348,106714,20010220,   64,    0
   348,106714,20010221,   36,    0
   348,106714,20010222,    3,    0
   348,106714,20010223,    4,    0
   348,106714,20010224,   -2,    0
   348,106714,20010225,   -6,    0
   348,106714,20010226,  -13,    0
   348,106714,20010227,  -16,    0
   348,106714,20010228,  -10,    0
   348,106714,20010301,  -14,    0
   348,106714,20010302,  -18,    0
   348,106714,20010303,  -11,    0
   348,106714,20010304,   -4,    0
   348,106714,20010305,   20,    0
   348,106714,20010306,   60,    0
   348,106714,20010307,   52,    0
   348,106714,20010308,   54,    0
   348,106714,20010309,   60,    0
   348,106714,20010310,   65,    0
   348,106714,20010311,   70,    0
   348,106714,20010312,   44,    0
   348,106714,20010313,   51,    0
   348,106714,20010314,   36,    0
   348,106714,20010315,   22,    0
   348,106714,20010316,   16,    0
   348,106714,20010317,   24,    0
   348,106714,20010318,   30,    0
   348,106714,20010319,   24,    0
   348,106714,20010320,   21,    0
   348,106714,20010321,   18,    0
   348,106714,20010322,   18,    0
   348,106714,20010323,   28,    0
   348,106714,20010324,   27,    0
   348,106714,20010325,   29,    0
   348,106714,20010326,   24,    0
   348,106714,20010327,   24,    0
   348,106714,20010328,   27,    0
   348,106714,20010329,   30,    0
   348,106714,20010330,   39,    0
   348,106714,20010331,   56,    0
   348,106714,20010401,   64,    0
   348,106714,20010402,   65,    0
   348,106714,20010403,   62,    0
   348,106714,20010404,   60,    0
   348,106714,20010405,   54,    0
   348,106714,20010406,   40,    0
   348,106714,20010407,   54,    0
   348,106714,20010408,   56,    0
   348,106714,20010409,   46,    0
   348,106714,20010410,   54,    0
   348,106714,20010411,   33,    0
   348,106714,20010412,   18,    0
   348,106714,20010413,   36,    0
   348,106714,20010414,   62,    0
