EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106717) of UNITED KINGDOM, WADDINGTON (STAID: 351)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   351,106717,20010101,   26,    0
   351,106717,20010102,   70,    0
   351,106717,20010103,   46,    0
   351,106717,20010104,   48,    0
   351,106717,20010105,   30,    0
   351,106717,20010106,   37,    0
   351,106717,20010107,   38,    0
   351,106717,20010108,   52,    0
   351,106717,20010109,   16,    0
   351,106717,20010110,   24,    0
   351,106717,20010111,   38,    0
   351,106717,20010112,   42,    0
   351,106717,20010113,   28,    0
   351,106717,20010114,   12,    0
   351,106717,20010115,   12,    0
   351,106717,20010116,   -9,    0
   351,106717,20010117,  -28,    0
   351,106717,20010118,  -29,    0
   351,106717,20010119,  -12,    0
   351,106717,20010120,   -8,    0
   351,106717,20010121,    0,    0
   351,106717,20010122,   28,    0
   351,106717,20010123,   66,    0
   351,106717,20010124,   53,    0
   351,106717,20010125,   54,    0
   351,106717,20010126,   49,    0
   351,106717,20010127,   36,    0
   351,106717,20010128,   22,    0
   351,106717,20010129,   24,    0
   351,106717,20010130,   14,    0
   351,106717,20010131,   26,    0
   351,106717,20010201,    4,    0
   351,106717,20010202,   16,    0
   351,106717,20010203,   61,    0
   351,106717,20010204,   40,    0
   351,106717,20010205,   52,    0
   351,106717,20010206,   68,    0
   351,106717,20010207,   90,    0
   351,106717,20010208,   38,    0
   351,106717,20010209,   17,    0
   351,106717,20010210,   52,    0
   351,106717,20010211,   78,    0
   351,106717,20010212,   70,    0
   351,106717,20010213,   53,    0
   351,106717,20010214,   42,    0
   351,106717,20010215,   48,    0
   351,106717,20010216,   54,    0
   351,106717,20010217,   32,    0
   351,106717,20010218,   26,    0
   351,106717,20010219,   26,    0
   351,106717,20010220,   38,    0
   351,106717,20010221,   58,    0
   351,106717,20010222,   64,    0
   351,106717,20010223,   36,    0
   351,106717,20010224,   21,    0
   351,106717,20010225,   10,    0
   351,106717,20010226,   35,    0
   351,106717,20010227,   28,    0
   351,106717,20010228,   22,    0
   351,106717,20010301,   10,    0
   351,106717,20010302,    4,    0
   351,106717,20010303,    4,    0
   351,106717,20010304,    2,    0
   351,106717,20010305,   10,    0
   351,106717,20010306,   42,    0
   351,106717,20010307,   82,    0
   351,106717,20010308,   76,    0
   351,106717,20010309,   90,    0
   351,106717,20010310,  108,    0
   351,106717,20010311,   99,    0
   351,106717,20010312,   57,    0
   351,106717,20010313,   50,    0
   351,106717,20010314,   56,    0
   351,106717,20010315,   52,    0
   351,106717,20010316,   52,    0
   351,106717,20010317,   32,    0
   351,106717,20010318,   26,    0
   351,106717,20010319,   30,    0
   351,106717,20010320,   11,    0
   351,106717,20010321,   20,    0
   351,106717,20010322,   34,    0
   351,106717,20010323,   61,    0
   351,106717,20010324,   54,    0
   351,106717,20010325,   45,    0
   351,106717,20010326,   34,    0
   351,106717,20010327,   42,    0
   351,106717,20010328,   66,    0
   351,106717,20010329,   56,    0
   351,106717,20010330,   83,    0
   351,106717,20010331,  105,    0
   351,106717,20010401,  112,    0
   351,106717,20010402,  126,    0
   351,106717,20010403,   89,    0
   351,106717,20010404,   68,    0
   351,106717,20010405,   70,    0
   351,106717,20010406,   91,    0
   351,106717,20010407,   58,    0
   351,106717,20010408,   64,    0
   351,106717,20010409,   98,    0
   351,106717,20010410,   80,    0
   351,106717,20010411,   72,    0
   351,106717,20010412,   66,    0
   351,106717,20010413,   50,    0
   351,106717,20010414,   62,    0
   351,106717,20010415,   91,    0
   351,106717,20010416,   62,    0
   351,106717,20010417,   52,    0
   351,106717,20010418,   38,    0
   351,106717,20010419,   40,    0
   351,106717,20010420,   55,    0
   351,106717,20010421,   50,    0
   351,106717,20010422,   68,    0
   351,106717,20010423,   84,    0
   351,106717,20010424,   58,    0
   351,106717,20010425,   84,    0
   351,106717,20010426,   90,    0
   351,106717,20010427,   90,    0
   351,106717,20010428,   96,    0
   351,106717,20010429,   77,    0
   351,106717,20010430,   77,    0
   351,106717,20010501,   88,    0
   351,106717,20010502,   89,    0
   351,106717,20010503,  108,    0
   351,106717,20010504,   64,    0
   351,106717,20010505,   72,    0
   351,106717,20010506,   78,    0
   351,106717,20010507,   78,    0
   351,106717,20010508,   91,    0
   351,106717,20010509,  104,    0
   351,106717,20010510,  144,    0
   351,106717,20010511,  154,    0
   351,106717,20010512,  140,    0
   351,106717,20010513,  148,    0
   351,106717,20010514,  125,    0
   351,106717,20010515,  106,    0
   351,106717,20010516,  122,    0
   351,106717,20010517,  107,    0
   351,106717,20010518,  106,    0
   351,106717,20010519,  108,    0
   351,106717,20010520,  132,    0
   351,106717,20010521,  140,    0
   351,106717,20010522,  137,    0
   351,106717,20010523,  134,    0
   351,106717,20010524,  137,    0
   351,106717,20010525,  136,    0
   351,106717,20010526,  166,    0
   351,106717,20010527,  168,    0
   351,106717,20010528,  193,    0
   351,106717,20010529,  158,    0
   351,106717,20010530,  156,    0
   351,106717,20010531,  132,    0
   351,106717,20010601,  134,    0
   351,106717,20010602,  115,    0
   351,106717,20010603,  104,    0
   351,106717,20010604,  126,    0
   351,106717,20010605,  134,    0
   351,106717,20010606,  141,    0
   351,106717,20010607,  106,    0
   351,106717,20010608,   94,    0
   351,106717,20010609,  106,    0
   351,106717,20010610,  106,    0
   351,106717,20010611,  104,    0
   351,106717,20010612,  130,    0
   351,106717,20010613,  145,    0
   351,106717,20010614,  164,    0
   351,106717,20010615,  158,    0
   351,106717,20010616,  130,    0
   351,106717,20010617,  112,    0
   351,106717,20010618,  114,    0
   351,106717,20010619,  154,    0
   351,106717,20010620,  162,    0
   351,106717,20010621,  117,    0
   351,106717,20010622,  126,    0
   351,106717,20010623,  134,    0
   351,106717,20010624,  170,    0
   351,106717,20010625,  202,    0
   351,106717,20010626,  196,    0
   351,106717,20010627,  197,    0
   351,106717,20010628,  178,    0
   351,106717,20010629,  186,    0
   351,106717,20010630,  171,    0
   351,106717,20010701,  184,    0
   351,106717,20010702,  206,    0
   351,106717,20010703,  214,    0
   351,106717,20010704,  210,    0
   351,106717,20010705,  200,    0
   351,106717,20010706,  196,    0
   351,106717,20010707,  182,    0
   351,106717,20010708,  168,    0
   351,106717,20010709,  167,    0
   351,106717,20010710,  174,    0
   351,106717,20010711,  142,    0
   351,106717,20010712,  148,    0
   351,106717,20010713,  144,    0
   351,106717,20010714,  134,    0
   351,106717,20010715,  120,    0
   351,106717,20010716,  140,    0
   351,106717,20010717,  154,    0
   351,106717,20010718,  138,    0
   351,106717,20010719,  136,    0
   351,106717,20010720,  138,    0
   351,106717,20010721,  160,    0
   351,106717,20010722,  176,    0
   351,106717,20010723,  188,    0
   351,106717,20010724,  172,    0
   351,106717,20010725,  188,    0
   351,106717,20010726,  180,    0
   351,106717,20010727,  204,    0
   351,106717,20010728,  209,    0
   351,106717,20010729,  240,    0
   351,106717,20010730,  205,    0
   351,106717,20010731,  184,    0
   351,106717,20010801,  178,    0
   351,106717,20010802,  153,    0
   351,106717,20010803,  185,    0
   351,106717,20010804,  161,    0
   351,106717,20010805,  158,    0
   351,106717,20010806,  152,    0
   351,106717,20010807,  162,    0
   351,106717,20010808,  151,    0
   351,106717,20010809,  158,    0
   351,106717,20010810,  138,    0
   351,106717,20010811,  150,    0
   351,106717,20010812,  187,    0
   351,106717,20010813,  200,    0
   351,106717,20010814,  210,    0
   351,106717,20010815,  228,    0
   351,106717,20010816,  182,    0
   351,106717,20010817,  168,    0
   351,106717,20010818,  181,    0
   351,106717,20010819,  193,    0
   351,106717,20010820,  178,    0
   351,106717,20010821,  170,    0
   351,106717,20010822,  196,    0
   351,106717,20010823,  195,    0
   351,106717,20010824,  203,    0
   351,106717,20010825,  208,    0
   351,106717,20010826,  188,    0
   351,106717,20010827,  150,    0
   351,106717,20010828,  156,    0
   351,106717,20010829,  158,    0
   351,106717,20010830,  150,    0
   351,106717,20010831,  152,    0
   351,106717,20010901,  152,    0
   351,106717,20010902,  168,    0
   351,106717,20010903,  152,    0
   351,106717,20010904,  122,    0
   351,106717,20010905,  131,    0
   351,106717,20010906,  145,    0
   351,106717,20010907,  152,    0
   351,106717,20010908,  136,    0
   351,106717,20010909,  114,    0
   351,106717,20010910,  124,    0
   351,106717,20010911,  140,    0
   351,106717,20010912,  142,    0
   351,106717,20010913,  122,    0
   351,106717,20010914,  130,    0
   351,106717,20010915,  122,    0
   351,106717,20010916,  114,    0
   351,106717,20010917,  103,    0
   351,106717,20010918,  120,    0
   351,106717,20010919,  122,    0
   351,106717,20010920,  134,    0
   351,106717,20010921,  118,    0
   351,106717,20010922,  120,    0
   351,106717,20010923,  111,    0
   351,106717,20010924,  131,    0
   351,106717,20010925,  122,    0
   351,106717,20010926,  114,    0
   351,106717,20010927,  138,    0
   351,106717,20010928,  168,    0
   351,106717,20010929,  157,    0
   351,106717,20010930,  144,    0
   351,106717,20011001,  152,    0
   351,106717,20011002,  152,    0
   351,106717,20011003,  143,    0
   351,106717,20011004,  138,    0
   351,106717,20011005,  156,    0
   351,106717,20011006,  148,    0
   351,106717,20011007,  137,    0
   351,106717,20011008,  136,    0
   351,106717,20011009,  132,    0
   351,106717,20011010,  130,    0
   351,106717,20011011,  150,    0
   351,106717,20011012,  152,    0
   351,106717,20011013,  154,    0
   351,106717,20011014,  147,    0
   351,106717,20011015,  160,    0
   351,106717,20011016,  112,    0
   351,106717,20011017,  125,    0
   351,106717,20011018,  147,    0
   351,106717,20011019,  104,    0
   351,106717,20011020,  134,    0
   351,106717,20011021,  114,    0
   351,106717,20011022,  124,    0
   351,106717,20011023,  134,    0
   351,106717,20011024,  130,    0
