EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106718) of UNITED KINGDOM, CAMBORNE (STAID: 352)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   352,106718,20010101,   84,    0
   352,106718,20010102,   90,    0
   352,106718,20010103,   71,    0
   352,106718,20010104,   86,    0
   352,106718,20010105,   66,    0
   352,106718,20010106,   73,    0
   352,106718,20010107,   63,    0
   352,106718,20010108,   59,    0
   352,106718,20010109,   54,    0
   352,106718,20010110,   44,    0
   352,106718,20010111,   52,    0
   352,106718,20010112,   55,    0
   352,106718,20010113,   58,    0
   352,106718,20010114,   38,    0
   352,106718,20010115,   28,    0
   352,106718,20010116,   41,    0
   352,106718,20010117,   48,    0
   352,106718,20010118,   54,    0
   352,106718,20010119,   52,    0
   352,106718,20010120,   70,    0
   352,106718,20010121,   78,    0
   352,106718,20010122,   92,    0
   352,106718,20010123,   96,    0
   352,106718,20010124,   78,    0
   352,106718,20010125,   60,    0
   352,106718,20010126,   54,    0
   352,106718,20010127,   64,    0
   352,106718,20010128,   50,    0
   352,106718,20010129,   62,    0
   352,106718,20010130,   78,    0
   352,106718,20010131,   84,    0
   352,106718,20010201,   74,    0
   352,106718,20010202,   85,    0
   352,106718,20010203,   88,    0
   352,106718,20010204,   92,    0
   352,106718,20010205,   98,    0
   352,106718,20010206,   89,    0
   352,106718,20010207,   98,    0
   352,106718,20010208,   66,    0
   352,106718,20010209,   56,    0
   352,106718,20010210,   68,    0
   352,106718,20010211,  112,    0
   352,106718,20010212,   84,    0
   352,106718,20010213,   62,    0
   352,106718,20010214,   64,    0
   352,106718,20010215,   62,    0
   352,106718,20010216,   70,    0
   352,106718,20010217,   62,    0
   352,106718,20010218,   45,    0
   352,106718,20010219,   54,    0
   352,106718,20010220,   64,    0
   352,106718,20010221,   90,    0
   352,106718,20010222,   88,    0
   352,106718,20010223,   77,    0
   352,106718,20010224,   50,    0
   352,106718,20010225,   42,    0
   352,106718,20010226,   48,    0
   352,106718,20010227,   38,    0
   352,106718,20010228,   42,    0
   352,106718,20010301,   22,    0
   352,106718,20010302,   19,    0
   352,106718,20010303,   18,    0
   352,106718,20010304,   20,    0
   352,106718,20010305,   44,    0
   352,106718,20010306,   84,    0
   352,106718,20010307,  107,    0
   352,106718,20010308,  103,    0
   352,106718,20010309,  105,    0
   352,106718,20010310,  113,    0
   352,106718,20010311,  112,    0
   352,106718,20010312,   65,    0
   352,106718,20010313,   78,    0
   352,106718,20010314,   90,    0
   352,106718,20010315,   92,    0
   352,106718,20010316,  100,    0
   352,106718,20010317,   87,    0
   352,106718,20010318,   54,    0
   352,106718,20010319,   36,    0
   352,106718,20010320,   78,    0
   352,106718,20010321,   91,    0
   352,106718,20010322,  106,    0
   352,106718,20010323,  107,    0
   352,106718,20010324,  102,    0
   352,106718,20010325,   72,    0
   352,106718,20010326,   78,    0
   352,106718,20010327,   79,    0
   352,106718,20010328,   76,    0
   352,106718,20010329,   80,    0
   352,106718,20010330,   85,    0
   352,106718,20010331,  104,    0
   352,106718,20010401,  107,    0
   352,106718,20010402,  107,    0
   352,106718,20010403,   88,    0
   352,106718,20010404,   80,    0
   352,106718,20010405,   93,    0
   352,106718,20010406,  104,    0
   352,106718,20010407,   75,    0
   352,106718,20010408,   90,    0
   352,106718,20010409,  106,    0
   352,106718,20010410,  100,    0
   352,106718,20010411,   92,    0
   352,106718,20010412,   74,    0
   352,106718,20010413,   98,    0
   352,106718,20010414,  100,    0
   352,106718,20010415,  101,    0
   352,106718,20010416,   83,    0
   352,106718,20010417,   73,    0
   352,106718,20010418,   76,    0
   352,106718,20010419,   61,    0
   352,106718,20010420,   66,    0
   352,106718,20010421,   72,    0
   352,106718,20010422,   86,    0
   352,106718,20010423,   88,    0
   352,106718,20010424,  100,    0
   352,106718,20010425,   92,    0
   352,106718,20010426,   92,    0
   352,106718,20010427,   94,    0
   352,106718,20010428,  100,    0
   352,106718,20010429,   74,    0
   352,106718,20010430,   70,    0
   352,106718,20010501,   96,    0
   352,106718,20010502,   87,    0
   352,106718,20010503,  104,    0
   352,106718,20010504,   94,    0
   352,106718,20010505,   95,    0
   352,106718,20010506,   91,    0
   352,106718,20010507,   86,    0
   352,106718,20010508,  101,    0
   352,106718,20010509,   95,    0
   352,106718,20010510,  136,    0
   352,106718,20010511,  150,    0
   352,106718,20010512,  140,    0
   352,106718,20010513,  128,    0
   352,106718,20010514,  117,    0
   352,106718,20010515,  117,    0
   352,106718,20010516,  123,    0
   352,106718,20010517,   88,    0
   352,106718,20010518,  102,    0
   352,106718,20010519,  112,    0
   352,106718,20010520,  114,    0
   352,106718,20010521,  130,    0
   352,106718,20010522,  134,    0
   352,106718,20010523,  146,    0
   352,106718,20010524,  163,    0
   352,106718,20010525,  142,    0
   352,106718,20010526,  150,    0
   352,106718,20010527,  138,    0
   352,106718,20010528,  146,    0
   352,106718,20010529,  132,    0
   352,106718,20010530,  130,    0
   352,106718,20010531,  130,    0
   352,106718,20010601,  130,    0
   352,106718,20010602,  134,    0
   352,106718,20010603,  116,    0
   352,106718,20010604,  118,    0
   352,106718,20010605,  136,    0
   352,106718,20010606,  138,    0
   352,106718,20010607,  119,    0
   352,106718,20010608,  102,    0
   352,106718,20010609,  116,    0
   352,106718,20010610,  118,    0
   352,106718,20010611,  116,    0
   352,106718,20010612,  122,    0
   352,106718,20010613,  134,    0
   352,106718,20010614,  134,    0
   352,106718,20010615,  148,    0
   352,106718,20010616,  143,    0
   352,106718,20010617,  136,    0
   352,106718,20010618,  126,    0
   352,106718,20010619,  151,    0
   352,106718,20010620,  148,    0
   352,106718,20010621,  142,    0
   352,106718,20010622,  138,    0
   352,106718,20010623,  150,    0
   352,106718,20010624,  168,    0
   352,106718,20010625,  188,    0
   352,106718,20010626,  181,    0
   352,106718,20010627,  172,    0
   352,106718,20010628,  172,    0
   352,106718,20010629,  172,    0
   352,106718,20010630,  156,    0
   352,106718,20010701,  168,    0
   352,106718,20010702,  180,    0
   352,106718,20010703,  174,    0
   352,106718,20010704,  178,    0
   352,106718,20010705,  162,    0
   352,106718,20010706,  167,    0
   352,106718,20010707,  156,    0
   352,106718,20010708,  154,    0
   352,106718,20010709,  160,    0
   352,106718,20010710,  155,    0
   352,106718,20010711,  147,    0
   352,106718,20010712,  142,    0
   352,106718,20010713,  140,    0
   352,106718,20010714,  128,    0
   352,106718,20010715,  127,    0
   352,106718,20010716,  124,    0
   352,106718,20010717,  138,    0
   352,106718,20010718,  132,    0
   352,106718,20010719,  144,    0
   352,106718,20010720,  129,    0
   352,106718,20010721,  154,    0
   352,106718,20010722,  164,    0
   352,106718,20010723,  152,    0
   352,106718,20010724,  146,    0
   352,106718,20010725,  143,    0
   352,106718,20010726,  158,    0
   352,106718,20010727,  194,    0
   352,106718,20010728,  198,    0
   352,106718,20010729,  179,    0
   352,106718,20010730,  178,    0
   352,106718,20010731,  176,    0
   352,106718,20010801,  170,    0
   352,106718,20010802,  180,    0
   352,106718,20010803,  158,    0
   352,106718,20010804,  146,    0
   352,106718,20010805,  166,    0
   352,106718,20010806,  178,    0
   352,106718,20010807,  165,    0
   352,106718,20010808,  156,    0
   352,106718,20010809,  152,    0
   352,106718,20010810,  144,    0
   352,106718,20010811,  161,    0
   352,106718,20010812,  178,    0
   352,106718,20010813,  169,    0
   352,106718,20010814,  180,    0
   352,106718,20010815,  160,    0
   352,106718,20010816,  158,    0
   352,106718,20010817,  150,    0
   352,106718,20010818,  175,    0
   352,106718,20010819,  174,    0
   352,106718,20010820,  166,    0
   352,106718,20010821,  165,    0
   352,106718,20010822,  152,    0
   352,106718,20010823,  183,    0
   352,106718,20010824,  162,    0
   352,106718,20010825,  168,    0
   352,106718,20010826,  168,    0
   352,106718,20010827,  164,    0
   352,106718,20010828,  160,    0
   352,106718,20010829,  152,    0
   352,106718,20010830,  162,    0
   352,106718,20010831,  160,    0
   352,106718,20010901,  152,    0
   352,106718,20010902,  175,    0
   352,106718,20010903,  155,    0
   352,106718,20010904,  160,    0
   352,106718,20010905,  148,    0
   352,106718,20010906,  158,    0
   352,106718,20010907,  146,    0
   352,106718,20010908,  160,    0
   352,106718,20010909,  141,    0
   352,106718,20010910,  142,    0
   352,106718,20010911,  140,    0
   352,106718,20010912,  144,    0
   352,106718,20010913,  151,    0
   352,106718,20010914,  145,    0
   352,106718,20010915,  146,    0
   352,106718,20010916,  144,    0
   352,106718,20010917,  146,    0
   352,106718,20010918,  136,    0
   352,106718,20010919,  145,    0
   352,106718,20010920,  146,    0
   352,106718,20010921,  131,    0
   352,106718,20010922,  136,    0
   352,106718,20010923,  136,    0
   352,106718,20010924,  129,    0
   352,106718,20010925,  129,    0
   352,106718,20010926,  148,    0
   352,106718,20010927,  156,    0
   352,106718,20010928,  168,    0
   352,106718,20010929,  152,    0
   352,106718,20010930,  148,    0
   352,106718,20011001,  162,    0
   352,106718,20011002,  131,    0
   352,106718,20011003,  140,    0
   352,106718,20011004,  140,    0
   352,106718,20011005,  150,    0
   352,106718,20011006,  148,    0
   352,106718,20011007,  135,    0
   352,106718,20011008,  126,    0
   352,106718,20011009,  132,    0
   352,106718,20011010,  126,    0
   352,106718,20011011,  156,    0
   352,106718,20011012,  167,    0
   352,106718,20011013,  170,    0
   352,106718,20011014,  150,    0
   352,106718,20011015,  150,    0
   352,106718,20011016,  138,    0
   352,106718,20011017,  146,    0
   352,106718,20011018,  144,    0
   352,106718,20011019,  143,    0
   352,106718,20011020,  124,    0
   352,106718,20011021,  118,    0
   352,106718,20011022,  120,    0
   352,106718,20011023,  143,    0
   352,106718,20011024,  132,    0
   352,106718,20011025,  139,    0
   352,106718,20011026,  135,    0
   352,106718,20011027,  130,    0
   352,106718,20011028,  142,    0
   352,106718,20011029,  134,    0
   352,106718,20011030,  134,    0
   352,106718,20011031,  113,    0
   352,106718,20011101,  104,    0
   352,106718,20011102,  108,    0
   352,106718,20011103,   96,    0
   352,106718,20011104,   98,    0
   352,106718,20011105,  118,    0
   352,106718,20011106,  115,    0
   352,106718,20011107,  131,    0
   352,106718,20011108,   88,    0
   352,106718,20011109,   53,    0
   352,106718,20011110,   80,    0
   352,106718,20011111,  109,    0
   352,106718,20011112,  118,    0
   352,106718,20011113,   82,    0
   352,106718,20011114,   74,    0
   352,106718,20011115,   66,    0
   352,106718,20011116,   82,    0
   352,106718,20011117,  104,    0
   352,106718,20011118,   80,    0
   352,106718,20011119,   84,    0
   352,106718,20011120,   81,    0
   352,106718,20011121,  100,    0
   352,106718,20011122,  118,    0
   352,106718,20011123,  102,    0
   352,106718,20011124,  108,    0
   352,106718,20011125,  112,    0
   352,106718,20011126,   77,    0
   352,106718,20011127,   84,    0
   352,106718,20011128,  100,    0
   352,106718,20011129,  118,    0
   352,106718,20011130,  124,    0
   352,106718,20011201,   85,    0
   352,106718,20011202,   62,    0
   352,106718,20011203,   76,    0
   352,106718,20011204,  104,    0
   352,106718,20011205,  104,    0
   352,106718,20011206,   96,    0
   352,106718,20011207,  104,    0
   352,106718,20011208,  104,    0
   352,106718,20011209,   83,    0
   352,106718,20011210,   92,    0
   352,106718,20011211,   92,    0
   352,106718,20011212,   72,    0
   352,106718,20011213,   71,    0
   352,106718,20011214,   54,    0
