EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106935) of UNITED KINGDOM, ASKHAM BRYAN (STAID: 1632)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1632,106935,20010101,   36,    0
  1632,106935,20010102,   48,    0
  1632,106935,20010103,   40,    0
  1632,106935,20010104,   45,    0
  1632,106935,20010105,   21,    0
  1632,106935,20010106,   35,    0
  1632,106935,20010107,   54,    0
  1632,106935,20010108,   54,    0
  1632,106935,20010109,   20,    0
  1632,106935,20010110,   19,    0
  1632,106935,20010111,   35,    0
  1632,106935,20010112,   44,    0
  1632,106935,20010113,   34,    0
  1632,106935,20010114,  -10,    0
  1632,106935,20010115,   -2,    0
  1632,106935,20010116,   -2,    0
  1632,106935,20010117,   -1,    0
  1632,106935,20010118,   -2,    0
  1632,106935,20010119,   -4,    0
  1632,106935,20010120,   12,    0
  1632,106935,20010121,    8,    0
  1632,106935,20010122,   39,    0
  1632,106935,20010123,   60,    0
  1632,106935,20010124,   64,    0
  1632,106935,20010125,   51,    0
  1632,106935,20010126,   54,    0
  1632,106935,20010127,   52,    0
  1632,106935,20010128,   30,    0
  1632,106935,20010129,   28,    0
  1632,106935,20010130,   12,    0
  1632,106935,20010131,   34,    0
  1632,106935,20010201,    2,    0
  1632,106935,20010202,   20,    0
  1632,106935,20010203,   44,    0
  1632,106935,20010204,   34,    0
  1632,106935,20010205,   43,    0
  1632,106935,20010206,   64,    0
  1632,106935,20010207,   86,    0
  1632,106935,20010208,   18,    0
  1632,106935,20010209,   12,    0
  1632,106935,20010210,   38,    0
  1632,106935,20010211,   57,    0
  1632,106935,20010212,   75,    0
  1632,106935,20010213,   40,    0
  1632,106935,20010214,   -6,    0
  1632,106935,20010215,   27,    0
  1632,106935,20010216,   55,    0
  1632,106935,20010217,   37,    0
  1632,106935,20010218,   40,    0
  1632,106935,20010219,   40,    0
  1632,106935,20010220,   48,    0
  1632,106935,20010221,   60,    0
  1632,106935,20010222,   67,    0
  1632,106935,20010223,   33,    0
  1632,106935,20010224,   15,    0
  1632,106935,20010225,   10,    0
  1632,106935,20010226,   31,    0
  1632,106935,20010227,   18,    0
  1632,106935,20010228,   14,    0
  1632,106935,20010301,    4,    0
  1632,106935,20010302,   -3,    0
  1632,106935,20010303,   -7,    0
  1632,106935,20010304,   -1,    0
  1632,106935,20010305,   17,    0
  1632,106935,20010306,   46,    0
  1632,106935,20010307,   89,    0
  1632,106935,20010308,   71,    0
  1632,106935,20010309,   88,    0
  1632,106935,20010310,  106,    0
  1632,106935,20010311,   97,    0
  1632,106935,20010312,   72,    0
  1632,106935,20010313,   42,    0
  1632,106935,20010314,   63,    0
  1632,106935,20010315,   38,    0
  1632,106935,20010316,   50,    0
  1632,106935,20010317,   46,    0
  1632,106935,20010318,   31,    0
  1632,106935,20010319,   26,    0
  1632,106935,20010320,   15,    0
  1632,106935,20010321,   26,    0
  1632,106935,20010322,   29,    0
  1632,106935,20010323,   46,    0
  1632,106935,20010324,   52,    0
  1632,106935,20010325,   68,    0
  1632,106935,20010326,   50,    0
  1632,106935,20010327,   58,    0
  1632,106935,20010328,   72,    0
  1632,106935,20010329,   52,    0
  1632,106935,20010330,   82,    0
  1632,106935,20010331,  116,    0
  1632,106935,20010401,  114,    0
  1632,106935,20010402,  134,    0
  1632,106935,20010403,   90,    0
  1632,106935,20010404,   68,    0
  1632,106935,20010405,   76,    0
  1632,106935,20010406,   86,    0
  1632,106935,20010407,   80,    0
  1632,106935,20010408,   60,    0
  1632,106935,20010409,   94,    0
  1632,106935,20010410,   88,    0
  1632,106935,20010411,  108,    0
  1632,106935,20010412,   50,    0
  1632,106935,20010413,   67,    0
  1632,106935,20010414,   80,    0
  1632,106935,20010415,   90,    0
  1632,106935,20010416,   66,    0
  1632,106935,20010417,   58,    0
  1632,106935,20010418,   48,    0
  1632,106935,20010419,   50,    0
  1632,106935,20010420,   80,    0
  1632,106935,20010421,   64,    0
  1632,106935,20010422,   77,    0
  1632,106935,20010423,   77,    0
  1632,106935,20010424,   76,    0
  1632,106935,20010425,  100,    0
  1632,106935,20010426,   74,    0
  1632,106935,20010427,   84,    0
  1632,106935,20010428,  103,    0
  1632,106935,20010429,   84,    0
  1632,106935,20010430,   71,    0
  1632,106935,20010501,   85,    0
  1632,106935,20010502,   94,    0
  1632,106935,20010503,   92,    0
  1632,106935,20010504,   68,    0
