EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106936) of UNITED KINGDOM, SHAWBURY (STAID: 1633)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1633,106936,20010101,   46,    0
  1633,106936,20010102,   73,    0
  1633,106936,20010103,   46,    0
  1633,106936,20010104,   54,    0
  1633,106936,20010105,   28,    0
  1633,106936,20010106,   32,    0
  1633,106936,20010107,   40,    0
  1633,106936,20010108,   44,    0
  1633,106936,20010109,   -6,    0
  1633,106936,20010110,   12,    0
  1633,106936,20010111,   29,    0
  1633,106936,20010112,   45,    0
  1633,106936,20010113,   20,    0
  1633,106936,20010114,  -11,    0
  1633,106936,20010115,  -18,    0
  1633,106936,20010116,  -12,    0
  1633,106936,20010117,  -34,    0
  1633,106936,20010118,  -26,    0
  1633,106936,20010119,   -2,    0
  1633,106936,20010120,    4,    0
  1633,106936,20010121,    8,    0
  1633,106936,20010122,   47,    0
  1633,106936,20010123,   66,    0
  1633,106936,20010124,   72,    0
  1633,106936,20010125,   52,    0
  1633,106936,20010126,   48,    0
  1633,106936,20010127,   27,    0
  1633,106936,20010128,    1,    0
  1633,106936,20010129,   22,    0
  1633,106936,20010130,   31,    0
  1633,106936,20010131,   46,    0
  1633,106936,20010201,    4,    0
  1633,106936,20010202,   44,    0
  1633,106936,20010203,   49,    0
  1633,106936,20010204,   40,    0
  1633,106936,20010205,   60,    0
  1633,106936,20010206,   84,    0
  1633,106936,20010207,   92,    0
  1633,106936,20010208,   18,    0
  1633,106936,20010209,   12,    0
  1633,106936,20010210,   55,    0
  1633,106936,20010211,   87,    0
  1633,106936,20010212,   68,    0
  1633,106936,20010213,   38,    0
  1633,106936,20010214,   20,    0
  1633,106936,20010215,   20,    0
  1633,106936,20010216,   41,    0
  1633,106936,20010217,   17,    0
  1633,106936,20010218,  -14,    0
  1633,106936,20010219,   19,    0
  1633,106936,20010220,   40,    0
  1633,106936,20010221,   64,    0
  1633,106936,20010222,   74,    0
  1633,106936,20010223,   41,    0
  1633,106936,20010224,   16,    0
  1633,106936,20010225,    4,    0
  1633,106936,20010226,   22,    0
  1633,106936,20010227,   22,    0
  1633,106936,20010228,   22,    0
  1633,106936,20010301,   -1,    0
  1633,106936,20010302,  -18,    0
  1633,106936,20010303,  -18,    0
  1633,106936,20010304,    1,    0
  1633,106936,20010305,   -4,    0
  1633,106936,20010306,   55,    0
  1633,106936,20010307,   82,    0
  1633,106936,20010308,   93,    0
  1633,106936,20010309,   86,    0
  1633,106936,20010310,  106,    0
  1633,106936,20010311,  102,    0
  1633,106936,20010312,   48,    0
  1633,106936,20010313,   56,    0
  1633,106936,20010314,   60,    0
  1633,106936,20010315,   28,    0
  1633,106936,20010316,   50,    0
  1633,106936,20010317,   20,    0
  1633,106936,20010318,   30,    0
  1633,106936,20010319,    8,    0
  1633,106936,20010320,   31,    0
  1633,106936,20010321,   16,    0
  1633,106936,20010322,   64,    0
  1633,106936,20010323,   62,    0
  1633,106936,20010324,   65,    0
  1633,106936,20010325,   54,    0
  1633,106936,20010326,   40,    0
  1633,106936,20010327,   56,    0
  1633,106936,20010328,   80,    0
  1633,106936,20010329,   67,    0
  1633,106936,20010330,   78,    0
  1633,106936,20010331,  102,    0
  1633,106936,20010401,  102,    0
  1633,106936,20010402,  116,    0
  1633,106936,20010403,   64,    0
  1633,106936,20010404,   73,    0
  1633,106936,20010405,   62,    0
  1633,106936,20010406,   94,    0
  1633,106936,20010407,   61,    0
  1633,106936,20010408,   68,    0
  1633,106936,20010409,   95,    0
  1633,106936,20010410,   98,    0
  1633,106936,20010411,   64,    0
  1633,106936,20010412,   54,    0
  1633,106936,20010413,   64,    0
  1633,106936,20010414,   86,    0
  1633,106936,20010415,   94,    0
  1633,106936,20010416,   70,    0
  1633,106936,20010417,   39,    0
  1633,106936,20010418,   40,    0
  1633,106936,20010419,   43,    0
  1633,106936,20010420,   45,    0
  1633,106936,20010421,   36,    0
  1633,106936,20010422,   64,    0
  1633,106936,20010423,   82,    0
  1633,106936,20010424,   56,    0
  1633,106936,20010425,   94,    0
  1633,106936,20010426,   86,    0
  1633,106936,20010427,   68,    0
  1633,106936,20010428,   92,    0
  1633,106936,20010429,   72,    0
  1633,106936,20010430,   51,    0
  1633,106936,20010501,   82,    0
  1633,106936,20010502,  114,    0
  1633,106936,20010503,  107,    0
  1633,106936,20010504,   73,    0
  1633,106936,20010505,   76,    0
  1633,106936,20010506,   64,    0
  1633,106936,20010507,   77,    0
  1633,106936,20010508,   84,    0
  1633,106936,20010509,  100,    0
  1633,106936,20010510,  139,    0
  1633,106936,20010511,  163,    0
  1633,106936,20010512,  153,    0
  1633,106936,20010513,  147,    0
  1633,106936,20010514,  114,    0
  1633,106936,20010515,  112,    0
  1633,106936,20010516,  123,    0
  1633,106936,20010517,  110,    0
  1633,106936,20010518,  106,    0
  1633,106936,20010519,  110,    0
  1633,106936,20010520,  114,    0
  1633,106936,20010521,  118,    0
  1633,106936,20010522,  126,    0
  1633,106936,20010523,  143,    0
  1633,106936,20010524,  150,    0
  1633,106936,20010525,  139,    0
  1633,106936,20010526,  160,    0
  1633,106936,20010527,  166,    0
  1633,106936,20010528,  172,    0
  1633,106936,20010529,  150,    0
  1633,106936,20010530,  126,    0
  1633,106936,20010531,  110,    0
  1633,106936,20010601,  140,    0
  1633,106936,20010602,  125,    0
  1633,106936,20010603,   90,    0
  1633,106936,20010604,  132,    0
  1633,106936,20010605,  128,    0
  1633,106936,20010606,  133,    0
  1633,106936,20010607,   96,    0
  1633,106936,20010608,   90,    0
  1633,106936,20010609,  102,    0
  1633,106936,20010610,  105,    0
  1633,106936,20010611,   92,    0
  1633,106936,20010612,  133,    0
  1633,106936,20010613,  138,    0
  1633,106936,20010614,  156,    0
  1633,106936,20010615,  156,    0
  1633,106936,20010616,  136,    0
  1633,106936,20010617,  122,    0
  1633,106936,20010618,  118,    0
  1633,106936,20010619,  174,    0
  1633,106936,20010620,  156,    0
  1633,106936,20010621,  126,    0
  1633,106936,20010622,  144,    0
  1633,106936,20010623,  162,    0
  1633,106936,20010624,  165,    0
  1633,106936,20010625,  184,    0
  1633,106936,20010626,  224,    0
  1633,106936,20010627,  192,    0
  1633,106936,20010628,  174,    0
  1633,106936,20010629,  188,    0
  1633,106936,20010630,  154,    0
  1633,106936,20010701,  177,    0
  1633,106936,20010702,  196,    0
  1633,106936,20010703,  214,    0
  1633,106936,20010704,  219,    0
  1633,106936,20010705,  202,    0
  1633,106936,20010706,  183,    0
  1633,106936,20010707,  198,    0
  1633,106936,20010708,  160,    0
  1633,106936,20010709,  151,    0
