EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106938) of UNITED KINGDOM, DALE FORT (STAID: 1635)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1635,106938,20010101,   88,    0
  1635,106938,20010102,   76,    0
  1635,106938,20010103,   82,    0
  1635,106938,20010104,   78,    0
  1635,106938,20010105,-9999,    9
  1635,106938,20010106,-9999,    9
  1635,106938,20010107,-9999,    9
  1635,106938,20010108,-9999,    9
  1635,106938,20010109,-9999,    9
  1635,106938,20010110,-9999,    9
  1635,106938,20010111,-9999,    9
  1635,106938,20010112,-9999,    9
  1635,106938,20010113,-9999,    9
  1635,106938,20010114,-9999,    9
  1635,106938,20010115,-9999,    9
  1635,106938,20010116,-9999,    9
  1635,106938,20010117,-9999,    9
  1635,106938,20010118,-9999,    9
  1635,106938,20010119,-9999,    9
  1635,106938,20010120,-9999,    9
  1635,106938,20010121,-9999,    9
  1635,106938,20010122,-9999,    9
  1635,106938,20010123,-9999,    9
  1635,106938,20010124,-9999,    9
  1635,106938,20010125,-9999,    9
  1635,106938,20010126,-9999,    9
  1635,106938,20010127,-9999,    9
  1635,106938,20010128,-9999,    9
  1635,106938,20010129,-9999,    9
  1635,106938,20010130,-9999,    9
  1635,106938,20010131,-9999,    9
  1635,106938,20010201,-9999,    9
  1635,106938,20010202,-9999,    9
  1635,106938,20010203,-9999,    9
  1635,106938,20010204,-9999,    9
  1635,106938,20010205,-9999,    9
  1635,106938,20010206,-9999,    9
  1635,106938,20010207,-9999,    9
  1635,106938,20010208,-9999,    9
  1635,106938,20010209,-9999,    9
  1635,106938,20010210,-9999,    9
  1635,106938,20010211,-9999,    9
  1635,106938,20010212,-9999,    9
  1635,106938,20010213,-9999,    9
  1635,106938,20010214,-9999,    9
  1635,106938,20010215,-9999,    9
  1635,106938,20010216,-9999,    9
  1635,106938,20010217,-9999,    9
  1635,106938,20010218,-9999,    9
  1635,106938,20010219,-9999,    9
  1635,106938,20010220,-9999,    9
  1635,106938,20010221,-9999,    9
  1635,106938,20010222,-9999,    9
  1635,106938,20010223,-9999,    9
  1635,106938,20010224,-9999,    9
  1635,106938,20010225,-9999,    9
  1635,106938,20010226,-9999,    9
  1635,106938,20010227,-9999,    9
  1635,106938,20010228,-9999,    9
  1635,106938,20010301,   32,    0
  1635,106938,20010302,   14,    0
  1635,106938,20010303,   18,    0
  1635,106938,20010304,   30,    0
  1635,106938,20010305,   42,    0
  1635,106938,20010306,   71,    0
  1635,106938,20010307,   86,    0
  1635,106938,20010308,   92,    0
  1635,106938,20010309,  100,    0
  1635,106938,20010310,  102,    0
  1635,106938,20010311,  100,    0
  1635,106938,20010312,   71,    0
  1635,106938,20010313,   72,    0
  1635,106938,20010314,   82,    0
  1635,106938,20010315,   62,    0
  1635,106938,20010316,   80,    0
  1635,106938,20010317,   40,    0
  1635,106938,20010318,   44,    0
  1635,106938,20010319,   30,    0
  1635,106938,20010320,   40,    0
  1635,106938,20010321,   60,    0
  1635,106938,20010322,   77,    0
  1635,106938,20010323,   95,    0
  1635,106938,20010324,   84,    0
  1635,106938,20010325,   63,    0
  1635,106938,20010326,   61,    0
  1635,106938,20010327,   72,    0
  1635,106938,20010328,   70,    0
  1635,106938,20010329,   70,    0
  1635,106938,20010330,   82,    0
  1635,106938,20010331,  104,    0
  1635,106938,20010401,   98,    0
  1635,106938,20010402,   98,    0
  1635,106938,20010403,   86,    0
  1635,106938,20010404,   75,    0
  1635,106938,20010405,   96,    0
  1635,106938,20010406,   95,    0
  1635,106938,20010407,   82,    0
  1635,106938,20010408,   82,    0
  1635,106938,20010409,   98,    0
  1635,106938,20010410,  106,    0
  1635,106938,20010411,  100,    0
  1635,106938,20010412,   68,    0
  1635,106938,20010413,   82,    0
  1635,106938,20010414,   90,    0
  1635,106938,20010415,  100,    0
  1635,106938,20010416,   74,    0
  1635,106938,20010417,   72,    0
  1635,106938,20010418,   65,    0
  1635,106938,20010419,   60,    0
  1635,106938,20010420,   65,    0
