EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106939) of UNITED KINGDOM, PAISLEY (STAID: 1636)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1636,106939,20010101,   25,    0
  1636,106939,20010102,   51,    0
  1636,106939,20010103,   55,    0
  1636,106939,20010104,   48,    0
  1636,106939,20010105,   55,    0
  1636,106939,20010106,   52,    0
  1636,106939,20010107,   63,    0
  1636,106939,20010108,   59,    0
  1636,106939,20010109,   42,    0
  1636,106939,20010110,   18,    0
  1636,106939,20010111,   14,    0
  1636,106939,20010112,   22,    0
  1636,106939,20010113,   21,    0
  1636,106939,20010114,   -1,    0
  1636,106939,20010115,  -20,    0
  1636,106939,20010116,   -7,    0
  1636,106939,20010117,   -6,    0
  1636,106939,20010118,  -10,    0
  1636,106939,20010119,   10,    0
  1636,106939,20010120,   20,    0
  1636,106939,20010121,   20,    0
  1636,106939,20010122,   21,    0
  1636,106939,20010123,   53,    0
  1636,106939,20010124,   71,    0
  1636,106939,20010125,   53,    0
  1636,106939,20010126,   53,    0
  1636,106939,20010127,   46,    0
  1636,106939,20010128,   32,    0
  1636,106939,20010129,   19,    0
  1636,106939,20010130,   28,    0
  1636,106939,20010131,   39,    0
  1636,106939,20010201,   43,    0
  1636,106939,20010202,   53,    0
  1636,106939,20010203,   61,    0
  1636,106939,20010204,   40,    1
  1636,106939,20010205,   12,    0
  1636,106939,20010206,   14,    0
  1636,106939,20010207,   48,    1
  1636,106939,20010208,    9,    0
  1636,106939,20010209,   10,    0
  1636,106939,20010210,   14,    0
  1636,106939,20010211,   67,    0
  1636,106939,20010212,   73,    0
  1636,106939,20010213,   63,    0
  1636,106939,20010214,   52,    0
  1636,106939,20010215,   63,    0
  1636,106939,20010216,   54,    0
  1636,106939,20010217,   43,    0
  1636,106939,20010218,   49,    0
  1636,106939,20010219,   60,    0
  1636,106939,20010220,   72,    0
  1636,106939,20010221,   71,    0
  1636,106939,20010222,   75,    0
  1636,106939,20010223,   46,    0
  1636,106939,20010224,   31,    0
  1636,106939,20010225,   17,    0
  1636,106939,20010226,   32,    1
  1636,106939,20010227,   13,    0
  1636,106939,20010228,    1,    0
  1636,106939,20010301,  -12,    0
  1636,106939,20010302,  -18,    0
  1636,106939,20010303,  -11,    0
  1636,106939,20010304,   16,    0
  1636,106939,20010305,   28,    0
  1636,106939,20010306,   37,    0
  1636,106939,20010307,   41,    0
  1636,106939,20010308,  104,    0
  1636,106939,20010309,   96,    0
  1636,106939,20010310,   94,    0
  1636,106939,20010311,   87,    0
