EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106942) of UNITED KINGDOM, CAMBRIDGE (B. GDNS) (STAID: 1639)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1639,106942,20010101,   52,    0
  1639,106942,20010102,   98,    0
  1639,106942,20010103,   63,    0
  1639,106942,20010104,   64,    0
  1639,106942,20010105,   67,    0
  1639,106942,20010106,   46,    0
  1639,106942,20010107,   41,    0
  1639,106942,20010108,   50,    0
  1639,106942,20010109,   28,    0
  1639,106942,20010110,   30,    0
  1639,106942,20010111,   38,    0
  1639,106942,20010112,   38,    0
  1639,106942,20010113,   30,    0
  1639,106942,20010114,   30,    0
  1639,106942,20010115,   26,    0
  1639,106942,20010116,   -9,    0
  1639,106942,20010117,  -13,    0
  1639,106942,20010118,  -18,    0
  1639,106942,20010119,  -12,    0
  1639,106942,20010120,   -2,    0
  1639,106942,20010121,    8,    0
  1639,106942,20010122,   52,    0
  1639,106942,20010123,   84,    0
  1639,106942,20010124,   80,    0
  1639,106942,20010125,   68,    0
  1639,106942,20010126,   62,    0
  1639,106942,20010127,   42,    0
  1639,106942,20010128,   10,    0
  1639,106942,20010129,    8,    0
  1639,106942,20010130,   13,    0
  1639,106942,20010131,   34,    0
  1639,106942,20010201,   10,    0
  1639,106942,20010202,   22,    0
  1639,106942,20010203,   72,    0
  1639,106942,20010204,   66,    0
  1639,106942,20010205,   78,    0
  1639,106942,20010206,  100,    0
  1639,106942,20010207,  100,    0
  1639,106942,20010208,   52,    0
  1639,106942,20010209,   34,    0
  1639,106942,20010210,   58,    0
  1639,106942,20010211,   96,    0
  1639,106942,20010212,  108,    0
  1639,106942,20010213,   58,    0
  1639,106942,20010214,   42,    0
  1639,106942,20010215,   32,    0
  1639,106942,20010216,   42,    0
  1639,106942,20010217,   32,    0
  1639,106942,20010218,   20,    0
  1639,106942,20010219,   30,    0
  1639,106942,20010220,   40,    0
  1639,106942,20010221,   60,    0
  1639,106942,20010222,   68,    0
  1639,106942,20010223,   48,    0
  1639,106942,20010224,   32,    0
  1639,106942,20010225,   14,    0
  1639,106942,20010226,   41,    0
  1639,106942,20010227,   32,    0
  1639,106942,20010228,   34,    0
  1639,106942,20010301,   23,    0
  1639,106942,20010302,    6,    0
  1639,106942,20010303,    6,    0
  1639,106942,20010304,   20,    0
  1639,106942,20010305,    7,    0
  1639,106942,20010306,   62,    0
  1639,106942,20010307,  101,    0
  1639,106942,20010308,   83,    0
  1639,106942,20010309,   92,    0
  1639,106942,20010310,  116,    0
  1639,106942,20010311,  106,    0
  1639,106942,20010312,   72,    0
  1639,106942,20010313,   66,    0
  1639,106942,20010314,   62,    0
  1639,106942,20010315,   55,    0
  1639,106942,20010316,   70,    0
  1639,106942,20010317,   26,    0
  1639,106942,20010318,   36,    0
  1639,106942,20010319,   33,    0
  1639,106942,20010320,   29,    0
  1639,106942,20010321,   26,    0
  1639,106942,20010322,   65,    0
  1639,106942,20010323,   84,    0
  1639,106942,20010324,   75,    0
  1639,106942,20010325,   51,    0
  1639,106942,20010326,   44,    0
  1639,106942,20010327,   59,    0
  1639,106942,20010328,   77,    0
  1639,106942,20010329,   80,    0
  1639,106942,20010330,   91,    0
  1639,106942,20010331,  115,    0
  1639,106942,20010401,  125,    0
  1639,106942,20010402,  145,    0
  1639,106942,20010403,  100,    0
  1639,106942,20010404,   87,    0
  1639,106942,20010405,   78,    0
  1639,106942,20010406,  108,    0
  1639,106942,20010407,   84,    0
  1639,106942,20010408,   74,    0
  1639,106942,20010409,  112,    0
  1639,106942,20010410,   95,    0
  1639,106942,20010411,   93,    0
  1639,106942,20010412,   75,    0
  1639,106942,20010413,   52,    0
  1639,106942,20010414,   55,    0
  1639,106942,20010415,   86,    0
  1639,106942,20010416,   70,    0
  1639,106942,20010417,   50,    0
  1639,106942,20010418,   56,    0
  1639,106942,20010419,   40,    0
  1639,106942,20010420,   56,    0
  1639,106942,20010421,   62,    0
  1639,106942,20010422,   79,    0
  1639,106942,20010423,   96,    0
  1639,106942,20010424,   75,    0
  1639,106942,20010425,   94,    0
  1639,106942,20010426,   98,    0
  1639,106942,20010427,   94,    0
  1639,106942,20010428,  118,    0
  1639,106942,20010429,   88,    0
  1639,106942,20010430,   95,    0
  1639,106942,20010501,   96,    0
  1639,106942,20010502,  112,    0
  1639,106942,20010503,  116,    0
  1639,106942,20010504,   86,    0
  1639,106942,20010505,   81,    0
  1639,106942,20010506,   93,    0
  1639,106942,20010507,   98,    0
  1639,106942,20010508,  102,    0
  1639,106942,20010509,  121,    0
  1639,106942,20010510,  172,    0
  1639,106942,20010511,  186,    0
  1639,106942,20010512,  164,    0
  1639,106942,20010513,  174,    0
  1639,106942,20010514,  133,    0
  1639,106942,20010515,  136,    0
  1639,106942,20010516,  140,    0
  1639,106942,20010517,   89,    0
  1639,106942,20010518,  108,    0
  1639,106942,20010519,  110,    0
  1639,106942,20010520,  127,    0
  1639,106942,20010521,  115,    0
  1639,106942,20010522,  130,    0
  1639,106942,20010523,  152,    0
  1639,106942,20010524,  154,    0
  1639,106942,20010525,  150,    0
  1639,106942,20010526,  170,    0
  1639,106942,20010527,  182,    0
  1639,106942,20010528,  201,    0
  1639,106942,20010529,  165,    0
  1639,106942,20010530,  154,    0
  1639,106942,20010531,  148,    0
  1639,106942,20010601,  130,    0
  1639,106942,20010602,  136,    0
  1639,106942,20010603,  112,    0
  1639,106942,20010604,  122,    0
  1639,106942,20010605,  144,    0
  1639,106942,20010606,  154,    0
  1639,106942,20010607,  118,    0
  1639,106942,20010608,   93,    0
  1639,106942,20010609,   96,    0
  1639,106942,20010610,  110,    0
  1639,106942,20010611,   96,    0
  1639,106942,20010612,  141,    0
  1639,106942,20010613,  156,    0
  1639,106942,20010614,  158,    0
  1639,106942,20010615,  167,    0
  1639,106942,20010616,  156,    0
  1639,106942,20010617,  124,    0
  1639,106942,20010618,  130,    0
  1639,106942,20010619,  176,    0
  1639,106942,20010620,  170,    0
  1639,106942,20010621,  142,    0
  1639,106942,20010622,  126,    0
  1639,106942,20010623,  153,    0
