EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106998) of UNITED KINGDOM, NEWTON RIGG (STAID: 1804)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1804,106998,19600101,   80,    0
  1804,106998,19600102,   34,    0
  1804,106998,19600103,   34,    0
  1804,106998,19600104,   47,    0
  1804,106998,19600105,   39,    0
  1804,106998,19600106,   28,    0
  1804,106998,19600107,    6,    0
  1804,106998,19600108,   48,    0
  1804,106998,19600109,   20,    0
  1804,106998,19600110,   -2,    0
  1804,106998,19600111,    9,    0
  1804,106998,19600112,   31,    1
  1804,106998,19600113,    9,    1
  1804,106998,19600114,  -11,    0
  1804,106998,19600115,    0,    0
  1804,106998,19600116,   14,    0
  1804,106998,19600117,  -11,    0
  1804,106998,19600118,   22,    0
  1804,106998,19600119,   28,    0
  1804,106998,19600120,   23,    0
  1804,106998,19600121,    9,    0
  1804,106998,19600122,   47,    0
  1804,106998,19600123,   98,    0
  1804,106998,19600124,   39,    0
  1804,106998,19600125,   42,    0
  1804,106998,19600126,    3,    0
  1804,106998,19600127,   34,    1
  1804,106998,19600128,   17,    0
  1804,106998,19600129,   17,    0
  1804,106998,19600130,   20,    0
  1804,106998,19600131,   31,    0
  1804,106998,19600201,   70,    0
  1804,106998,19600202,   67,    0
  1804,106998,19600203,   89,    0
  1804,106998,19600204,   78,    1
  1804,106998,19600205,   45,    0
  1804,106998,19600206,   22,    0
  1804,106998,19600207,   22,    0
  1804,106998,19600208,    8,    0
  1804,106998,19600209,   31,    0
  1804,106998,19600210,   11,    0
  1804,106998,19600211,    3,    0
  1804,106998,19600212,   -8,    0
  1804,106998,19600213,  -22,    0
  1804,106998,19600214,  -14,    0
  1804,106998,19600215,  -11,    0
  1804,106998,19600216,    8,    0
  1804,106998,19600217,  -20,    0
  1804,106998,19600218,  -36,    0
  1804,106998,19600219,  -11,    0
  1804,106998,19600220,    6,    0
  1804,106998,19600221,   19,    0
  1804,106998,19600222,   14,    0
  1804,106998,19600223,   -3,    0
  1804,106998,19600224,    3,    0
  1804,106998,19600225,   20,    0
  1804,106998,19600226,   28,    0
  1804,106998,19600227,   53,    0
  1804,106998,19600228,   84,    0
  1804,106998,19600229,  106,    0
  1804,106998,19600301,  108,    1
  1804,106998,19600302,   78,    0
  1804,106998,19600303,   75,    0
  1804,106998,19600304,   42,    0
  1804,106998,19600305,   80,    0
  1804,106998,19600306,   42,    0
  1804,106998,19600307,   28,    0
  1804,106998,19600308,    8,    0
  1804,106998,19600309,   39,    0
  1804,106998,19600310,   31,    0
  1804,106998,19600311,   53,    0
  1804,106998,19600312,   56,    0
  1804,106998,19600313,   50,    0
  1804,106998,19600314,   72,    0
  1804,106998,19600315,   89,    1
  1804,106998,19600316,   64,    0
  1804,106998,19600317,   39,    0
  1804,106998,19600318,   50,    0
  1804,106998,19600319,   42,    0
  1804,106998,19600320,   61,    0
  1804,106998,19600321,   52,    0
  1804,106998,19600322,   66,    0
  1804,106998,19600323,   52,    0
  1804,106998,19600324,   78,    0
  1804,106998,19600325,   30,    0
  1804,106998,19600326,   44,    0
  1804,106998,19600327,   45,    0
  1804,106998,19600328,   45,    0
  1804,106998,19600329,   47,    0
  1804,106998,19600330,   45,    0
  1804,106998,19600331,   44,    0
  1804,106998,19600401,   25,    0
  1804,106998,19600402,   72,    0
  1804,106998,19600403,   75,    0
  1804,106998,19600404,   81,    0
  1804,106998,19600405,   97,    0
  1804,106998,19600406,  105,    1
  1804,106998,19600407,   85,    0
  1804,106998,19600408,   75,    0
  1804,106998,19600409,   92,    0
  1804,106998,19600410,   84,    0
  1804,106998,19600411,   72,    0
  1804,106998,19600412,   75,    0
  1804,106998,19600413,   89,    0
  1804,106998,19600414,   75,    0
  1804,106998,19600415,   78,    0
  1804,106998,19600416,   53,    0
  1804,106998,19600417,   50,    0
  1804,106998,19600418,   72,    0
  1804,106998,19600419,  108,    0
  1804,106998,19600420,   80,    0
  1804,106998,19600421,   78,    0
  1804,106998,19600422,  108,    0
  1804,106998,19600423,  102,    0
  1804,106998,19600424,   70,    0
  1804,106998,19600425,   94,    0
  1804,106998,19600426,   81,    0
  1804,106998,19600427,   78,    0
  1804,106998,19600428,   78,    0
  1804,106998,19600429,   72,    0
  1804,106998,19600430,   69,    0
  1804,106998,19600501,   80,    0
  1804,106998,19600502,   75,    0
  1804,106998,19600503,   94,    0
  1804,106998,19600504,   95,    0
  1804,106998,19600505,  114,    0
  1804,106998,19600506,  103,    0
  1804,106998,19600507,   97,    0
  1804,106998,19600508,  128,    0
  1804,106998,19600509,  142,    0
  1804,106998,19600510,  144,    0
  1804,106998,19600511,  108,    0
  1804,106998,19600512,  131,    0
  1804,106998,19600513,  122,    0
  1804,106998,19600514,  106,    0
  1804,106998,19600515,  117,    0
  1804,106998,19600516,  144,    0
  1804,106998,19600517,  134,    0
  1804,106998,19600518,  114,    0
  1804,106998,19600519,  102,    0
  1804,106998,19600520,   86,    0
  1804,106998,19600521,  111,    0
  1804,106998,19600522,  109,    0
  1804,106998,19600523,  128,    0
  1804,106998,19600524,  108,    0
  1804,106998,19600525,   75,    0
  1804,106998,19600526,  131,    0
  1804,106998,19600527,  159,    0
  1804,106998,19600528,  116,    0
