EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107001) of UNITED KINGDOM, HAWARDEN BRIDGE (STAID: 1807)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1807,107001,19600101,  106,    0
  1807,107001,19600102,   78,    1
  1807,107001,19600103,   59,    0
  1807,107001,19600104,   95,    0
  1807,107001,19600105,   95,    1
  1807,107001,19600106,   58,    0
  1807,107001,19600107,   50,    0
  1807,107001,19600108,   14,    0
  1807,107001,19600109,   22,    0
  1807,107001,19600110,   14,    0
  1807,107001,19600111,   34,    0
  1807,107001,19600112,   59,    0
  1807,107001,19600113,   37,    1
  1807,107001,19600114,   -6,    0
  1807,107001,19600115,    8,    0
  1807,107001,19600116,   34,    0
  1807,107001,19600117,   28,    0
  1807,107001,19600118,   58,    0
  1807,107001,19600119,   67,    0
  1807,107001,19600120,   53,    1
  1807,107001,19600121,   28,    0
  1807,107001,19600122,   67,    0
  1807,107001,19600123,  123,    1
  1807,107001,19600124,   92,    1
  1807,107001,19600125,   56,    0
  1807,107001,19600126,   25,    0
  1807,107001,19600127,   14,    0
  1807,107001,19600128,   28,    0
  1807,107001,19600129,   39,    0
  1807,107001,19600130,   64,    0
  1807,107001,19600131,   81,    0
  1807,107001,19600201,   81,    0
  1807,107001,19600202,   56,    0
  1807,107001,19600203,  100,    0
  1807,107001,19600204,   89,    0
  1807,107001,19600205,   58,    0
  1807,107001,19600206,   48,    0
  1807,107001,19600207,   17,    0
  1807,107001,19600208,   17,    0
  1807,107001,19600209,   22,    0
  1807,107001,19600210,   36,    0
  1807,107001,19600211,   42,    1
  1807,107001,19600212,   14,    0
  1807,107001,19600213,   17,    0
  1807,107001,19600214,   11,    0
  1807,107001,19600215,   25,    0
  1807,107001,19600216,   22,    0
  1807,107001,19600217,   28,    0
  1807,107001,19600218,    6,    0
  1807,107001,19600219,   28,    0
  1807,107001,19600220,   34,    0
  1807,107001,19600221,   47,    0
  1807,107001,19600222,   25,    0
  1807,107001,19600223,   25,    0
  1807,107001,19600224,   33,    0
  1807,107001,19600225,   37,    0
  1807,107001,19600226,   42,    0
  1807,107001,19600227,   70,    0
  1807,107001,19600228,  108,    0
  1807,107001,19600229,  117,    0
  1807,107001,19600301,  117,    0
  1807,107001,19600302,   98,    0
  1807,107001,19600303,   97,    0
  1807,107001,19600304,   81,    0
  1807,107001,19600305,   61,    0
  1807,107001,19600306,   75,    1
  1807,107001,19600307,   45,    0
  1807,107001,19600308,   31,    1
  1807,107001,19600309,   14,    0
  1807,107001,19600310,   48,    0
  1807,107001,19600311,   81,    0
  1807,107001,19600312,   81,    0
  1807,107001,19600313,   75,    0
  1807,107001,19600314,   92,    0
  1807,107001,19600315,  100,    0
  1807,107001,19600316,   95,    1
  1807,107001,19600317,   64,    1
  1807,107001,19600318,   42,    0
  1807,107001,19600319,   48,    0
  1807,107001,19600320,   59,    0
  1807,107001,19600321,   67,    0
  1807,107001,19600322,   45,    0
  1807,107001,19600323,   64,    0
  1807,107001,19600324,   50,    0
  1807,107001,19600325,   95,    0
  1807,107001,19600326,   70,    0
  1807,107001,19600327,   70,    0
  1807,107001,19600328,   61,    0
  1807,107001,19600329,   62,    0
  1807,107001,19600330,   61,    1
  1807,107001,19600331,   39,    0
  1807,107001,19600401,   56,    0
  1807,107001,19600402,   75,    0
  1807,107001,19600403,   89,    0
  1807,107001,19600404,  100,    0
  1807,107001,19600405,  128,    0
  1807,107001,19600406,  122,    0
  1807,107001,19600407,   81,    0
  1807,107001,19600408,  106,    0
  1807,107001,19600409,  117,    0
  1807,107001,19600410,  111,    0
  1807,107001,19600411,   92,    0
  1807,107001,19600412,   84,    0
  1807,107001,19600413,  109,    0
  1807,107001,19600414,  114,    0
  1807,107001,19600415,   89,    0
  1807,107001,19600416,   83,    0
  1807,107001,19600417,   75,    0
  1807,107001,19600418,   86,    0
  1807,107001,19600419,   72,    0
  1807,107001,19600420,   92,    0
  1807,107001,19600421,  112,    0
  1807,107001,19600422,  111,    0
  1807,107001,19600423,  111,    0
  1807,107001,19600424,  114,    0
  1807,107001,19600425,  114,    0
  1807,107001,19600426,  100,    0
  1807,107001,19600427,   92,    0
  1807,107001,19600428,   81,    0
  1807,107001,19600429,   78,    0
  1807,107001,19600430,   64,    0
  1807,107001,19600501,   75,    0
  1807,107001,19600502,   72,    0
  1807,107001,19600503,  114,    0
  1807,107001,19600504,  122,    0
  1807,107001,19600505,  114,    0
  1807,107001,19600506,  139,    0
  1807,107001,19600507,  120,    0
  1807,107001,19600508,  150,    0
  1807,107001,19600509,  164,    0
  1807,107001,19600510,  150,    0
  1807,107001,19600511,  156,    0
  1807,107001,19600512,  150,    1
  1807,107001,19600513,  123,    0
  1807,107001,19600514,  139,    0
  1807,107001,19600515,  139,    0
  1807,107001,19600516,  147,    0
  1807,107001,19600517,  147,    0
  1807,107001,19600518,  144,    0
  1807,107001,19600519,  136,    1
  1807,107001,19600520,  106,    0
  1807,107001,19600521,  120,    0
  1807,107001,19600522,  123,    0
  1807,107001,19600523,  145,    0
  1807,107001,19600524,  125,    0
  1807,107001,19600525,  103,    0
  1807,107001,19600526,  158,    0
  1807,107001,19600527,  186,    0
  1807,107001,19600528,  156,    0
  1807,107001,19600529,  108,    0
  1807,107001,19600530,  128,    0
  1807,107001,19600531,  128,    0
  1807,107001,19600601,  137,    0
  1807,107001,19600602,  145,    0
  1807,107001,19600603,  175,    0
  1807,107001,19600604,  181,    0
  1807,107001,19600605,  189,    0
  1807,107001,19600606,  200,    0
  1807,107001,19600607,  139,    0
  1807,107001,19600608,  153,    0
  1807,107001,19600609,  153,    0
  1807,107001,19600610,  136,    0
  1807,107001,19600611,  148,    0
  1807,107001,19600612,  161,    0
  1807,107001,19600613,  125,    0
  1807,107001,19600614,  142,    0
  1807,107001,19600615,  122,    0
  1807,107001,19600616,  175,    0
  1807,107001,19600617,  184,    0
  1807,107001,19600618,  206,    0
  1807,107001,19600619,  189,    0
  1807,107001,19600620,  162,    0
  1807,107001,19600621,  142,    0
  1807,107001,19600622,  189,    0
  1807,107001,19600623,  211,    0
  1807,107001,19600624,  172,    0
  1807,107001,19600625,  198,    0
  1807,107001,19600626,  175,    0
  1807,107001,19600627,  181,    0
  1807,107001,19600628,  153,    0
  1807,107001,19600629,  145,    0
  1807,107001,19600630,  131,    0
  1807,107001,19600701,  156,    0
  1807,107001,19600702,  161,    0
  1807,107001,19600703,  145,    0
  1807,107001,19600704,  173,    0
  1807,107001,19600705,  175,    0
  1807,107001,19600706,  173,    1
  1807,107001,19600707,  142,    0
  1807,107001,19600708,  145,    0
  1807,107001,19600709,  167,    0
  1807,107001,19600710,  153,    0
  1807,107001,19600711,  159,    0
  1807,107001,19600712,  156,    0
  1807,107001,19600713,  156,    0
  1807,107001,19600714,  162,    0
  1807,107001,19600715,  161,    0
  1807,107001,19600716,  156,    0
  1807,107001,19600717,  156,    0
  1807,107001,19600718,  156,    0
  1807,107001,19600719,  173,    0
  1807,107001,19600720,  164,    0
  1807,107001,19600721,  164,    0
  1807,107001,19600722,  150,    0
  1807,107001,19600723,  150,    0
  1807,107001,19600724,  164,    0
  1807,107001,19600725,  181,    0
  1807,107001,19600726,  161,    0
  1807,107001,19600727,  134,    0
  1807,107001,19600728,  172,    0
  1807,107001,19600729,  170,    0
  1807,107001,19600730,  150,    0
  1807,107001,19600731,  139,    0
  1807,107001,19600801,  142,    0
  1807,107001,19600802,  150,    0
  1807,107001,19600803,  175,    1
  1807,107001,19600804,  147,    0
  1807,107001,19600805,  175,    0
  1807,107001,19600806,  178,    0
  1807,107001,19600807,  170,    0
  1807,107001,19600808,  134,    0
  1807,107001,19600809,  142,    0
  1807,107001,19600810,  109,    0
  1807,107001,19600811,  147,    0
  1807,107001,19600812,  125,    0
  1807,107001,19600813,  134,    0
  1807,107001,19600814,  106,    0
  1807,107001,19600815,  150,    0
  1807,107001,19600816,  145,    0
  1807,107001,19600817,  147,    0
  1807,107001,19600818,  150,    0
  1807,107001,19600819,  142,    0
  1807,107001,19600820,  142,    0
  1807,107001,19600821,  170,    0
  1807,107001,19600822,  186,    0
  1807,107001,19600823,  189,    0
  1807,107001,19600824,  170,    0
  1807,107001,19600825,  167,    0
  1807,107001,19600826,  148,    0
  1807,107001,19600827,  153,    0
  1807,107001,19600828,  156,    0
  1807,107001,19600829,  150,    0
  1807,107001,19600830,  147,    0
  1807,107001,19600831,  156,    0
  1807,107001,19600901,  153,    0
  1807,107001,19600902,  148,    0
  1807,107001,19600903,  167,    0
  1807,107001,19600904,  139,    0
  1807,107001,19600905,  136,    0
  1807,107001,19600906,  139,    0
  1807,107001,19600907,  131,    0
  1807,107001,19600908,  139,    0
  1807,107001,19600909,  156,    0
  1807,107001,19600910,  158,    0
  1807,107001,19600911,  167,    0
  1807,107001,19600912,  181,    0
  1807,107001,19600913,  133,    0
  1807,107001,19600914,  145,    0
  1807,107001,19600915,  106,    0
  1807,107001,19600916,  103,    0
  1807,107001,19600917,  128,    0
  1807,107001,19600918,  106,    0
  1807,107001,19600919,  147,    1
  1807,107001,19600920,  119,    0
  1807,107001,19600921,  120,    0
  1807,107001,19600922,  150,    0
  1807,107001,19600923,  137,    0
  1807,107001,19600924,  106,    0
  1807,107001,19600925,  142,    0
  1807,107001,19600926,  100,    0
  1807,107001,19600927,  117,    0
  1807,107001,19600928,  114,    0
  1807,107001,19600929,  100,    0
  1807,107001,19600930,  139,    0
  1807,107001,19601001,  111,    0
  1807,107001,19601002,  117,    0
  1807,107001,19601003,  131,    0
  1807,107001,19601004,  139,    0
  1807,107001,19601005,  120,    0
  1807,107001,19601006,  131,    0
  1807,107001,19601007,  128,    0
  1807,107001,19601008,  125,    0
  1807,107001,19601009,  125,    0
  1807,107001,19601010,  120,    0
  1807,107001,19601011,  111,    0
  1807,107001,19601012,   98,    0
  1807,107001,19601013,   72,    0
  1807,107001,19601014,   86,    0
  1807,107001,19601015,  100,    0
  1807,107001,19601016,   64,    0
  1807,107001,19601017,   73,    0
  1807,107001,19601018,   70,    0
  1807,107001,19601019,  119,    1
  1807,107001,19601020,   95,    0
  1807,107001,19601021,  114,    0
  1807,107001,19601022,   98,    0
  1807,107001,19601023,  106,    0
  1807,107001,19601024,  103,    0
  1807,107001,19601025,  103,    0
  1807,107001,19601026,  103,    0
  1807,107001,19601027,  106,    0
  1807,107001,19601028,  100,    0
  1807,107001,19601029,   86,    0
  1807,107001,19601030,   81,    0
  1807,107001,19601031,   81,    0
  1807,107001,19601101,   86,    0
  1807,107001,19601102,  117,    1
  1807,107001,19601103,   70,    0
  1807,107001,19601104,   69,    0
  1807,107001,19601105,   78,    0
  1807,107001,19601106,   78,    0
  1807,107001,19601107,   64,    0
  1807,107001,19601108,   28,    0
  1807,107001,19601109,   31,    0
  1807,107001,19601110,   61,    0
  1807,107001,19601111,   95,    0
  1807,107001,19601112,   75,    0
  1807,107001,19601113,   72,    0
  1807,107001,19601114,   78,    0
  1807,107001,19601115,   72,    0
  1807,107001,19601116,   64,    0
  1807,107001,19601117,   58,    0
  1807,107001,19601118,   33,    0
  1807,107001,19601119,   39,    0
  1807,107001,19601120,   42,    0
  1807,107001,19601121,   92,    1
  1807,107001,19601122,   81,    0
  1807,107001,19601123,   92,    0
  1807,107001,19601124,  100,    0
  1807,107001,19601125,  100,    0
  1807,107001,19601126,   92,    0
  1807,107001,19601127,   95,    1
  1807,107001,19601128,   50,    0
  1807,107001,19601129,   73,    0
  1807,107001,19601130,  106,    0
  1807,107001,19601201,  106,    0
  1807,107001,19601202,   84,    0
  1807,107001,19601203,   89,    0
  1807,107001,19601204,   95,    1
  1807,107001,19601205,   64,    0
  1807,107001,19601206,   39,    0
