EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107033) of UNITED KINGDOM, SKEGNESS (STAID: 1839)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1839,107033,19600101,   95,    0
  1839,107033,19600102,   62,    0
  1839,107033,19600103,   39,    0
  1839,107033,19600104,   53,    0
  1839,107033,19600105,   78,    0
  1839,107033,19600106,   34,    0
  1839,107033,19600107,   25,    0
  1839,107033,19600108,   14,    0
  1839,107033,19600109,   39,    1
  1839,107033,19600110,    8,    0
  1839,107033,19600111,   39,    0
  1839,107033,19600112,   33,    1
  1839,107033,19600113,    3,    0
  1839,107033,19600114,   -3,    0
  1839,107033,19600115,   14,    0
  1839,107033,19600116,   14,    0
  1839,107033,19600117,    6,    0
  1839,107033,19600118,    0,    0
  1839,107033,19600119,   28,    0
  1839,107033,19600120,   36,    0
  1839,107033,19600121,   19,    0
  1839,107033,19600122,   78,    0
  1839,107033,19600123,   92,    0
  1839,107033,19600124,   84,    1
  1839,107033,19600125,   50,    0
  1839,107033,19600126,   45,    1
  1839,107033,19600127,   23,    0
  1839,107033,19600128,   48,    0
  1839,107033,19600129,   45,    0
  1839,107033,19600130,   42,    0
  1839,107033,19600131,   53,    0
  1839,107033,19600201,   61,    1
  1839,107033,19600202,   45,    0
  1839,107033,19600203,   67,    0
  1839,107033,19600204,   70,    0
  1839,107033,19600205,   45,    0
  1839,107033,19600206,   50,    0
  1839,107033,19600207,   53,    0
  1839,107033,19600208,   50,    0
  1839,107033,19600209,   50,    0
  1839,107033,19600210,   45,    0
  1839,107033,19600211,   28,    0
  1839,107033,19600212,   25,    0
  1839,107033,19600213,   31,    0
  1839,107033,19600214,   20,    0
  1839,107033,19600215,    0,    0
  1839,107033,19600216,   14,    0
  1839,107033,19600217,    9,    0
  1839,107033,19600218,  -11,    0
  1839,107033,19600219,   20,    0
  1839,107033,19600220,   31,    0
  1839,107033,19600221,   48,    0
  1839,107033,19600222,   31,    0
  1839,107033,19600223,   28,    0
  1839,107033,19600224,   20,    0
  1839,107033,19600225,   36,    0
  1839,107033,19600226,   50,    0
  1839,107033,19600227,   84,    0
  1839,107033,19600228,   98,    0
  1839,107033,19600229,  117,    0
  1839,107033,19600301,  117,    0
  1839,107033,19600302,   95,    0
  1839,107033,19600303,   84,    0
  1839,107033,19600304,   97,    1
  1839,107033,19600305,   58,    0
  1839,107033,19600306,   56,    1
  1839,107033,19600307,   39,    0
  1839,107033,19600308,   25,    0
  1839,107033,19600309,   20,    0
  1839,107033,19600310,   42,    0
  1839,107033,19600311,   53,    0
  1839,107033,19600312,   53,    0
  1839,107033,19600313,   58,    0
  1839,107033,19600314,   75,    0
  1839,107033,19600315,   67,    0
  1839,107033,19600316,   56,    0
  1839,107033,19600317,   56,    1
  1839,107033,19600318,   39,    0
  1839,107033,19600319,   39,    0
  1839,107033,19600320,   45,    0
  1839,107033,19600321,   53,    0
  1839,107033,19600322,   53,    0
  1839,107033,19600323,   50,    0
  1839,107033,19600324,   64,    0
