EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107037) of UNITED KINGDOM, LOWESTOFT (STAID: 1843)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1843,107037,18890101,-9999,    9
  1843,107037,18901031,-9999,    9
  1843,107037,18901231,-9999,    9
  1843,107037,18910101,-9999,    9
  1843,107037,18910102,-9999,    9
  1843,107037,18910103,-9999,    9
  1843,107037,18910104,-9999,    9
  1843,107037,18910105,-9999,    9
  1843,107037,18910106,-9999,    9
  1843,107037,18910107,-9999,    9
  1843,107037,18910108,-9999,    9
  1843,107037,18910109,-9999,    9
  1843,107037,18910110,-9999,    9
  1843,107037,18910111,-9999,    9
  1843,107037,18910112,-9999,    9
  1843,107037,18910113,-9999,    9
  1843,107037,18910114,-9999,    9
  1843,107037,18910115,-9999,    9
  1843,107037,18910116,-9999,    9
  1843,107037,18910117,-9999,    9
  1843,107037,18910118,-9999,    9
  1843,107037,18910119,-9999,    9
  1843,107037,18910120,-9999,    9
  1843,107037,18910121,-9999,    9
  1843,107037,18910122,-9999,    9
  1843,107037,18910123,-9999,    9
  1843,107037,18910124,-9999,    9
  1843,107037,18910125,-9999,    9
  1843,107037,18910126,-9999,    9
  1843,107037,18910127,-9999,    9
  1843,107037,18910128,-9999,    9
  1843,107037,18910129,-9999,    9
  1843,107037,18910130,-9999,    9
  1843,107037,18910131,-9999,    9
  1843,107037,18910201,-9999,    9
  1843,107037,18910202,-9999,    9
  1843,107037,18910203,-9999,    9
  1843,107037,18910204,-9999,    9
  1843,107037,18910205,-9999,    9
  1843,107037,18910206,-9999,    9
  1843,107037,18910207,-9999,    9
  1843,107037,18910208,-9999,    9
  1843,107037,18910209,-9999,    9
  1843,107037,18910210,-9999,    9
  1843,107037,18910211,-9999,    9
  1843,107037,18910212,-9999,    9
  1843,107037,18910213,-9999,    9
  1843,107037,18910214,-9999,    9
  1843,107037,18910215,-9999,    9
  1843,107037,18910216,-9999,    9
  1843,107037,18910217,-9999,    9
  1843,107037,18910218,-9999,    9
  1843,107037,18910219,-9999,    9
  1843,107037,18910220,-9999,    9
  1843,107037,18910221,-9999,    9
  1843,107037,18910222,-9999,    9
  1843,107037,18910223,-9999,    9
  1843,107037,18910224,-9999,    9
  1843,107037,18910225,-9999,    9
  1843,107037,18910226,-9999,    9
  1843,107037,18910227,-9999,    9
  1843,107037,18910228,-9999,    9
  1843,107037,18910301,-9999,    9
  1843,107037,18910302,-9999,    9
  1843,107037,18910303,-9999,    9
  1843,107037,18910304,-9999,    9
  1843,107037,18910305,-9999,    9
  1843,107037,18910306,-9999,    9
  1843,107037,18910307,-9999,    9
  1843,107037,18910308,-9999,    9
  1843,107037,19600101,   95,    0
  1843,107037,19600102,   84,    1
  1843,107037,19600103,   50,    0
  1843,107037,19600104,   69,    0
  1843,107037,19600105,   95,    0
  1843,107037,19600106,   62,    0
  1843,107037,19600107,   31,    0
  1843,107037,19600108,   22,    0
  1843,107037,19600109,   33,    1
  1843,107037,19600110,    3,    0
  1843,107037,19600111,   28,    0
  1843,107037,19600112,   25,    1
  1843,107037,19600113,   -9,    0
  1843,107037,19600114,  -11,    0
  1843,107037,19600115,    6,    0
  1843,107037,19600116,    0,    0
  1843,107037,19600117,    8,    0
  1843,107037,19600118,    8,    0
  1843,107037,19600119,   28,    0
  1843,107037,19600120,   42,    1
  1843,107037,19600121,   23,    0
  1843,107037,19600122,   59,    0
  1843,107037,19600123,   89,    0
  1843,107037,19600124,   81,    0
  1843,107037,19600125,   64,    0
  1843,107037,19600126,   45,    0
  1843,107037,19600127,   39,    0
  1843,107037,19600128,   56,    0
  1843,107037,19600129,   45,    0
  1843,107037,19600130,   45,    0
  1843,107037,19600131,   53,    0
  1843,107037,19600201,   61,    0
  1843,107037,19600202,   50,    0
  1843,107037,19600203,   56,    0
  1843,107037,19600204,   70,    0
  1843,107037,19600205,   50,    0
  1843,107037,19600206,   50,    0
  1843,107037,19600207,   53,    1
  1843,107037,19600208,   25,    0
  1843,107037,19600209,   42,    0
  1843,107037,19600210,   47,    0
  1843,107037,19600211,   39,    1
  1843,107037,19600212,   17,    0
  1843,107037,19600213,   36,    0
  1843,107037,19600214,   25,    0
  1843,107037,19600215,   14,    0
  1843,107037,19600216,   17,    0
  1843,107037,19600217,    9,    0
  1843,107037,19600218,    6,    0
  1843,107037,19600219,   22,    0
  1843,107037,19600220,   34,    0
  1843,107037,19600221,   45,    0
  1843,107037,19600222,   42,    0
  1843,107037,19600223,   48,    0
  1843,107037,19600224,   12,    0
  1843,107037,19600225,   45,    0
  1843,107037,19600226,   59,    0
  1843,107037,19600227,   81,    0
  1843,107037,19600228,   98,    0
  1843,107037,19600229,  112,    0
  1843,107037,19600301,  108,    0
  1843,107037,19600302,  100,    0
  1843,107037,19600303,   72,    0
  1843,107037,19600304,   89,    0
  1843,107037,19600305,   59,    1
  1843,107037,19600306,   45,    0
  1843,107037,19600307,   34,    1
  1843,107037,19600308,   17,    0
  1843,107037,19600309,   17,    0
  1843,107037,19600310,   47,    0
  1843,107037,19600311,   64,    0
  1843,107037,19600312,   64,    0
  1843,107037,19600313,   72,    0
  1843,107037,19600314,   81,    0
  1843,107037,19600315,   73,    0
  1843,107037,19600316,   64,    1
  1843,107037,19600317,   42,    0
  1843,107037,19600318,   36,    0
  1843,107037,19600319,   36,    0
  1843,107037,19600320,   42,    0
  1843,107037,19600321,   37,    0
  1843,107037,19600322,   56,    0
  1843,107037,19600323,   56,    0
  1843,107037,19600324,   73,    0
  1843,107037,19600325,   70,    1
  1843,107037,19600326,   56,    0
  1843,107037,19600327,   56,    0
  1843,107037,19600328,   53,    0
  1843,107037,19600329,   50,    0
  1843,107037,19600330,   47,    0
  1843,107037,19600331,   53,    0
  1843,107037,19600401,   61,    0
  1843,107037,19600402,   56,    0
  1843,107037,19600403,   70,    0
  1843,107037,19600404,   87,    0
  1843,107037,19600405,  100,    0
  1843,107037,19600406,   89,    0
  1843,107037,19600407,  103,    0
  1843,107037,19600408,  112,    0
  1843,107037,19600409,  120,    0
  1843,107037,19600410,  106,    0
  1843,107037,19600411,  111,    0
  1843,107037,19600412,   70,    0
  1843,107037,19600413,  103,    0
  1843,107037,19600414,  106,    0
  1843,107037,19600415,   89,    0
  1843,107037,19600416,   75,    0
  1843,107037,19600417,   69,    0
  1843,107037,19600418,   69,    0
  1843,107037,19600419,   70,    0
  1843,107037,19600420,   81,    0
  1843,107037,19600421,  100,    0
  1843,107037,19600422,   89,    0
  1843,107037,19600423,  111,    0
  1843,107037,19600424,   78,    0
  1843,107037,19600425,   83,    0
  1843,107037,19600426,   84,    0
  1843,107037,19600427,   56,    0
  1843,107037,19600428,   67,    0
  1843,107037,19600429,   75,    0
  1843,107037,19600430,   59,    0
  1843,107037,19600501,   72,    0
  1843,107037,19600502,   53,    0
  1843,107037,19600503,   81,    0
  1843,107037,19600504,  117,    0
  1843,107037,19600505,  128,    0
  1843,107037,19600506,  134,    0
  1843,107037,19600507,  131,    0
  1843,107037,19600508,  123,    0
  1843,107037,19600509,  122,    0
  1843,107037,19600510,  122,    0
  1843,107037,19600511,  117,    0
  1843,107037,19600512,  120,    0
  1843,107037,19600513,  123,    0
  1843,107037,19600514,  120,    0
  1843,107037,19600515,  134,    0
  1843,107037,19600516,  120,    0
  1843,107037,19600517,  120,    0
  1843,107037,19600518,  123,    1
  1843,107037,19600519,  103,    0
  1843,107037,19600520,   95,    0
  1843,107037,19600521,   95,    0
  1843,107037,19600522,   95,    0
  1843,107037,19600523,  106,    0
  1843,107037,19600524,  125,    0
  1843,107037,19600525,  128,    0
  1843,107037,19600526,  156,    0
  1843,107037,19600527,  167,    0
  1843,107037,19600528,  150,    0
  1843,107037,19600529,  131,    0
  1843,107037,19600530,  103,    0
  1843,107037,19600531,   87,    0
  1843,107037,19600601,   95,    0
  1843,107037,19600602,  114,    0
  1843,107037,19600603,  114,    0
  1843,107037,19600604,  139,    0
  1843,107037,19600605,  153,    0
  1843,107037,19600606,  175,    0
  1843,107037,19600607,  158,    0
  1843,107037,19600608,  162,    1
  1843,107037,19600609,  134,    0
  1843,107037,19600610,  142,    0
  1843,107037,19600611,  139,    0
  1843,107037,19600612,  167,    0
  1843,107037,19600613,  156,    0
  1843,107037,19600614,  136,    0
  1843,107037,19600615,  131,    0
  1843,107037,19600616,  159,    0
  1843,107037,19600617,  186,    0
  1843,107037,19600618,  206,    0
  1843,107037,19600619,  181,    0
  1843,107037,19600620,  147,    0
  1843,107037,19600621,  142,    0
  1843,107037,19600622,  153,    0
  1843,107037,19600623,  145,    0
  1843,107037,19600624,  164,    0
  1843,107037,19600625,  167,    0
  1843,107037,19600626,  164,    0
  1843,107037,19600627,  170,    0
  1843,107037,19600628,  139,    0
  1843,107037,19600629,  128,    0
  1843,107037,19600630,  108,    0
  1843,107037,19600701,  106,    0
  1843,107037,19600702,  134,    0
  1843,107037,19600703,  128,    0
  1843,107037,19600704,  159,    0
  1843,107037,19600705,  164,    0
  1843,107037,19600706,  150,    0
  1843,107037,19600707,  164,    0
  1843,107037,19600708,  156,    0
  1843,107037,19600709,  139,    0
  1843,107037,19600710,  159,    0
  1843,107037,19600711,  156,    0
  1843,107037,19600712,  142,    0
  1843,107037,19600713,  167,    0
  1843,107037,19600714,  158,    0
  1843,107037,19600715,  156,    0
  1843,107037,19600716,  144,    0
  1843,107037,19600717,  158,    0
  1843,107037,19600718,  172,    0
  1843,107037,19600719,  172,    0
  1843,107037,19600720,  164,    0
  1843,107037,19600721,  128,    0
  1843,107037,19600722,  139,    0
  1843,107037,19600723,  139,    0
  1843,107037,19600724,  156,    0
  1843,107037,19600725,  181,    0
  1843,107037,19600726,  161,    0
  1843,107037,19600727,  150,    0
  1843,107037,19600728,  172,    0
  1843,107037,19600729,  195,    1
  1843,107037,19600730,  169,    0
  1843,107037,19600731,  153,    0
  1843,107037,19600801,  147,    0
  1843,107037,19600802,  148,    0
  1843,107037,19600803,  148,    0
  1843,107037,19600804,  164,    0
  1843,107037,19600805,  158,    0
  1843,107037,19600806,  161,    0
  1843,107037,19600807,  147,    0
  1843,107037,19600808,  169,    0
  1843,107037,19600809,  153,    0
  1843,107037,19600810,  139,    0
  1843,107037,19600811,  139,    0
  1843,107037,19600812,  147,    0
  1843,107037,19600813,  120,    0
  1843,107037,19600814,  153,    0
  1843,107037,19600815,  145,    0
  1843,107037,19600816,  142,    0
  1843,107037,19600817,  142,    0
  1843,107037,19600818,  156,    0
  1843,107037,19600819,  133,    0
  1843,107037,19600820,  156,    0
  1843,107037,19600821,  181,    0
  1843,107037,19600822,  175,    0
  1843,107037,19600823,  194,    0
  1843,107037,19600824,  170,    0
  1843,107037,19600825,  172,    0
  1843,107037,19600826,  161,    0
  1843,107037,19600827,  150,    0
  1843,107037,19600828,  167,    0
  1843,107037,19600829,  158,    0
  1843,107037,19600830,  159,    0
  1843,107037,19600831,  139,    0
  1843,107037,19600901,  153,    0
  1843,107037,19600902,  128,    0
  1843,107037,19600903,  164,    0
  1843,107037,19600904,  145,    0
  1843,107037,19600905,  142,    0
  1843,107037,19600906,  133,    0
  1843,107037,19600907,  142,    0
  1843,107037,19600908,  139,    0
  1843,107037,19600909,  145,    0
  1843,107037,19600910,  170,    0
  1843,107037,19600911,  178,    0
  1843,107037,19600912,  159,    0
  1843,107037,19600913,  153,    0
  1843,107037,19600914,  156,    0
  1843,107037,19600915,  148,    0
  1843,107037,19600916,  156,    0
  1843,107037,19600917,  153,    0
  1843,107037,19600918,  147,    0
  1843,107037,19600919,  164,    0
  1843,107037,19600920,  145,    1
  1843,107037,19600921,  125,    1
  1843,107037,19600922,   97,    0
  1843,107037,19600923,  142,    0
  1843,107037,19600924,  117,    0
  1843,107037,19600925,  120,    0
  1843,107037,19600926,  131,    0
  1843,107037,19600927,  142,    0
  1843,107037,19600928,  131,    0
  1843,107037,19600929,  128,    0
  1843,107037,19600930,  128,    0
  1843,107037,19601001,  120,    0
  1843,107037,19601002,  147,    0
  1843,107037,19601003,  158,    0
  1843,107037,19601004,  156,    1
  1843,107037,19601005,  128,    0
  1843,107037,19601006,  145,    0
  1843,107037,19601007,  145,    0
  1843,107037,19601008,  134,    0
  1843,107037,19601009,  125,    1
  1843,107037,19601010,   97,    0
  1843,107037,19601011,  106,    0
  1843,107037,19601012,   78,    0
  1843,107037,19601013,   70,    0
  1843,107037,19601014,   59,    0
  1843,107037,19601015,   81,    0
  1843,107037,19601016,  106,    0
  1843,107037,19601017,   97,    0
  1843,107037,19601018,  103,    0
  1843,107037,19601019,  114,    0
  1843,107037,19601020,  117,    0
  1843,107037,19601021,  120,    0
  1843,107037,19601022,  114,    0
  1843,107037,19601023,  106,    0
  1843,107037,19601024,  134,    0
  1843,107037,19601025,  133,    0
  1843,107037,19601026,  128,    0
  1843,107037,19601027,  117,    0
  1843,107037,19601028,  125,    0
  1843,107037,19601029,  128,    1
  1843,107037,19601030,  112,    1
  1843,107037,19601031,   87,    0
