EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107038) of UNITED KINGDOM, ROTHAMSTED (STAID: 1844)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1844,107038,19600101,   98,    0
  1844,107038,19600102,   73,    1
  1844,107038,19600103,   58,    0
  1844,107038,19600104,   72,    0
  1844,107038,19600105,   86,    1
  1844,107038,19600106,   36,    0
  1844,107038,19600107,   14,    0
  1844,107038,19600108,    3,    0
  1844,107038,19600109,   22,    1
  1844,107038,19600110,  -14,    0
  1844,107038,19600111,   -3,    0
  1844,107038,19600112,   20,    1
  1844,107038,19600113,  -17,    0
  1844,107038,19600114,  -34,    0
  1844,107038,19600115,  -17,    0
  1844,107038,19600116,  -11,    0
  1844,107038,19600117,   -6,    0
  1844,107038,19600118,   -3,    0
  1844,107038,19600119,   34,    0
  1844,107038,19600120,   45,    1
  1844,107038,19600121,   17,    0
  1844,107038,19600122,   56,    0
  1844,107038,19600123,  100,    0
  1844,107038,19600124,   89,    0
  1844,107038,19600125,   62,    0
  1844,107038,19600126,   36,    1
  1844,107038,19600127,   14,    0
  1844,107038,19600128,   42,    0
  1844,107038,19600129,   36,    0
  1844,107038,19600130,   50,    0
  1844,107038,19600131,   75,    0
  1844,107038,19600201,   56,    0
  1844,107038,19600202,   53,    0
  1844,107038,19600203,   81,    0
  1844,107038,19600204,   67,    0
  1844,107038,19600205,   45,    0
  1844,107038,19600206,   39,    0
  1844,107038,19600207,   36,    0
  1844,107038,19600208,    6,    0
  1844,107038,19600209,   14,    0
  1844,107038,19600210,   37,    0
  1844,107038,19600211,   22,    1
  1844,107038,19600212,    9,    0
  1844,107038,19600213,   11,    0
  1844,107038,19600214,    9,    0
  1844,107038,19600215,    9,    0
  1844,107038,19600216,   14,    0
  1844,107038,19600217,    3,    0
  1844,107038,19600218,   -6,    0
  1844,107038,19600219,   17,    0
  1844,107038,19600220,   28,    0
  1844,107038,19600221,   45,    0
  1844,107038,19600222,   36,    0
  1844,107038,19600223,   37,    0
  1844,107038,19600224,    9,    0
  1844,107038,19600225,   25,    0
  1844,107038,19600226,   56,    0
  1844,107038,19600227,   86,    0
  1844,107038,19600228,   95,    0
  1844,107038,19600229,  117,    0
  1844,107038,19600301,  117,    0
  1844,107038,19600302,  100,    0
  1844,107038,19600303,   73,    0
  1844,107038,19600304,   70,    0
  1844,107038,19600305,   56,    0
  1844,107038,19600306,   61,    1
  1844,107038,19600307,   25,    0
  1844,107038,19600308,   14,    0
