EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107041) of UNITED KINGDOM, BRADFORD (STAID: 1847)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1847,107041,19600101,   95,    1
  1847,107041,19600102,   53,    1
  1847,107041,19600103,   31,    0
  1847,107041,19600104,   53,    0
  1847,107041,19600105,   72,    1
  1847,107041,19600106,   34,    0
  1847,107041,19600107,   34,    0
  1847,107041,19600108,   17,    0
  1847,107041,19600109,   39,    1
  1847,107041,19600110,    0,    0
  1847,107041,19600111,   17,    0
  1847,107041,19600112,   31,    1
  1847,107041,19600113,    6,    1
  1847,107041,19600114,  -28,    0
  1847,107041,19600115,   -3,    0
  1847,107041,19600116,   11,    0
  1847,107041,19600117,    6,    0
  1847,107041,19600118,   22,    0
  1847,107041,19600119,   45,    0
  1847,107041,19600120,   28,    0
  1847,107041,19600121,   11,    0
  1847,107041,19600122,   53,    0
  1847,107041,19600123,  111,    0
  1847,107041,19600124,   95,    1
  1847,107041,19600125,   53,    0
  1847,107041,19600126,   23,    1
  1847,107041,19600127,    8,    0
  1847,107041,19600128,   28,    1
  1847,107041,19600129,   14,    0
  1847,107041,19600130,   20,    0
  1847,107041,19600131,   28,    0
  1847,107041,19600201,   56,    0
  1847,107041,19600202,   39,    0
  1847,107041,19600203,   86,    0
  1847,107041,19600204,   87,    1
  1847,107041,19600205,   61,    0
  1847,107041,19600206,   31,    0
  1847,107041,19600207,   45,    1
  1847,107041,19600208,    9,    0
  1847,107041,19600209,   20,    0
  1847,107041,19600210,   28,    0
  1847,107041,19600211,   19,    1
  1847,107041,19600212,    0,    0
  1847,107041,19600213,    0,    0
  1847,107041,19600214,  -17,    0
  1847,107041,19600215,  -17,    0
  1847,107041,19600216,    9,    0
  1847,107041,19600217,    0,    0
  1847,107041,19600218,  -17,    0
  1847,107041,19600219,   11,    0
  1847,107041,19600220,   20,    0
  1847,107041,19600221,   31,    0
  1847,107041,19600222,    9,    0
  1847,107041,19600223,   11,    0
  1847,107041,19600224,    0,    0
  1847,107041,19600225,    8,    0
  1847,107041,19600226,   36,    0
  1847,107041,19600227,   64,    0
  1847,107041,19600228,   95,    0
  1847,107041,19600229,  108,    0
  1847,107041,19600301,  120,    1
  1847,107041,19600302,   95,    0
  1847,107041,19600303,   84,    0
  1847,107041,19600304,   70,    0
  1847,107041,19600305,   47,    0
  1847,107041,19600306,   67,    1
  1847,107041,19600307,   25,    0
  1847,107041,19600308,   17,    0
  1847,107041,19600309,    3,    0
  1847,107041,19600310,   22,    0
  1847,107041,19600311,   50,    0
  1847,107041,19600312,   58,    0
  1847,107041,19600313,   47,    0
  1847,107041,19600314,   64,    0
  1847,107041,19600315,   84,    1
  1847,107041,19600316,   56,    0
  1847,107041,19600317,   42,    1
  1847,107041,19600318,   25,    0
  1847,107041,19600319,   31,    0
  1847,107041,19600320,   34,    0
  1847,107041,19600321,   48,    0
  1847,107041,19600322,   39,    0
  1847,107041,19600323,   39,    0
  1847,107041,19600324,   50,    0
  1847,107041,19600325,   75,    1
  1847,107041,19600326,   45,    0
  1847,107041,19600327,   50,    0
  1847,107041,19600328,   45,    0
  1847,107041,19600329,   47,    0
  1847,107041,19600330,   53,    1
  1847,107041,19600331,   31,    0
  1847,107041,19600401,   48,    0
  1847,107041,19600402,   56,    0
  1847,107041,19600403,   89,    0
  1847,107041,19600404,   84,    0
  1847,107041,19600405,   92,    0
  1847,107041,19600406,  128,    0
  1847,107041,19600407,   78,    0
  1847,107041,19600408,  106,    0
  1847,107041,19600409,  111,    0
  1847,107041,19600410,   95,    0
  1847,107041,19600411,   78,    0
  1847,107041,19600412,   72,    0
  1847,107041,19600413,   95,    0
  1847,107041,19600414,   97,    0
  1847,107041,19600415,   75,    0
  1847,107041,19600416,   75,    0
  1847,107041,19600417,   39,    0
  1847,107041,19600418,   64,    0
  1847,107041,19600419,   73,    0
  1847,107041,19600420,   81,    0
  1847,107041,19600421,  103,    0
  1847,107041,19600422,  100,    0
  1847,107041,19600423,  123,    0
  1847,107041,19600424,  100,    0
  1847,107041,19600425,  100,    0
  1847,107041,19600426,   78,    0
  1847,107041,19600427,   87,    0
  1847,107041,19600428,   87,    0
  1847,107041,19600429,   75,    0
  1847,107041,19600430,   64,    0
  1847,107041,19600501,   92,    1
  1847,107041,19600502,   50,    0
  1847,107041,19600503,  106,    0
  1847,107041,19600504,  112,    0
  1847,107041,19600505,  108,    0
  1847,107041,19600506,  117,    0
  1847,107041,19600507,  117,    0
  1847,107041,19600508,  139,    0
  1847,107041,19600509,  145,    0
  1847,107041,19600510,  136,    0
  1847,107041,19600511,  133,    0
  1847,107041,19600512,  131,    1
  1847,107041,19600513,  109,    0
  1847,107041,19600514,  117,    0
  1847,107041,19600515,  136,    0
  1847,107041,19600516,  145,    0
  1847,107041,19600517,  145,    0
  1847,107041,19600518,  131,    1
  1847,107041,19600519,  100,    0
  1847,107041,19600520,   89,    0
  1847,107041,19600521,   92,    0
  1847,107041,19600522,  103,    0
  1847,107041,19600523,  150,    0
  1847,107041,19600524,  117,    0
  1847,107041,19600525,   97,    0
  1847,107041,19600526,  156,    0
  1847,107041,19600527,  183,    0
  1847,107041,19600528,  136,    0
  1847,107041,19600529,  114,    0
  1847,107041,19600530,  112,    0
  1847,107041,19600531,  131,    0
  1847,107041,19600601,  134,    0
  1847,107041,19600602,  147,    0
  1847,107041,19600603,  173,    0
  1847,107041,19600604,  170,    0
  1847,107041,19600605,  175,    0
  1847,107041,19600606,  206,    0
  1847,107041,19600607,  145,    0
  1847,107041,19600608,  145,    0
  1847,107041,19600609,  145,    0
  1847,107041,19600610,  117,    0
  1847,107041,19600611,  128,    0
  1847,107041,19600612,  153,    0
  1847,107041,19600613,  136,    0
  1847,107041,19600614,  125,    0
  1847,107041,19600615,  120,    0
  1847,107041,19600616,  147,    0
  1847,107041,19600617,  181,    0
  1847,107041,19600618,  192,    0
  1847,107041,19600619,  178,    0
  1847,107041,19600620,  159,    0
  1847,107041,19600621,  178,    0
  1847,107041,19600622,  206,    0
  1847,107041,19600623,  189,    1
  1847,107041,19600624,  147,    0
  1847,107041,19600625,  170,    0
  1847,107041,19600626,  183,    0
  1847,107041,19600627,  167,    0
  1847,107041,19600628,  145,    0
  1847,107041,19600629,  125,    0
  1847,107041,19600630,  103,    0
  1847,107041,19600701,  111,    0
  1847,107041,19600702,  145,    0
  1847,107041,19600703,  134,    0
  1847,107041,19600704,  153,    0
  1847,107041,19600705,  161,    0
  1847,107041,19600706,  156,    1
  1847,107041,19600707,  128,    0
  1847,107041,19600708,  139,    0
  1847,107041,19600709,  136,    0
  1847,107041,19600710,  131,    0
  1847,107041,19600711,  131,    0
  1847,107041,19600712,  142,    0
  1847,107041,19600713,  156,    0
  1847,107041,19600714,  161,    0
  1847,107041,19600715,  147,    0
  1847,107041,19600716,  139,    0
  1847,107041,19600717,  150,    0
  1847,107041,19600718,  153,    0
  1847,107041,19600719,  159,    0
  1847,107041,19600720,  139,    0
  1847,107041,19600721,  142,    0
  1847,107041,19600722,  125,    0
  1847,107041,19600723,  120,    0
