EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107042) of UNITED KINGDOM, SHEFFIELD (STAID: 1848)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1848,107042,19600101,   98,    0
  1848,107042,19600102,   67,    1
  1848,107042,19600103,   50,    0
  1848,107042,19600104,   69,    0
  1848,107042,19600105,   81,    1
  1848,107042,19600106,   48,    0
  1848,107042,19600107,   59,    0
  1848,107042,19600108,   39,    0
  1848,107042,19600109,   39,    1
  1848,107042,19600110,    6,    0
  1848,107042,19600111,   22,    0
  1848,107042,19600112,   34,    1
  1848,107042,19600113,    6,    1
  1848,107042,19600114,  -20,    0
  1848,107042,19600115,   -3,    0
  1848,107042,19600116,   11,    0
  1848,107042,19600117,   14,    0
  1848,107042,19600118,   31,    0
  1848,107042,19600119,   39,    0
  1848,107042,19600120,   36,    0
  1848,107042,19600121,   20,    0
  1848,107042,19600122,   53,    0
  1848,107042,19600123,  111,    0
  1848,107042,19600124,   95,    1
  1848,107042,19600125,   61,    0
  1848,107042,19600126,   45,    1
  1848,107042,19600127,   17,    0
  1848,107042,19600128,   33,    1
  1848,107042,19600129,   20,    0
  1848,107042,19600130,   28,    0
  1848,107042,19600131,   45,    0
  1848,107042,19600201,   72,    0
  1848,107042,19600202,   59,    0
  1848,107042,19600203,   87,    0
  1848,107042,19600204,   75,    0
  1848,107042,19600205,   58,    0
  1848,107042,19600206,   53,    0
  1848,107042,19600207,   47,    1
  1848,107042,19600208,   22,    0
  1848,107042,19600209,   31,    0
  1848,107042,19600210,   36,    0
  1848,107042,19600211,   31,    1
  1848,107042,19600212,    0,    0
  1848,107042,19600213,    3,    0
  1848,107042,19600214,   -6,    0
  1848,107042,19600215,   -3,    0
  1848,107042,19600216,   14,    0
  1848,107042,19600217,   14,    0
  1848,107042,19600218,   -6,    0
  1848,107042,19600219,    9,    0
  1848,107042,19600220,   25,    0
  1848,107042,19600221,   31,    0
  1848,107042,19600222,   22,    0
  1848,107042,19600223,   25,    0
  1848,107042,19600224,   20,    0
  1848,107042,19600225,   28,    0
  1848,107042,19600226,   42,    0
  1848,107042,19600227,   75,    0
  1848,107042,19600228,   97,    0
  1848,107042,19600229,  117,    0
  1848,107042,19600301,  122,    0
  1848,107042,19600302,  100,    0
  1848,107042,19600303,   89,    0
  1848,107042,19600304,   89,    0
  1848,107042,19600305,   61,    0
  1848,107042,19600306,   70,    1
  1848,107042,19600307,   31,    0
  1848,107042,19600308,   22,    1
  1848,107042,19600309,    3,    0
  1848,107042,19600310,   31,    0
  1848,107042,19600311,   61,    0
  1848,107042,19600312,   64,    0
  1848,107042,19600313,   58,    0
  1848,107042,19600314,   72,    0
  1848,107042,19600315,   97,    1
  1848,107042,19600316,   64,    1
  1848,107042,19600317,   39,    0
  1848,107042,19600318,   31,    0
  1848,107042,19600319,   33,    0
  1848,107042,19600320,   42,    0
  1848,107042,19600321,   53,    0
