EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107043) of UNITED KINGDOM, BUXTON (STAID: 1849)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1849,107043,19600101,   81,    1
  1849,107043,19600102,   39,    0
  1849,107043,19600103,   39,    0
  1849,107043,19600104,   64,    0
  1849,107043,19600105,   64,    1
  1849,107043,19600106,   31,    0
  1849,107043,19600107,   25,    0
  1849,107043,19600108,   -3,    0
  1849,107043,19600109,   20,    1
  1849,107043,19600110,  -17,    0
  1849,107043,19600111,    8,    0
  1849,107043,19600112,   17,    0
  1849,107043,19600113,    3,    1
  1849,107043,19600114,  -37,    0
  1849,107043,19600115,  -14,    0
  1849,107043,19600116,   -8,    0
  1849,107043,19600117,  -28,    0
  1849,107043,19600118,   17,    0
  1849,107043,19600119,   28,    0
  1849,107043,19600120,   20,    1
  1849,107043,19600121,   -6,    0
  1849,107043,19600122,   42,    0
  1849,107043,19600123,   92,    0
  1849,107043,19600124,   84,    1
  1849,107043,19600125,   50,    0
  1849,107043,19600126,   17,    0
  1849,107043,19600127,    6,    0
  1849,107043,19600128,   14,    0
  1849,107043,19600129,    9,    0
  1849,107043,19600130,   14,    0
  1849,107043,19600131,   34,    0
  1849,107043,19600201,   56,    0
  1849,107043,19600202,   45,    0
  1849,107043,19600203,   73,    0
  1849,107043,19600204,   64,    1
  1849,107043,19600205,   42,    0
  1849,107043,19600206,   20,    0
  1849,107043,19600207,   31,    1
  1849,107043,19600208,    6,    0
  1849,107043,19600209,    8,    0
  1849,107043,19600210,   23,    0
  1849,107043,19600211,    8,    1
  1849,107043,19600212,  -12,    0
  1849,107043,19600213,  -22,    0
  1849,107043,19600214,  -36,    0
  1849,107043,19600215,  -20,    0
  1849,107043,19600216,   -8,    0
  1849,107043,19600217,  -11,    0
  1849,107043,19600218,  -59,    0
