EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107049) of UNITED KINGDOM, MALVERN (STAID: 1855)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1855,107049,19600101,  103,    0
  1855,107049,19600102,   81,    1
  1855,107049,19600103,   62,    0
  1855,107049,19600104,   84,    0
  1855,107049,19600105,   92,    1
  1855,107049,19600106,   42,    0
  1855,107049,19600107,   25,    1
  1855,107049,19600108,    0,    0
  1855,107049,19600109,   14,    0
  1855,107049,19600110,    6,    0
  1855,107049,19600111,   22,    0
  1855,107049,19600112,   39,    0
  1855,107049,19600113,   20,    1
  1855,107049,19600114,  -22,    0
  1855,107049,19600115,  -11,    0
  1855,107049,19600116,   14,    0
  1855,107049,19600117,   19,    0
  1855,107049,19600118,   34,    0
  1855,107049,19600119,   56,    0
  1855,107049,19600120,   56,    1
  1855,107049,19600121,   25,    0
  1855,107049,19600122,   62,    0
  1855,107049,19600123,  111,    0
  1855,107049,19600124,   89,    1
  1855,107049,19600125,   58,    0
  1855,107049,19600126,   36,    1
  1855,107049,19600127,   17,    0
  1855,107049,19600128,   25,    0
  1855,107049,19600129,   25,    0
  1855,107049,19600130,   61,    0
  1855,107049,19600131,   81,    0
  1855,107049,19600201,   72,    0
  1855,107049,19600202,   59,    0
  1855,107049,19600203,   98,    0
  1855,107049,19600204,   75,    0
  1855,107049,19600205,   64,    0
  1855,107049,19600206,   53,    0
  1855,107049,19600207,   42,    0
  1855,107049,19600208,   17,    0
  1855,107049,19600209,   19,    0
  1855,107049,19600210,   36,    0
  1855,107049,19600211,   28,    1
  1855,107049,19600212,    6,    0
  1855,107049,19600213,    0,    0
  1855,107049,19600214,    3,    0
  1855,107049,19600215,   22,    0
  1855,107049,19600216,   20,    0
  1855,107049,19600217,   20,    0
  1855,107049,19600218,   17,    0
  1855,107049,19600219,   28,    0
  1855,107049,19600220,   50,    0
  1855,107049,19600221,   50,    0
  1855,107049,19600222,   42,    0
  1855,107049,19600223,   31,    0
  1855,107049,19600224,   17,    0
  1855,107049,19600225,   39,    0
  1855,107049,19600226,   50,    0
  1855,107049,19600227,   78,    0
  1855,107049,19600228,  106,    0
  1855,107049,19600229,  120,    0
  1855,107049,19600301,  120,    0
  1855,107049,19600302,   98,    0
  1855,107049,19600303,   84,    0
  1855,107049,19600304,   86,    0
  1855,107049,19600305,   64,    0
  1855,107049,19600306,   75,    0
  1855,107049,19600307,   45,    0
  1855,107049,19600308,   34,    1
  1855,107049,19600309,   14,    0
  1855,107049,19600310,   39,    0
  1855,107049,19600311,   81,    0
  1855,107049,19600312,   81,    0
  1855,107049,19600313,   78,    0
  1855,107049,19600314,   86,    0
  1855,107049,19600315,   86,    0
  1855,107049,19600316,   86,    1
  1855,107049,19600317,   50,    1
  1855,107049,19600318,   33,    0
  1855,107049,19600319,   45,    0
  1855,107049,19600320,   50,    0
  1855,107049,19600321,   64,    0
  1855,107049,19600322,   50,    0
  1855,107049,19600323,   70,    0
  1855,107049,19600324,   81,    0
  1855,107049,19600325,  100,    0
  1855,107049,19600326,   70,    0
  1855,107049,19600327,   64,    0
  1855,107049,19600328,   56,    0
  1855,107049,19600329,   59,    1
  1855,107049,19600330,   39,    0
  1855,107049,19600331,   42,    0
  1855,107049,19600401,   53,    0
  1855,107049,19600402,   72,    0
  1855,107049,19600403,  100,    0
  1855,107049,19600404,   95,    0
  1855,107049,19600405,  119,    0
  1855,107049,19600406,  119,    0
  1855,107049,19600407,   87,    0
  1855,107049,19600408,  106,    0
  1855,107049,19600409,  122,    0
  1855,107049,19600410,  106,    0
  1855,107049,19600411,   95,    0
  1855,107049,19600412,   84,    0
  1855,107049,19600413,  108,    0
  1855,107049,19600414,  109,    0
  1855,107049,19600415,   89,    0
  1855,107049,19600416,   61,    0
  1855,107049,19600417,   67,    0
  1855,107049,19600418,   70,    0
  1855,107049,19600419,   78,    0
  1855,107049,19600420,  103,    0
  1855,107049,19600421,  120,    0
  1855,107049,19600422,  120,    0
  1855,107049,19600423,  117,    0
  1855,107049,19600424,  103,    0
  1855,107049,19600425,  112,    0
  1855,107049,19600426,  106,    0
  1855,107049,19600427,  103,    0
  1855,107049,19600428,   92,    0
  1855,107049,19600429,   83,    0
  1855,107049,19600430,   64,    0
  1855,107049,19600501,  103,    0
  1855,107049,19600502,   89,    0
  1855,107049,19600503,   97,    0
  1855,107049,19600504,  114,    0
  1855,107049,19600505,  128,    0
  1855,107049,19600506,  153,    0
  1855,107049,19600507,  148,    0
  1855,107049,19600508,  170,    0
  1855,107049,19600509,  178,    0
  1855,107049,19600510,  136,    0
  1855,107049,19600511,  161,    0
  1855,107049,19600512,  147,    0
  1855,107049,19600513,  131,    0
  1855,107049,19600514,  142,    0
  1855,107049,19600515,  147,    0
  1855,107049,19600516,  150,    0
  1855,107049,19600517,  156,    0
  1855,107049,19600518,  134,    0
  1855,107049,19600519,  125,    1
  1855,107049,19600520,   97,    0
  1855,107049,19600521,   98,    0
  1855,107049,19600522,  100,    0
  1855,107049,19600523,  134,    0
  1855,107049,19600524,  128,    0
  1855,107049,19600525,  122,    0
  1855,107049,19600526,  161,    0
  1855,107049,19600527,  178,    0
  1855,107049,19600528,  159,    0
  1855,107049,19600529,  117,    0
  1855,107049,19600530,  125,    0
  1855,107049,19600531,  131,    0
  1855,107049,19600601,  164,    0
  1855,107049,19600602,  172,    0
  1855,107049,19600603,  195,    0
  1855,107049,19600604,  189,    0
  1855,107049,19600605,  206,    0
  1855,107049,19600606,  200,    0
  1855,107049,19600607,  142,    0
  1855,107049,19600608,  150,    0
  1855,107049,19600609,  153,    0
  1855,107049,19600610,  142,    0
  1855,107049,19600611,  145,    0
  1855,107049,19600612,  172,    0
  1855,107049,19600613,  139,    0
  1855,107049,19600614,  134,    0
  1855,107049,19600615,  128,    0
