EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 107058) of UNITED KINGDOM, EASTBOURNE (STAID: 1864)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  1864,107058,19600101,  100,    0
  1864,107058,19600102,   81,    0
  1864,107058,19600103,   86,    0
  1864,107058,19600104,   95,    0
  1864,107058,19600105,  112,    1
  1864,107058,19600106,   67,    0
  1864,107058,19600107,   42,    0
  1864,107058,19600108,   28,    0
  1864,107058,19600109,   34,    0
  1864,107058,19600110,   11,    0
  1864,107058,19600111,    6,    0
  1864,107058,19600112,   28,    1
  1864,107058,19600113,   -3,    0
  1864,107058,19600114,  -20,    0
  1864,107058,19600115,  -14,    0
  1864,107058,19600116,   -6,    0
  1864,107058,19600117,   14,    0
  1864,107058,19600118,   28,    0
  1864,107058,19600119,   56,    0
  1864,107058,19600120,   56,    0
  1864,107058,19600121,   61,    0
  1864,107058,19600122,   92,    0
  1864,107058,19600123,   95,    0
  1864,107058,19600124,   95,    0
  1864,107058,19600125,   53,    0
  1864,107058,19600126,   53,    0
  1864,107058,19600127,   48,    0
  1864,107058,19600128,   67,    0
  1864,107058,19600129,   48,    0
  1864,107058,19600130,   64,    0
  1864,107058,19600131,   83,    0
  1864,107058,19600201,   59,    0
  1864,107058,19600202,   78,    0
  1864,107058,19600203,   89,    0
  1864,107058,19600204,   84,    0
  1864,107058,19600205,   61,    0
  1864,107058,19600206,   56,    0
  1864,107058,19600207,   50,    0
  1864,107058,19600208,   22,    0
  1864,107058,19600209,   22,    0
