EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 115808) of UNITED KINGDOM, BRAEMAR-1 (STAID: 3507)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  3507,115808,20050601,-9999,    9
  3507,115808,20050602,-9999,    9
  3507,115808,20050603,-9999,    9
  3507,115808,20050604,-9999,    9
  3507,115808,20050605,-9999,    9
  3507,115808,20050606,-9999,    9
  3507,115808,20050607,-9999,    9
  3507,115808,20050608,-9999,    9
  3507,115808,20050609,-9999,    9
  3507,115808,20050610,-9999,    9
  3507,115808,20050611,-9999,    9
  3507,115808,20050612,-9999,    9
  3507,115808,20050613,-9999,    9
  3507,115808,20050614,-9999,    9
  3507,115808,20050615,-9999,    9
  3507,115808,20050616,-9999,    9
  3507,115808,20050617,-9999,    9
  3507,115808,20050618,-9999,    9
  3507,115808,20050619,-9999,    9
  3507,115808,20050620,-9999,    9
  3507,115808,20050621,-9999,    9
  3507,115808,20050622,-9999,    9
  3507,115808,20050623,-9999,    9
  3507,115808,20050624,-9999,    9
  3507,115808,20050625,-9999,    9
  3507,115808,20050626,-9999,    9
  3507,115808,20050627,-9999,    9
  3507,115808,20050628,  167,    0
  3507,115808,20050629,  130,    0
  3507,115808,20050630,  129,    0
  3507,115808,20050701,-9999,    9
  3507,115808,20050702,-9999,    9
  3507,115808,20050703,-9999,    9
  3507,115808,20050704,-9999,    9
  3507,115808,20050705,-9999,    9
  3507,115808,20050706,-9999,    9
  3507,115808,20050707,-9999,    9
  3507,115808,20050708,  152,    0
  3507,115808,20050709,  168,    0
  3507,115808,20050710,  201,    0
  3507,115808,20050711,  200,    0
  3507,115808,20050712,  184,    0
  3507,115808,20050713,  160,    0
  3507,115808,20050714,  160,    0
  3507,115808,20050715,  143,    0
  3507,115808,20050716,  120,    0
  3507,115808,20050717,  188,    0
  3507,115808,20050718,  159,    0
  3507,115808,20050719,  105,    0
  3507,115808,20050720,  128,    0
  3507,115808,20050721,  163,    0
  3507,115808,20050722,  148,    0
  3507,115808,20050723,  122,    0
  3507,115808,20050724,  116,    0
  3507,115808,20050725,  105,    0
  3507,115808,20050726,  118,    0
  3507,115808,20050727,  110,    0
  3507,115808,20050728,   93,    0
  3507,115808,20050729,  104,    0
  3507,115808,20050730,  106,    0
  3507,115808,20050731,   74,    0
  3507,115808,20050801,  114,    0
  3507,115808,20050802,  118,    0
  3507,115808,20050803,  110,    0
  3507,115808,20050804,  131,    0
  3507,115808,20050805,  131,    0
  3507,115808,20050806,  115,    0
  3507,115808,20050807,  122,    0
  3507,115808,20050808,  102,    0
  3507,115808,20050809,  143,    0
  3507,115808,20050810,  178,    0
  3507,115808,20050811,  138,    0
  3507,115808,20050812,  124,    0
  3507,115808,20050813,  146,    0
  3507,115808,20050814,  144,    0
  3507,115808,20050815,  142,    0
  3507,115808,20050816,  162,    0
  3507,115808,20050817,  156,    0
  3507,115808,20050818,  146,    0
  3507,115808,20050819,  118,    0
  3507,115808,20050820,  114,    0
  3507,115808,20050821,  136,    0
  3507,115808,20050822,  155,    0
  3507,115808,20050823,  109,    0
  3507,115808,20050824,  127,    0
  3507,115808,20050825,   98,    0
  3507,115808,20050826,   96,    0
  3507,115808,20050827,  106,    0
  3507,115808,20050828,  144,    1
