EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 115812) of UNITED KINGDOM, LOWESTOFT MONKTON AVENUE (STAID: 3508)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  3508,115812,20050101,   68,    0
  3508,115812,20050102,   52,    0
  3508,115812,20050103,   66,    0
  3508,115812,20050104,   90,    0
  3508,115812,20050105,   52,    0
  3508,115812,20050106,   82,    1
  3508,115812,20050107,   90,    0
  3508,115812,20050108,   95,    0
  3508,115812,20050109,   84,    0
  3508,115812,20050110,   98,    0
  3508,115812,20050111,   88,    0
  3508,115812,20050112,   71,    0
  3508,115812,20050113,   50,    0
  3508,115812,20050114,   31,    0
  3508,115812,20050115,   39,    0
  3508,115812,20050116,   69,    1
  3508,115812,20050117,   73,    0
  3508,115812,20050118,   36,    0
  3508,115812,20050119,   62,    1
  3508,115812,20050120,   75,    0
  3508,115812,20050121,   54,    0
  3508,115812,20050122,   24,    0
  3508,115812,20050123,   40,    0
  3508,115812,20050124,   38,    0
  3508,115812,20050125,   29,    0
  3508,115812,20050126,   32,    0
  3508,115812,20050127,   44,    0
  3508,115812,20050128,   67,    0
  3508,115812,20050129,   54,    0
  3508,115812,20050130,   64,    0
  3508,115812,20050131,   66,    0
  3508,115812,20050201,   63,    0
  3508,115812,20050202,   68,    0
  3508,115812,20050203,   77,    0
  3508,115812,20050204,   62,    0
  3508,115812,20050205,   50,    0
  3508,115812,20050206,   42,    0
  3508,115812,20050207,   47,    0
  3508,115812,20050208,   38,    0
  3508,115812,20050209,   67,    0
  3508,115812,20050210,   88,    0
  3508,115812,20050211,   83,    0
  3508,115812,20050212,   90,    0
  3508,115812,20050213,   48,    0
  3508,115812,20050214,   42,    0
  3508,115812,20050215,   38,    0
  3508,115812,20050216,   31,    0
  3508,115812,20050217,   26,    0
  3508,115812,20050218,   51,    0
  3508,115812,20050219,   32,    0
  3508,115812,20050220,   32,    0
  3508,115812,20050221,   22,    0
  3508,115812,20050222,   23,    0
  3508,115812,20050223,   13,    0
  3508,115812,20050224,   15,    0
  3508,115812,20050225,   18,    0
  3508,115812,20050226,   35,    0
  3508,115812,20050227,   15,    0
  3508,115812,20050228,   -4,    0
  3508,115812,20050301,   24,    0
  3508,115812,20050302,   26,    0
  3508,115812,20050303,   10,    0
  3508,115812,20050304,    8,    0
  3508,115812,20050305,   20,    0
  3508,115812,20050306,   28,    0
  3508,115812,20050307,   41,    0
  3508,115812,20050308,   56,    0
  3508,115812,20050309,   60,    0
  3508,115812,20050310,   58,    0
  3508,115812,20050311,   63,    0
  3508,115812,20050312,   33,    0
  3508,115812,20050313,   42,    0
  3508,115812,20050314,   42,    0
  3508,115812,20050315,   84,    0
  3508,115812,20050316,  116,    0
  3508,115812,20050317,  149,    0
  3508,115812,20050318,  142,    0
  3508,115812,20050319,  118,    0
  3508,115812,20050320,   70,    0
  3508,115812,20050321,   70,    0
  3508,115812,20050322,   98,    1
  3508,115812,20050323,  102,    0
  3508,115812,20050324,  104,    0
  3508,115812,20050325,  100,    0
  3508,115812,20050326,   89,    0
  3508,115812,20050327,   68,    0
  3508,115812,20050328,   82,    0
  3508,115812,20050329,   51,    0
  3508,115812,20050330,   74,    0
  3508,115812,20050331,   96,    1
  3508,115812,20050401,   78,    0
  3508,115812,20050402,   96,    0
  3508,115812,20050403,  112,    0
  3508,115812,20050404,  106,    0
  3508,115812,20050405,   80,    0
  3508,115812,20050406,   95,    0
  3508,115812,20050407,   91,    0
  3508,115812,20050408,   51,    0
  3508,115812,20050409,   52,    0
  3508,115812,20050410,   82,    0
  3508,115812,20050411,  106,    0
  3508,115812,20050412,  112,    0
  3508,115812,20050413,   88,    0
  3508,115812,20050414,   78,    0
  3508,115812,20050415,   63,    0
  3508,115812,20050416,   64,    0
  3508,115812,20050417,   80,    0
  3508,115812,20050418,  114,    1
  3508,115812,20050419,   82,    0
  3508,115812,20050420,   82,    0
