EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 146811) of UNITED KINGDOM, ARMAGH OBSERVATORY (STAID: 271)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   271,146811,20140701,  143,    0
   271,146811,20140702,  173,    0
   271,146811,20140703,  146,    0
   271,146811,20140704,  159,    0
   271,146811,20140705,  120,    0
   271,146811,20140706,  131,    0
   271,146811,20140707,  142,    0
   271,146811,20140708,  145,    0
   271,146811,20140709,  147,    0
   271,146811,20140710,  167,    0
   271,146811,20140711,  167,    0
   271,146811,20140712,  175,    0
   271,146811,20140713,  154,    0
   271,146811,20140714,  163,    0
   271,146811,20140715,  156,    0
   271,146811,20140716,  181,    0
   271,146811,20140717,  180,    0
   271,146811,20140718,  164,    0
   271,146811,20140719,  182,    0
   271,146811,20140720,  175,    0
   271,146811,20140721,  169,    0
   271,146811,20140722,  214,    0
   271,146811,20140723,  203,    0
   271,146811,20140724,  211,    0
   271,146811,20140725,  205,    0
   271,146811,20140726,  176,    0
   271,146811,20140727,  153,    0
   271,146811,20140728,  174,    0
   271,146811,20140729,  175,    0
   271,146811,20140730,  166,    0
   271,146811,20140731,  165,    0
   271,146811,20140801,  168,    0
   271,146811,20140802,  141,    0
   271,146811,20140803,  152,    0
   271,146811,20140804,  159,    0
   271,146811,20140805,  179,    0
   271,146811,20140806,  183,    0
   271,146811,20140807,  146,    0
   271,146811,20140808,  153,    0
   271,146811,20140809,  156,    0
   271,146811,20140810,  132,    0
   271,146811,20140811,  135,    0
   271,146811,20140812,  136,    0
   271,146811,20140813,  160,    0
   271,146811,20140814,  141,    0
   271,146811,20140815,  132,    0
   271,146811,20140816,  143,    0
   271,146811,20140817,  138,    0
   271,146811,20140818,  133,    0
   271,146811,20140819,  119,    0
   271,146811,20140820,  115,    0
   271,146811,20140821,  141,    0
   271,146811,20140822,  117,    0
   271,146811,20140823,  108,    0
   271,146811,20140824,  104,    0
   271,146811,20140825,  128,    0
   271,146811,20140826,  156,    0
   271,146811,20140827,  135,    0
   271,146811,20140828,  150,    0
   271,146811,20140829,  160,    0
   271,146811,20140830,  140,    0
   271,146811,20140831,  140,    0
   271,146811,20140901,  144,    0
   271,146811,20140902,  140,    0
   271,146811,20140903,  132,    0
   271,146811,20140904,  170,    0
   271,146811,20140905,  147,    0
   271,146811,20140906,  101,    0
   271,146811,20140907,  117,    0
   271,146811,20140908,  108,    0
   271,146811,20140909,  127,    0
   271,146811,20140910,  132,    0
   271,146811,20140911,  140,    0
   271,146811,20140912,  145,    0
   271,146811,20140913,  123,    0
   271,146811,20140914,  127,    0
   271,146811,20140915,  137,    0
   271,146811,20140916,  160,    0
   271,146811,20140917,  148,    0
   271,146811,20140918,  134,    0
   271,146811,20140919,  153,    0
   271,146811,20140920,  149,    0
   271,146811,20140921,  120,    0
   271,146811,20140922,  131,    0
   271,146811,20140923,  133,    0
   271,146811,20140924,  126,    0
   271,146811,20140925,  137,    0
   271,146811,20140926,  142,    0
   271,146811,20140927,  123,    0
   271,146811,20140928,  159,    0
   271,146811,20140929,  161,    0
   271,146811,20140930,  157,    0
   271,146811,20141001,  135,    0
   271,146811,20141002,  110,    0
   271,146811,20141003,  112,    0
   271,146811,20141004,   94,    0
   271,146811,20141005,  101,    0
   271,146811,20141006,  102,    0
   271,146811,20141007,   91,    0
   271,146811,20141008,   82,    0
   271,146811,20141009,   95,    0
   271,146811,20141010,   98,    0
   271,146811,20141011,   75,    0
   271,146811,20141012,  101,    0
   271,146811,20141013,   76,    0
   271,146811,20141014,   83,    0
   271,146811,20141015,  102,    0
   271,146811,20141016,  120,    0
   271,146811,20141017,  132,    0
   271,146811,20141018,  153,    0
   271,146811,20141019,  134,    0
   271,146811,20141020,  118,    0
   271,146811,20141021,   87,    0
   271,146811,20141022,   95,    0
   271,146811,20141023,  118,    0
   271,146811,20141024,   95,    0
   271,146811,20141025,  111,    0
   271,146811,20141026,  127,    0
   271,146811,20141027,  138,    0
   271,146811,20141028,   97,    0
   271,146811,20141029,   77,    0
   271,146811,20141030,   87,    0
   271,146811,20141031,  157,    0
   271,146811,20141101,   99,    0
   271,146811,20141102,   85,    0
   271,146811,20141103,   49,    0
   271,146811,20141104,   70,    0
   271,146811,20141105,   65,    0
   271,146811,20141106,   78,    0
   271,146811,20141107,   75,    0
   271,146811,20141108,   52,    0
   271,146811,20141109,   59,    0
   271,146811,20141110,   74,    0
   271,146811,20141111,   77,    0
   271,146811,20141112,   95,    0
   271,146811,20141113,   88,    0
   271,146811,20141114,   83,    0
   271,146811,20141115,   94,    0
   271,146811,20141116,   81,    0
   271,146811,20141117,   68,    0
   271,146811,20141118,   85,    0
   271,146811,20141119,   78,    0
   271,146811,20141120,   97,    0
   271,146811,20141121,   76,    0
   271,146811,20141122,   92,    0
   271,146811,20141123,   40,    0
   271,146811,20141124,   43,    0
   271,146811,20141125,   48,    0
   271,146811,20141126,   22,    0
   271,146811,20141127,   24,    0
   271,146811,20141128,   40,    0
   271,146811,20141129,   90,    0
   271,146811,20141130,   70,    0
   271,146811,20141201,   59,    0
   271,146811,20141202,   34,    0
   271,146811,20141203,   33,    0
   271,146811,20141204,   38,    0
   271,146811,20141205,   31,    0
   271,146811,20141206,   54,    0
   271,146811,20141207,   24,    0
   271,146811,20141208,   37,    0
   271,146811,20141209,   59,    0
   271,146811,20141210,   33,    0
   271,146811,20141211,   22,    0
   271,146811,20141212,   17,    0
   271,146811,20141213,   31,    0
   271,146811,20141214,   39,    0
   271,146811,20141215,   36,    0
   271,146811,20141216,   64,    0
   271,146811,20141217,   73,    0
   271,146811,20141218,  108,    0
   271,146811,20141219,   48,    0
   271,146811,20141220,   69,    0
   271,146811,20141221,   80,    0
   271,146811,20141222,  105,    0
   271,146811,20141223,   94,    0
   271,146811,20141224,   40,    0
   271,146811,20141225,   32,    0
   271,146811,20141226,   19,    0
   271,146811,20141227,   19,    0
   271,146811,20141228,   -2,    0
   271,146811,20141229,    0,    0
   271,146811,20141230,   19,    0
   271,146811,20141231,   66,    0
   271,146811,20150101,  104,    0
   271,146811,20150102,   37,    0
   271,146811,20150103,   48,    0
   271,146811,20150104,   31,    0
   271,146811,20150105,   69,    0
   271,146811,20150106,   55,    0
   271,146811,20150107,   64,    0
   271,146811,20150108,   63,    0
   271,146811,20150109,   78,    0
   271,146811,20150110,   38,    0
