EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156835) of UNITED KINGDOM, BOSCOMBE DOWN (STAID: 2127)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  2127,156835,20130101,   50,    0
  2127,156835,20130102,   68,    0
  2127,156835,20130103,   74,    0
  2127,156835,20130104,   88,    0
  2127,156835,20130105,   87,    0
  2127,156835,20130106,   54,    0
  2127,156835,20130107,   74,    0
  2127,156835,20130108,   88,    0
  2127,156835,20130109,   76,    0
  2127,156835,20130110,   32,    0
  2127,156835,20130111,   55,    0
  2127,156835,20130112,   33,    0
  2127,156835,20130113,    9,    0
  2127,156835,20130114,   20,    0
  2127,156835,20130115,   19,    0
  2127,156835,20130116,  -23,    0
  2127,156835,20130117,   -6,    0
  2127,156835,20130118,  -13,    0
  2127,156835,20130119,   -8,    0
  2127,156835,20130120,  -15,    0
  2127,156835,20130121,   -3,    0
  2127,156835,20130122,  -16,    0
  2127,156835,20130123,   -1,    0
  2127,156835,20130124,    3,    0
  2127,156835,20130125,    7,    0
  2127,156835,20130126,   55,    0
  2127,156835,20130127,   54,    0
  2127,156835,20130128,   63,    0
  2127,156835,20130129,   76,    0
  2127,156835,20130130,   95,    0
  2127,156835,20130131,   79,    0
  2127,156835,20130201,   55,    0
  2127,156835,20130202,   34,    0
  2127,156835,20130203,   32,    0
  2127,156835,20130204,   68,    0
  2127,156835,20130205,   34,    0
  2127,156835,20130206,   34,    0
  2127,156835,20130207,   22,    0
  2127,156835,20130208,   33,    0
  2127,156835,20130209,   26,    0
  2127,156835,20130210,   31,    0
  2127,156835,20130211,   13,    0
  2127,156835,20130212,   13,    0
  2127,156835,20130213,   36,    0
  2127,156835,20130214,   55,    0
  2127,156835,20130215,   52,    0
  2127,156835,20130216,   49,    0
  2127,156835,20130217,   46,    0
  2127,156835,20130218,   40,    0
  2127,156835,20130219,   47,    0
  2127,156835,20130220,   19,    0
  2127,156835,20130221,   -4,    0
  2127,156835,20130222,    3,    0
  2127,156835,20130223,    5,    0
  2127,156835,20130224,   -7,    0
  2127,156835,20130225,   10,    0
  2127,156835,20130226,   30,    0
  2127,156835,20130227,   27,    0
  2127,156835,20130228,   27,    0
  2127,156835,20130301,   37,    0
  2127,156835,20130302,   29,    0
  2127,156835,20130303,   22,    0
  2127,156835,20130304,   44,    0
  2127,156835,20130305,   72,    0
  2127,156835,20130306,   76,    0
  2127,156835,20130307,   86,    0
  2127,156835,20130308,   93,    0
  2127,156835,20130309,   92,    0
  2127,156835,20130310,   28,    0
  2127,156835,20130311,   -5,    0
  2127,156835,20130312,    4,    0
  2127,156835,20130313,   31,    0
  2127,156835,20130314,   16,    0
  2127,156835,20130315,   41,    0
  2127,156835,20130316,   67,    0
  2127,156835,20130317,   28,    0
  2127,156835,20130318,   26,    0
  2127,156835,20130319,   33,    0
  2127,156835,20130320,   38,    0
  2127,156835,20130321,   32,    0
  2127,156835,20130322,   47,    0
  2127,156835,20130323,   15,    0
  2127,156835,20130324,    0,    0
  2127,156835,20130325,    3,    0
  2127,156835,20130326,    7,    0
  2127,156835,20130327,   14,    0
  2127,156835,20130328,   15,    0
  2127,156835,20130329,   21,    0
  2127,156835,20130330,   21,    0
  2127,156835,20130331,   19,    0
  2127,156835,20130401,   22,    0
  2127,156835,20130402,   38,    0
