EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156839) of UNITED KINGDOM, CARLISLE (STAID: 2115)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
  2115,156839,20140101,   78,    0
  2115,156839,20140102,   72,    0
  2115,156839,20140103,   77,    0
  2115,156839,20140104,   57,    0
  2115,156839,20140105,   59,    0
  2115,156839,20140106,   73,    0
  2115,156839,20140107,   91,    0
  2115,156839,20140108,   81,    0
  2115,156839,20140109,   57,    0
  2115,156839,20140110,   70,    0
  2115,156839,20140111,   27,    0
  2115,156839,20140112,   33,    0
  2115,156839,20140113,   56,    0
  2115,156839,20140114,   56,    0
  2115,156839,20140115,   68,    0
  2115,156839,20140116,   64,    0
  2115,156839,20140117,   63,    0
  2115,156839,20140118,   63,    0
  2115,156839,20140119,   59,    0
  2115,156839,20140120,   50,    0
  2115,156839,20140121,   57,    0
  2115,156839,20140122,   66,    0
  2115,156839,20140123,   51,    0
  2115,156839,20140124,   50,    0
  2115,156839,20140125,   72,    0
  2115,156839,20140126,   55,    0
  2115,156839,20140127,   57,    0
  2115,156839,20140128,   47,    0
  2115,156839,20140129,   52,    0
  2115,156839,20140130,   31,    0
  2115,156839,20140131,   42,    0
  2115,156839,20140201,   51,    0
  2115,156839,20140202,   58,    0
  2115,156839,20140203,   70,    0
  2115,156839,20140204,   52,    0
  2115,156839,20140205,   60,    0
  2115,156839,20140206,   73,    0
  2115,156839,20140207,   42,    0
  2115,156839,20140208,   51,    0
  2115,156839,20140209,   61,    0
  2115,156839,20140210,   44,    0
  2115,156839,20140211,   36,    0
  2115,156839,20140212,   41,    0
  2115,156839,20140213,   51,    0
  2115,156839,20140214,   60,    0
  2115,156839,20140215,   56,    0
  2115,156839,20140216,   54,    0
  2115,156839,20140217,   63,    0
  2115,156839,20140218,   70,    0
  2115,156839,20140219,   87,    0
  2115,156839,20140220,   82,    0
  2115,156839,20140221,   59,    0
  2115,156839,20140222,   84,    0
  2115,156839,20140223,   93,    0
  2115,156839,20140224,   71,    0
  2115,156839,20140225,   70,    0
  2115,156839,20140226,   70,    0
  2115,156839,20140227,   63,    0
  2115,156839,20140228,   42,    0
  2115,156839,20140301,   48,    0
  2115,156839,20140302,   60,    0
  2115,156839,20140303,   56,    0
  2115,156839,20140304,   62,    0
  2115,156839,20140305,   69,    0
  2115,156839,20140306,   99,    0
  2115,156839,20140307,   88,    0
  2115,156839,20140308,   87,    0
  2115,156839,20140309,   98,    0
  2115,156839,20140310,   67,    0
  2115,156839,20140311,   71,    0
  2115,156839,20140312,   65,    0
  2115,156839,20140313,   60,    0
  2115,156839,20140314,   66,    0
  2115,156839,20140315,   79,    0
  2115,156839,20140316,   88,    0
  2115,156839,20140317,   98,    0
  2115,156839,20140318,   93,    0
  2115,156839,20140319,   97,    0
