EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156843) of UNITED KINGDOM, CAWOOD (STAID: 11103)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11103,156843,20130517,  100,    0
 11103,156843,20130518,  100,    0
 11103,156843,20130519,  136,    0
 11103,156843,20130520,  144,    0
 11103,156843,20130521,  121,    0
 11103,156843,20130522,  127,    0
 11103,156843,20130523,   72,    0
 11103,156843,20130524,   87,    0
 11103,156843,20130525,  103,    0
 11103,156843,20130526,  116,    0
 11103,156843,20130527,  114,    0
 11103,156843,20130528,  121,    0
 11103,156843,20130529,   98,    0
 11103,156843,20130530,  131,    0
 11103,156843,20130531,  153,    0
 11103,156843,20130601,  134,    0
 11103,156843,20130602,  112,    0
 11103,156843,20130603,  127,    0
 11103,156843,20130604,  113,    0
 11103,156843,20130605,  118,    0
 11103,156843,20130606,  142,    0
 11103,156843,20130607,  121,    0
 11103,156843,20130608,  111,    0
 11103,156843,20130609,  126,    0
 11103,156843,20130610,  129,    0
 11103,156843,20130611,  118,    0
 11103,156843,20130612,  166,    0
 11103,156843,20130613,  154,    0
 11103,156843,20130614,  137,    0
 11103,156843,20130615,  132,    0
 11103,156843,20130616,  139,    0
 11103,156843,20130617,  142,    0
 11103,156843,20130618,  145,    0
 11103,156843,20130619,  185,    0
 11103,156843,20130620,  134,    0
 11103,156843,20130621,  163,    0
 11103,156843,20130622,  146,    0
 11103,156843,20130623,  146,    0
 11103,156843,20130624,  135,    0
 11103,156843,20130625,  127,    0
 11103,156843,20130626,  141,    0
 11103,156843,20130627,  126,    0
 11103,156843,20130628,  149,    0
 11103,156843,20130629,  149,    0
 11103,156843,20130630,  159,    0
 11103,156843,20130701,  135,    0
 11103,156843,20130702,  118,    0
 11103,156843,20130703,  167,    0
 11103,156843,20130704,  160,    0
 11103,156843,20130705,  159,    0
 11103,156843,20130706,  190,    0
 11103,156843,20130707,  188,    0
 11103,156843,20130708,  162,    0
 11103,156843,20130709,  176,    0
 11103,156843,20130710,  156,    0
 11103,156843,20130711,  152,    0
 11103,156843,20130712,  183,    0
 11103,156843,20130713,  200,    0
 11103,156843,20130714,  203,    0
 11103,156843,20130715,  173,    0
 11103,156843,20130716,  183,    0
 11103,156843,20130717,  193,    0
 11103,156843,20130718,  210,    0
 11103,156843,20130719,  199,    0
 11103,156843,20130720,  180,    0
 11103,156843,20130721,  165,    0
 11103,156843,20130722,  196,    0
 11103,156843,20130723,  188,    0
 11103,156843,20130724,  208,    0
 11103,156843,20130725,  197,    0
 11103,156843,20130726,  182,    0
 11103,156843,20130727,  177,    0
 11103,156843,20130728,  183,    0
 11103,156843,20130729,  185,    0
 11103,156843,20130730,  174,    0
 11103,156843,20130731,  177,    0
 11103,156843,20130801,  234,    0
 11103,156843,20130802,  206,    0
 11103,156843,20130803,  201,    0
 11103,156843,20130804,  195,    0
 11103,156843,20130805,  167,    0
 11103,156843,20130806,  151,    0
 11103,156843,20130807,  156,    0
 11103,156843,20130808,  160,    0
 11103,156843,20130809,  183,    0
 11103,156843,20130810,  149,    0
 11103,156843,20130811,  156,    0
 11103,156843,20130812,  153,    0
 11103,156843,20130813,  144,    0
 11103,156843,20130814,  161,    0
 11103,156843,20130815,  209,    0
 11103,156843,20130816,  201,    0
 11103,156843,20130817,  159,    0
 11103,156843,20130818,  172,    0
 11103,156843,20130819,  152,    0
 11103,156843,20130820,  158,    0
 11103,156843,20130821,  183,    0
 11103,156843,20130822,  193,    0
 11103,156843,20130823,  199,    0
 11103,156843,20130824,  176,    0
 11103,156843,20130825,  186,    0
 11103,156843,20130826,  181,    0
 11103,156843,20130827,  167,    0
 11103,156843,20130828,  166,    0
 11103,156843,20130829,  170,    0
 11103,156843,20130830,  195,    0
 11103,156843,20130831,  130,    0
 11103,156843,20130901,  143,    0
 11103,156843,20130902,  181,    0
 11103,156843,20130903,  192,    0
 11103,156843,20130904,  173,    0
 11103,156843,20130905,  166,    0
 11103,156843,20130906,  128,    0
 11103,156843,20130907,  130,    0
 11103,156843,20130908,  115,    0
 11103,156843,20130909,  113,    0
 11103,156843,20130910,  129,    0
 11103,156843,20130911,  136,    0
 11103,156843,20130912,  158,    0
 11103,156843,20130913,  138,    0
 11103,156843,20130914,  129,    0
 11103,156843,20130915,  115,    0
 11103,156843,20130916,  103,    0
 11103,156843,20130917,  114,    0
 11103,156843,20130918,  108,    0
 11103,156843,20130919,  123,    0
 11103,156843,20130920,  126,    0
 11103,156843,20130921,  151,    0
 11103,156843,20130922,  174,    0
 11103,156843,20130923,  142,    0
 11103,156843,20130924,  153,    0
 11103,156843,20130925,  152,    0
 11103,156843,20130926,  141,    0
 11103,156843,20130927,  147,    0
 11103,156843,20130928,  124,    0
 11103,156843,20130929,  132,    0
 11103,156843,20130930,  133,    0
 11103,156843,20131001,  125,    0
 11103,156843,20131002,  135,    0
 11103,156843,20131003,  154,    0
 11103,156843,20131004,  166,    0
 11103,156843,20131005,  147,    0
 11103,156843,20131006,  137,    0
 11103,156843,20131007,  161,    0
 11103,156843,20131008,  159,    0
 11103,156843,20131009,  110,    0
 11103,156843,20131010,   88,    0
 11103,156843,20131011,  106,    0
 11103,156843,20131012,  111,    0
 11103,156843,20131013,  112,    0
 11103,156843,20131014,  111,    0
 11103,156843,20131015,  111,    0
 11103,156843,20131016,   91,    0
 11103,156843,20131017,  120,    0
 11103,156843,20131018,   95,    0
 11103,156843,20131019,  132,    0
 11103,156843,20131020,  135,    0
 11103,156843,20131021,  133,    0
 11103,156843,20131022,  147,    0
 11103,156843,20131023,  136,    0
 11103,156843,20131024,  104,    0
 11103,156843,20131025,  137,    0
 11103,156843,20131026,  142,    0
 11103,156843,20131027,  120,    0
 11103,156843,20131028,  111,    0
 11103,156843,20131029,   96,    0
 11103,156843,20131030,   85,    0
 11103,156843,20131031,  101,    0
 11103,156843,20131101,   89,    0
 11103,156843,20131102,   83,    0
 11103,156843,20131103,   78,    0
 11103,156843,20131104,   43,    0
 11103,156843,20131105,   33,    0
 11103,156843,20131106,   75,    0
 11103,156843,20131107,   79,    0
 11103,156843,20131108,   67,    0
 11103,156843,20131109,   58,    0
 11103,156843,20131110,   43,    0
 11103,156843,20131111,   62,    0
 11103,156843,20131112,   90,    0
 11103,156843,20131113,   60,    0
 11103,156843,20131114,   73,    0
 11103,156843,20131115,   48,    0
 11103,156843,20131116,   75,    0
 11103,156843,20131117,   88,    0
 11103,156843,20131118,   80,    0
 11103,156843,20131119,   35,    0
 11103,156843,20131120,   36,    0
 11103,156843,20131121,   54,    0
 11103,156843,20131122,   47,    0
 11103,156843,20131123,   29,    0
 11103,156843,20131124,   48,    0
 11103,156843,20131125,   51,    0
 11103,156843,20131126,   31,    0
 11103,156843,20131127,   68,    0
 11103,156843,20131128,   56,    0
 11103,156843,20131129,   81,    0
 11103,156843,20131130,   63,    0
 11103,156843,20131201,   50,    0
 11103,156843,20131202,   40,    0
 11103,156843,20131203,   74,    0
 11103,156843,20131204,   56,    0
 11103,156843,20131205,   66,    0
 11103,156843,20131206,   29,    0
 11103,156843,20131207,   46,    0
 11103,156843,20131208,   87,    0
 11103,156843,20131209,  101,    0
 11103,156843,20131210,   75,    0
 11103,156843,20131211,   24,    0
 11103,156843,20131212,   57,    0
 11103,156843,20131213,   85,    0
 11103,156843,20131214,   78,    0
 11103,156843,20131215,   88,    0
 11103,156843,20131216,   85,    0
 11103,156843,20131217,   35,    0
 11103,156843,20131218,   59,    0
 11103,156843,20131219,   59,    0
 11103,156843,20131220,   62,    0
 11103,156843,20131221,   73,    0
 11103,156843,20131222,   56,    0
 11103,156843,20131223,   64,    0
 11103,156843,20131224,   54,    0
 11103,156843,20131225,   36,    0
 11103,156843,20131226,   54,    0
 11103,156843,20131227,   51,    0
 11103,156843,20131228,   25,    0
 11103,156843,20131229,   63,    0
 11103,156843,20131230,   69,    0
 11103,156843,20131231,   58,    0
 11103,156843,20140101,   67,    0
 11103,156843,20140102,   66,    0
 11103,156843,20140103,   74,    0
 11103,156843,20140104,   51,    0
 11103,156843,20140105,   62,    0
 11103,156843,20140106,   66,    0
 11103,156843,20140107,   87,    0
 11103,156843,20140108,   85,    0
 11103,156843,20140109,   60,    0
 11103,156843,20140110,   56,    0
 11103,156843,20140111,   42,    0
 11103,156843,20140112,-9999,    9
 11103,156843,20140113,-9999,    9
 11103,156843,20140114,-9999,    9
 11103,156843,20140115,-9999,    9
 11103,156843,20140116,-9999,    9
 11103,156843,20140117,-9999,    9
 11103,156843,20140118,-9999,    9
 11103,156843,20140119,-9999,    9
 11103,156843,20140120,-9999,    9
 11103,156843,20140121,   12,    0
 11103,156843,20140122,   36,    0
 11103,156843,20140123,   53,    0
 11103,156843,20140124,   39,    0
 11103,156843,20140125,   60,    0
 11103,156843,20140126,-9999,    9
