EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156847) of UNITED KINGDOM, CRANWELL (STAID: 11104)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11104,156847,20130101,   44,    0
 11104,156847,20130102,   63,    0
 11104,156847,20130103,   81,    0
 11104,156847,20130104,   92,    0
 11104,156847,20130105,   94,    0
 11104,156847,20130106,   73,    0
 11104,156847,20130107,   70,    0
 11104,156847,20130108,   92,    0
 11104,156847,20130109,   52,    0
 11104,156847,20130110,    8,    0
 11104,156847,20130111,   19,    0
 11104,156847,20130112,   21,    0
 11104,156847,20130113,    0,    0
 11104,156847,20130114,   -2,    0
 11104,156847,20130115,   -3,    0
 11104,156847,20130116,  -60,    0
 11104,156847,20130117,  -56,    0
 11104,156847,20130118,  -40,    0
 11104,156847,20130119,   -7,    0
 11104,156847,20130120,    4,    0
 11104,156847,20130121,  -16,    0
 11104,156847,20130122,  -12,    0
 11104,156847,20130123,  -32,    0
 11104,156847,20130124,    5,    0
 11104,156847,20130125,  -26,    0
 11104,156847,20130126,   39,    0
 11104,156847,20130127,   46,    0
 11104,156847,20130128,   53,    0
 11104,156847,20130129,   81,    0
 11104,156847,20130130,   77,    0
 11104,156847,20130131,   70,    0
 11104,156847,20130201,   60,    0
 11104,156847,20130202,   28,    0
 11104,156847,20130203,   37,    0
 11104,156847,20130204,   65,    0
 11104,156847,20130205,   27,    0
 11104,156847,20130206,   29,    0
 11104,156847,20130207,   22,    0
 11104,156847,20130208,   26,    0
 11104,156847,20130209,   31,    0
 11104,156847,20130210,   16,    0
 11104,156847,20130211,    6,    0
 11104,156847,20130212,   10,    0
 11104,156847,20130213,   12,    0
 11104,156847,20130214,   41,    0
 11104,156847,20130215,   61,    0
 11104,156847,20130216,   58,    0
 11104,156847,20130217,   29,    0
 11104,156847,20130218,   40,    0
 11104,156847,20130219,   19,    0
 11104,156847,20130220,   15,    0
 11104,156847,20130221,   11,    0
 11104,156847,20130222,    5,    0
 11104,156847,20130223,   10,    0
 11104,156847,20130224,   11,    0
 11104,156847,20130225,   18,    0
 11104,156847,20130226,   30,    0
 11104,156847,20130227,   48,    0
 11104,156847,20130228,   35,    0
 11104,156847,20130301,   37,    0
 11104,156847,20130302,   55,    0
 11104,156847,20130303,   41,    0
 11104,156847,20130304,   25,    0
 11104,156847,20130305,   29,    0
 11104,156847,20130306,   31,    0
 11104,156847,20130307,   61,    0
 11104,156847,20130308,   48,    0
 11104,156847,20130309,   37,    0
 11104,156847,20130310,   10,    0
 11104,156847,20130311,  -12,    0
 11104,156847,20130312,    3,    0
 11104,156847,20130313,   28,    0
 11104,156847,20130314,   16,    0
 11104,156847,20130315,   43,    0
 11104,156847,20130316,   59,    0
 11104,156847,20130317,   22,    0
 11104,156847,20130318,   26,    0
 11104,156847,20130319,   15,    0
 11104,156847,20130320,   17,    0
 11104,156847,20130321,   20,    0
 11104,156847,20130322,   14,    0
 11104,156847,20130323,   -2,    0
 11104,156847,20130324,   -4,    0
 11104,156847,20130325,    4,    0
 11104,156847,20130326,   21,    0
 11104,156847,20130327,   13,    0
 11104,156847,20130328,   11,    0
 11104,156847,20130329,   16,    0
 11104,156847,20130330,   18,    0
 11104,156847,20130331,   15,    0
 11104,156847,20130401,   18,    0
 11104,156847,20130402,   27,    0
 11104,156847,20130403,   30,    0
 11104,156847,20130404,   30,    0
 11104,156847,20130405,   34,    0
 11104,156847,20130406,   50,    0
 11104,156847,20130407,   41,    0
 11104,156847,20130408,   30,    0
 11104,156847,20130409,   47,    0
 11104,156847,20130410,   68,    0
 11104,156847,20130411,   51,    0
 11104,156847,20130412,   81,    0
 11104,156847,20130413,   83,    0
 11104,156847,20130414,  150,    0
