EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156851) of UNITED KINGDOM, DURHAM (STAID: 461)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   461,156851,20130101,   62,    0
   461,156851,20130102,   52,    0
   461,156851,20130103,   85,    0
   461,156851,20130104,  103,    1
   461,156851,20130105,   60,    0
   461,156851,20130106,   63,    0
   461,156851,20130107,   56,    0
   461,156851,20130108,   95,    0
   461,156851,20130109,   64,    0
   461,156851,20130110,   46,    0
   461,156851,20130111,   45,    1
   461,156851,20130112,   28,    0
   461,156851,20130113,   20,    0
   461,156851,20130114,   13,    1
   461,156851,20130115,   -3,    0
   461,156851,20130116,  -30,    0
   461,156851,20130117,  -42,    0
   461,156851,20130118,  -29,    0
   461,156851,20130119,  -11,    0
   461,156851,20130120,    7,    0
   461,156851,20130121,    9,    1
   461,156851,20130122,   -3,    0
   461,156851,20130123,   12,    0
   461,156851,20130124,    5,    0
   461,156851,20130125,   -5,    0
   461,156851,20130126,   20,    0
   461,156851,20130127,   23,    1
   461,156851,20130128,   41,    0
   461,156851,20130129,   61,    0
   461,156851,20130130,   82,    1
   461,156851,20130131,   61,    0
   461,156851,20130201,   60,    0
   461,156851,20130202,   37,    0
   461,156851,20130203,   28,    0
   461,156851,20130204,   77,    1
   461,156851,20130205,   37,    0
   461,156851,20130206,   33,    0
   461,156851,20130207,   24,    0
   461,156851,20130208,   23,    0
   461,156851,20130209,   35,    0
   461,156851,20130210,   37,    0
   461,156851,20130211,   24,    0
   461,156851,20130212,   25,    0
   461,156851,20130213,   10,    0
   461,156851,20130214,    4,    0
   461,156851,20130215,   51,    0
   461,156851,20130216,   55,    0
   461,156851,20130217,   46,    0
   461,156851,20130218,   45,    0
   461,156851,20130219,   14,    0
   461,156851,20130220,   37,    1
   461,156851,20130221,   20,    0
   461,156851,20130222,   12,    0
   461,156851,20130223,    5,    0
   461,156851,20130224,    5,    0
   461,156851,20130225,   24,    0
   461,156851,20130226,   39,    0
   461,156851,20130227,   25,    0
   461,156851,20130228,   30,    0
   461,156851,20130301,   52,    0
   461,156851,20130302,   28,    0
   461,156851,20130303,   81,    1
   461,156851,20130304,   48,    1
   461,156851,20130305,    2,    0
   461,156851,20130306,   39,    0
   461,156851,20130307,   41,    0
   461,156851,20130308,   51,    1
   461,156851,20130309,   31,    1
   461,156851,20130310,   17,    0
   461,156851,20130311,   -4,    0
   461,156851,20130312,    3,    0
   461,156851,20130313,   31,    0
   461,156851,20130314,   13,    0
   461,156851,20130315,   39,    0
   461,156851,20130316,   42,    0
   461,156851,20130317,   46,    0
   461,156851,20130318,   34,    1
   461,156851,20130319,   16,    0
   461,156851,20130320,   24,    0
   461,156851,20130321,    3,    0
   461,156851,20130322,   25,    1
   461,156851,20130323,    9,    1
   461,156851,20130324,    4,    0
   461,156851,20130325,   14,    0
   461,156851,20130326,    6,    0
   461,156851,20130327,    3,    0
   461,156851,20130328,   13,    0
   461,156851,20130329,   24,    0
   461,156851,20130330,   18,    0
   461,156851,20130331,   13,    0
   461,156851,20130401,   30,    0
   461,156851,20130402,   33,    0
   461,156851,20130403,   21,    0
   461,156851,20130404,   43,    0
   461,156851,20130405,   44,    0
   461,156851,20130406,   38,    0
   461,156851,20130407,   49,    0
   461,156851,20130408,   56,    1
   461,156851,20130409,   27,    0
   461,156851,20130410,   45,    0
   461,156851,20130411,   54,    0
   461,156851,20130412,   44,    0
   461,156851,20130413,   44,    0
   461,156851,20130414,  100,    0
   461,156851,20130415,  135,    0
   461,156851,20130416,  122,    0
   461,156851,20130417,   92,    0
   461,156851,20130418,  120,    1
   461,156851,20130419,   80,    0
   461,156851,20130420,   65,    0
   461,156851,20130421,   96,    0
   461,156851,20130422,   70,    0
   461,156851,20130423,  101,    0
   461,156851,20130424,  116,    0
   461,156851,20130425,  117,    1
   461,156851,20130426,   68,    0
   461,156851,20130427,   64,    0
   461,156851,20130428,   62,    0
   461,156851,20130429,   80,    0
   461,156851,20130430,   78,    0
   461,156851,20130501,   74,    0
   461,156851,20130502,   82,    0
   461,156851,20130503,  116,    0
   461,156851,20130504,  105,    0
   461,156851,20130505,  109,    0
   461,156851,20130506,  124,    0
   461,156851,20130507,  113,    0
   461,156851,20130508,  137,    0
