EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156863) of UNITED KINGDOM, MONKS WOOD (STAID: 11107)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11107,156863,20130101,   48,    0
 11107,156863,20130102,   66,    0
 11107,156863,20130103,   81,    0
 11107,156863,20130104,   91,    0
 11107,156863,20130105,   86,    0
 11107,156863,20130106,   65,    0
 11107,156863,20130107,   72,    0
 11107,156863,20130108,   87,    0
 11107,156863,20130109,   53,    0
 11107,156863,20130110,   10,    0
 11107,156863,20130111,   18,    0
 11107,156863,20130112,   15,    0
 11107,156863,20130113,    1,    0
 11107,156863,20130114,   -2,    0
 11107,156863,20130115,    1,    0
 11107,156863,20130116,  -39,    0
 11107,156863,20130117,  -52,    0
 11107,156863,20130118,  -46,    0
 11107,156863,20130119,  -12,    0
 11107,156863,20130120,  -12,    0
 11107,156863,20130121,  -14,    0
 11107,156863,20130122,  -42,    0
 11107,156863,20130123,  -37,    0
 11107,156863,20130124,    2,    0
 11107,156863,20130125,  -22,    0
 11107,156863,20130126,   46,    0
 11107,156863,20130127,   53,    0
 11107,156863,20130128,   60,    0
 11107,156863,20130129,   84,    0
 11107,156863,20130130,   98,    0
 11107,156863,20130131,   78,    0
 11107,156863,20130201,   61,    0
 11107,156863,20130202,   31,    0
 11107,156863,20130203,   46,    0
 11107,156863,20130204,   61,    0
 11107,156863,20130205,   34,    0
 11107,156863,20130206,   36,    0
 11107,156863,20130207,   32,    0
 11107,156863,20130208,   20,    0
 11107,156863,20130209,   18,    0
 11107,156863,20130210,   29,    0
 11107,156863,20130211,    7,    0
 11107,156863,20130212,    8,    0
 11107,156863,20130213,   14,    0
 11107,156863,20130214,   50,    0
 11107,156863,20130215,   56,    0
 11107,156863,20130216,   64,    0
 11107,156863,20130217,   42,    0
 11107,156863,20130218,   43,    0
 11107,156863,20130219,   29,    0
 11107,156863,20130220,   15,    0
 11107,156863,20130221,   11,    0
 11107,156863,20130222,    3,    0
 11107,156863,20130223,    9,    0
 11107,156863,20130224,    6,    0
 11107,156863,20130225,   23,    0
 11107,156863,20130226,   31,    0
 11107,156863,20130227,   37,    0
 11107,156863,20130228,   36,    0
 11107,156863,20130301,   40,    0
 11107,156863,20130302,   37,    0
 11107,156863,20130303,   24,    0
 11107,156863,20130304,   55,    0
 11107,156863,20130305,   48,    0
 11107,156863,20130306,   40,    0
 11107,156863,20130307,   66,    0
