EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156867) of UNITED KINGDOM, MORECAMBE NO 2 (STAID: 11108)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11108,156867,20130101,   65,    0
 11108,156867,20130102,   77,    0
 11108,156867,20130103,   80,    0
 11108,156867,20130104,   91,    0
 11108,156867,20130105,   98,    0
 11108,156867,20130106,   86,    0
 11108,156867,20130107,   86,    0
 11108,156867,20130108,   90,    0
 11108,156867,20130109,   23,    0
 11108,156867,20130110,   12,    0
 11108,156867,20130111,   21,    0
 11108,156867,20130112,   32,    0
 11108,156867,20130113,    7,    0
 11108,156867,20130114,   24,    0
 11108,156867,20130115,   10,    0
 11108,156867,20130116,   -3,    0
 11108,156867,20130117,    9,    0
 11108,156867,20130118,    6,    0
 11108,156867,20130119,    8,    0
 11108,156867,20130120,   18,    0
 11108,156867,20130121,   14,    0
 11108,156867,20130122,   17,    0
 11108,156867,20130123,   11,    0
 11108,156867,20130124,   22,    0
 11108,156867,20130125,   20,    0
 11108,156867,20130126,   48,    0
 11108,156867,20130127,   53,    0
 11108,156867,20130128,   66,    0
 11108,156867,20130129,   84,    0
 11108,156867,20130130,   74,    0
 11108,156867,20130131,   69,    0
 11108,156867,20130201,   61,    0
 11108,156867,20130202,   41,    0
 11108,156867,20130203,   43,    0
 11108,156867,20130204,   68,    0
 11108,156867,20130205,   38,    0
 11108,156867,20130206,   44,    0
 11108,156867,20130207,   30,    0
 11108,156867,20130208,   39,    0
 11108,156867,20130209,   31,    0
 11108,156867,20130210,   31,    0
 11108,156867,20130211,   34,    0
 11108,156867,20130212,   24,    0
 11108,156867,20130213,   28,    0
 11108,156867,20130214,   38,    0
 11108,156867,20130215,   61,    0
 11108,156867,20130216,   67,    0
 11108,156867,20130217,   70,    0
 11108,156867,20130218,   54,    0
 11108,156867,20130219,   31,    0
 11108,156867,20130220,   25,    0
 11108,156867,20130221,   24,    0
 11108,156867,20130222,   18,    0
 11108,156867,20130223,   22,    0
 11108,156867,20130224,   29,    0
 11108,156867,20130225,   44,    0
 11108,156867,20130226,   50,    0
 11108,156867,20130227,   26,    0
 11108,156867,20130228,   34,    0
 11108,156867,20130301,   45,    0
 11108,156867,20130302,   22,    0
 11108,156867,20130303,   52,    0
 11108,156867,20130304,   52,    0
 11108,156867,20130305,   45,    0
 11108,156867,20130306,   56,    0
 11108,156867,20130307,   81,    0
 11108,156867,20130308,   67,    0
 11108,156867,20130309,   47,    0
 11108,156867,20130310,   37,    0
 11108,156867,20130311,   -6,    0
 11108,156867,20130312,   18,    0
 11108,156867,20130313,   30,    0
 11108,156867,20130314,   10,    0
 11108,156867,20130315,   52,    0
 11108,156867,20130316,   52,    0
 11108,156867,20130317,   34,    0
 11108,156867,20130318,   32,    0
 11108,156867,20130319,   42,    0
 11108,156867,20130320,   36,    0
 11108,156867,20130321,   24,    0
 11108,156867,20130322,   16,    0
 11108,156867,20130323,   14,    0
 11108,156867,20130324,   19,    0
 11108,156867,20130325,   28,    0
 11108,156867,20130326,   27,    0
 11108,156867,20130327,   24,    0
 11108,156867,20130328,   26,    0
 11108,156867,20130329,   19,    0
 11108,156867,20130330,   17,    0
 11108,156867,20130331,   24,    0
 11108,156867,20130401,   40,    0
 11108,156867,20130402,   33,    0
 11108,156867,20130403,   44,    0
 11108,156867,20130404,   44,    0
 11108,156867,20130405,   48,    0
 11108,156867,20130406,   32,    0
 11108,156867,20130407,   44,    0
 11108,156867,20130408,   55,    0
 11108,156867,20130409,   47,    0
 11108,156867,20130410,   49,    0
 11108,156867,20130411,   60,    0
 11108,156867,20130412,   71,    0
 11108,156867,20130413,   94,    0
 11108,156867,20130414,  117,    0
 11108,156867,20130415,  121,    0
 11108,156867,20130416,  112,    0
 11108,156867,20130417,  112,    0
 11108,156867,20130418,   97,    0
 11108,156867,20130419,   89,    0
 11108,156867,20130420,   77,    0
 11108,156867,20130421,   77,    0
 11108,156867,20130422,   86,    0
 11108,156867,20130423,  101,    0
 11108,156867,20130424,  103,    0
 11108,156867,20130425,   91,    0
 11108,156867,20130426,   75,    0
 11108,156867,20130427,   69,    0
 11108,156867,20130428,   71,    0
 11108,156867,20130429,   82,    0
 11108,156867,20130430,   89,    0
 11108,156867,20130501,   79,    0
 11108,156867,20130502,   76,    0
 11108,156867,20130503,  112,    0
 11108,156867,20130504,  103,    0
 11108,156867,20130505,  118,    0
 11108,156867,20130506,  120,    0
 11108,156867,20130507,  148,    0
 11108,156867,20130508,  155,    0
 11108,156867,20130509,   92,    0
 11108,156867,20130510,  108,    0
 11108,156867,20130511,   89,    0
 11108,156867,20130512,   88,    0
 11108,156867,20130513,   90,    0
 11108,156867,20130514,   82,    0
 11108,156867,20130515,   93,    0
 11108,156867,20130516,   96,    0
 11108,156867,20130517,  106,    0
 11108,156867,20130518,  100,    0
 11108,156867,20130519,  121,    0
 11108,156867,20130520,  136,    0
 11108,156867,20130521,  135,    0
 11108,156867,20130522,  117,    0
 11108,156867,20130523,   83,    0
 11108,156867,20130524,   92,    0
 11108,156867,20130525,   90,    0
 11108,156867,20130526,   92,    0
 11108,156867,20130527,   93,    0
 11108,156867,20130528,  109,    0
 11108,156867,20130529,  119,    0
 11108,156867,20130530,  143,    0
 11108,156867,20130531,  125,    0
 11108,156867,20130601,  118,    0
 11108,156867,20130602,  121,    0
 11108,156867,20130603,  127,    0
 11108,156867,20130604,  159,    0
 11108,156867,20130605,  144,    0
 11108,156867,20130606,  155,    0
 11108,156867,20130607,  161,    0
 11108,156867,20130608,  154,    0
 11108,156867,20130609,  144,    0
 11108,156867,20130610,  143,    0
 11108,156867,20130611,  146,    0
 11108,156867,20130612,  147,    0
 11108,156867,20130613,  137,    0
 11108,156867,20130614,  139,    0
 11108,156867,20130615,  135,    0
 11108,156867,20130616,  143,    0
 11108,156867,20130617,  165,    0
 11108,156867,20130618,  174,    0
 11108,156867,20130619,  158,    0
 11108,156867,20130620,  145,    0
 11108,156867,20130621,  167,    0
 11108,156867,20130622,  136,    0
