EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156871) of UNITED KINGDOM, PERSHORE COLLEGE (STAID: 11109)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11109,156871,20130101,   51,    0
 11109,156871,20130102,   65,    0
 11109,156871,20130103,   88,    0
 11109,156871,20130104,   89,    0
 11109,156871,20130105,   95,    0
 11109,156871,20130106,   87,    0
 11109,156871,20130107,   94,    0
 11109,156871,20130108,  100,    0
 11109,156871,20130109,   37,    0
 11109,156871,20130110,   22,    0
 11109,156871,20130111,   55,    0
 11109,156871,20130112,   30,    0
 11109,156871,20130113,   -1,    0
 11109,156871,20130114,   12,    0
 11109,156871,20130115,    9,    0
 11109,156871,20130116,  -19,    0
 11109,156871,20130117,   -8,    0
 11109,156871,20130118,   -5,    0
 11109,156871,20130119,   -9,    0
 11109,156871,20130120,   -3,    0
 11109,156871,20130121,   -4,    0
 11109,156871,20130122,   -7,    0
 11109,156871,20130123,   -6,    0
 11109,156871,20130124,    8,    0
 11109,156871,20130125,    5,    0
 11109,156871,20130126,   61,    0
 11109,156871,20130127,   60,    0
 11109,156871,20130128,   62,    0
 11109,156871,20130129,   81,    0
 11109,156871,20130130,   93,    0
 11109,156871,20130131,   82,    0
 11109,156871,20130201,   64,    0
 11109,156871,20130202,   35,    0
 11109,156871,20130203,   51,    0
 11109,156871,20130204,   70,    0
 11109,156871,20130205,   39,    0
 11109,156871,20130206,   40,    0
 11109,156871,20130207,   20,    0
 11109,156871,20130208,   37,    0
 11109,156871,20130209,   33,    0
 11109,156871,20130210,   39,    0
 11109,156871,20130211,   10,    0
 11109,156871,20130212,   11,    0
 11109,156871,20130213,   42,    0
 11109,156871,20130214,   58,    0
 11109,156871,20130215,   65,    0
 11109,156871,20130216,   56,    0
 11109,156871,20130217,   46,    0
 11109,156871,20130218,   42,    0
 11109,156871,20130219,   38,    0
 11109,156871,20130220,   21,    0
 11109,156871,20130221,   11,    0
 11109,156871,20130222,    4,    0
 11109,156871,20130223,   10,    0
 11109,156871,20130224,   14,    0
 11109,156871,20130225,   23,    0
 11109,156871,20130226,   34,    0
 11109,156871,20130227,   45,    0
 11109,156871,20130228,   36,    0
 11109,156871,20130301,   38,    0
 11109,156871,20130302,   54,    0
 11109,156871,20130303,   16,    0
 11109,156871,20130304,   49,    0
 11109,156871,20130305,   62,    0
 11109,156871,20130306,   51,    0
 11109,156871,20130307,   60,    0
 11109,156871,20130308,   73,    0
 11109,156871,20130309,   55,    0
 11109,156871,20130310,   26,    0
 11109,156871,20130311,    1,    0
 11109,156871,20130312,    4,    0
 11109,156871,20130313,   28,    0
 11109,156871,20130314,   23,    0
 11109,156871,20130315,   50,    0
 11109,156871,20130316,   78,    0
 11109,156871,20130317,   34,    0
 11109,156871,20130318,   34,    0
 11109,156871,20130319,   36,    0
 11109,156871,20130320,   27,    0
 11109,156871,20130321,   29,    0
 11109,156871,20130322,   31,    0
 11109,156871,20130323,    8,    0
 11109,156871,20130324,   -4,    0
 11109,156871,20130325,   14,    0
 11109,156871,20130326,   15,    0
 11109,156871,20130327,   10,    0
 11109,156871,20130328,   16,    0
 11109,156871,20130329,   12,    0
 11109,156871,20130330,   13,    0
 11109,156871,20130331,    6,    0
 11109,156871,20130401,   17,    0
 11109,156871,20130402,   31,    0
 11109,156871,20130403,   28,    0
 11109,156871,20130404,   32,    0
 11109,156871,20130405,   42,    0
 11109,156871,20130406,   37,    0
 11109,156871,20130407,   34,    0
 11109,156871,20130408,   64,    0
 11109,156871,20130409,   61,    0
 11109,156871,20130410,   70,    0
 11109,156871,20130411,   69,    0
 11109,156871,20130412,   93,    0
 11109,156871,20130413,  112,    0
 11109,156871,20130414,  129,    0
 11109,156871,20130415,  131,    0
 11109,156871,20130416,  130,    0
 11109,156871,20130417,  111,    0
 11109,156871,20130418,  111,    0
 11109,156871,20130419,   98,    0
 11109,156871,20130420,   87,    0
 11109,156871,20130421,   75,    0
 11109,156871,20130422,   98,    0
 11109,156871,20130423,  133,    0
 11109,156871,20130424,  122,    0
 11109,156871,20130425,  140,    0
 11109,156871,20130426,   85,    0
 11109,156871,20130427,   68,    0
 11109,156871,20130428,   70,    0
 11109,156871,20130429,   88,    0
 11109,156871,20130430,   71,    0
 11109,156871,20130501,   81,    0
 11109,156871,20130502,   99,    0
 11109,156871,20130503,  105,    0
 11109,156871,20130504,  129,    0
 11109,156871,20130505,  130,    0
 11109,156871,20130506,  124,    0
 11109,156871,20130507,  143,    0
 11109,156871,20130508,  149,    0
 11109,156871,20130509,  102,    0
 11109,156871,20130510,  131,    0
 11109,156871,20130511,  103,    0
 11109,156871,20130512,   89,    0
 11109,156871,20130513,  111,    0
 11109,156871,20130514,   66,    0
 11109,156871,20130515,   93,    0
 11109,156871,20130516,   87,    0
 11109,156871,20130517,   93,    0
 11109,156871,20130518,  110,    0
 11109,156871,20130519,  122,    0
 11109,156871,20130520,  129,    0
 11109,156871,20130521,  126,    0
 11109,156871,20130522,  104,    0
 11109,156871,20130523,   82,    0
 11109,156871,20130524,   81,    0
 11109,156871,20130525,   97,    0
 11109,156871,20130526,  116,    0
 11109,156871,20130527,  115,    0
 11109,156871,20130528,   98,    0
 11109,156871,20130529,  107,    0
 11109,156871,20130530,  130,    0
 11109,156871,20130531,  156,    0
 11109,156871,20130601,  116,    0
 11109,156871,20130602,  115,    0
 11109,156871,20130603,  124,    0
 11109,156871,20130604,  126,    0
 11109,156871,20130605,  135,    0
 11109,156871,20130606,  133,    0
 11109,156871,20130607,  133,    0
 11109,156871,20130608,  136,    0
 11109,156871,20130609,  138,    0
 11109,156871,20130610,  109,    0
 11109,156871,20130611,  139,    0
 11109,156871,20130612,  156,    0
 11109,156871,20130613,  159,    0
 11109,156871,20130614,  136,    0
 11109,156871,20130615,  126,    0
 11109,156871,20130616,  132,    0
 11109,156871,20130617,  146,    0
 11109,156871,20130618,  153,    0
 11109,156871,20130619,  193,    0
 11109,156871,20130620,  162,    0
 11109,156871,20130621,  177,    0
 11109,156871,20130622,  146,    0
 11109,156871,20130623,  145,    0
 11109,156871,20130624,  133,    0
 11109,156871,20130625,  134,    0
 11109,156871,20130626,  167,    0
 11109,156871,20130627,  145,    0
 11109,156871,20130628,  164,    0
 11109,156871,20130629,  169,    0
 11109,156871,20130630,  184,    0
 11109,156871,20130701,  150,    0
 11109,156871,20130702,  135,    0
 11109,156871,20130703,  165,    0
 11109,156871,20130704,  174,    0
 11109,156871,20130705,  167,    0
 11109,156871,20130706,  197,    0
 11109,156871,20130707,  199,    0
 11109,156871,20130708,  200,    0
 11109,156871,20130709,  190,    0
 11109,156871,20130710,  185,    0
 11109,156871,20130711,  171,    0
 11109,156871,20130712,  188,    0
 11109,156871,20130713,  225,    0
 11109,156871,20130714,  216,    0
 11109,156871,20130715,  200,    0
 11109,156871,20130716,  206,    0
 11109,156871,20130717,  213,    0
 11109,156871,20130718,  217,    0
 11109,156871,20130719,  209,    0
 11109,156871,20130720,  194,    0
 11109,156871,20130721,  193,    0
 11109,156871,20130722,  235,    0
 11109,156871,20130723,  216,    0
 11109,156871,20130724,  206,    0
 11109,156871,20130725,  209,    0
 11109,156871,20130726,  188,    0
 11109,156871,20130727,  182,    0
 11109,156871,20130728,  190,    0
 11109,156871,20130729,  193,    0
 11109,156871,20130730,  191,    0
 11109,156871,20130731,  189,    0
 11109,156871,20130801,  235,    0
 11109,156871,20130802,  206,    0
 11109,156871,20130803,  185,    0
 11109,156871,20130804,  168,    0
 11109,156871,20130805,  193,    0
 11109,156871,20130806,  152,    0
 11109,156871,20130807,  171,    0
 11109,156871,20130808,  167,    0
 11109,156871,20130809,  187,    0
 11109,156871,20130810,  164,    0
 11109,156871,20130811,  171,    0
 11109,156871,20130812,  162,    0
 11109,156871,20130813,  140,    0
 11109,156871,20130814,  150,    0
 11109,156871,20130815,  202,    0
 11109,156871,20130816,  205,    0
 11109,156871,20130817,  159,    0
 11109,156871,20130818,  184,    0
 11109,156871,20130819,  153,    0
 11109,156871,20130820,  176,    0
 11109,156871,20130821,  171,    0
 11109,156871,20130822,  210,    0
 11109,156871,20130823,  195,    0
 11109,156871,20130824,  163,    0
 11109,156871,20130825,  174,    0
 11109,156871,20130826,  195,    0
 11109,156871,20130827,  168,    0
 11109,156871,20130828,  171,    0
 11109,156871,20130829,  175,    0
 11109,156871,20130830,  194,    0
 11109,156871,20130831,  146,    0
 11109,156871,20130901,  148,    0
 11109,156871,20130902,  174,    0
 11109,156871,20130903,  175,    0
 11109,156871,20130904,  183,    0
 11109,156871,20130905,  172,    0
 11109,156871,20130906,  138,    0
 11109,156871,20130907,  132,    0
 11109,156871,20130908,  130,    0
 11109,156871,20130909,  130,    0
 11109,156871,20130910,  119,    0
 11109,156871,20130911,  124,    0
 11109,156871,20130912,  173,    0
 11109,156871,20130913,  156,    0
 11109,156871,20130914,  119,    0
 11109,156871,20130915,  104,    0
 11109,156871,20130916,  110,    0
 11109,156871,20130917,  100,    0
 11109,156871,20130918,  126,    0
 11109,156871,20130919,  139,    0
 11109,156871,20130920,  141,    0
 11109,156871,20130921,  153,    0
 11109,156871,20130922,  176,    0
 11109,156871,20130923,  166,    0
 11109,156871,20130924,  167,    0
 11109,156871,20130925,  163,    0
 11109,156871,20130926,  149,    0
 11109,156871,20130927,  147,    0
 11109,156871,20130928,  144,    0
 11109,156871,20130929,  157,    0
 11109,156871,20130930,  152,    0
 11109,156871,20131001,  139,    0
 11109,156871,20131002,  167,    0
 11109,156871,20131003,  166,    0
 11109,156871,20131004,  176,    0
 11109,156871,20131005,  158,    0
 11109,156871,20131006,  135,    0
 11109,156871,20131007,  160,    0
 11109,156871,20131008,  170,    0
 11109,156871,20131009,  134,    0
 11109,156871,20131010,   88,    0
 11109,156871,20131011,  101,    0
 11109,156871,20131012,  124,    0
 11109,156871,20131013,  107,    0
 11109,156871,20131014,  103,    0
 11109,156871,20131015,  102,    0
 11109,156871,20131016,  116,    0
 11109,156871,20131017,  137,    0
 11109,156871,20131018,  136,    0
 11109,156871,20131019,  160,    0
 11109,156871,20131020,  147,    0
 11109,156871,20131021,  146,    0
 11109,156871,20131022,  160,    0
 11109,156871,20131023,  140,    0
 11109,156871,20131024,  120,    0
 11109,156871,20131025,  149,    0
 11109,156871,20131026,  149,    0
 11109,156871,20131027,  121,    0
 11109,156871,20131028,  108,    0
 11109,156871,20131029,   95,    0
 11109,156871,20131030,   91,    0
 11109,156871,20131031,  101,    0
 11109,156871,20131101,  115,    0
 11109,156871,20131102,  109,    0
 11109,156871,20131103,   91,    0
 11109,156871,20131104,   70,    0
 11109,156871,20131105,   79,    0
 11109,156871,20131106,  107,    0
 11109,156871,20131107,   85,    0
 11109,156871,20131108,   78,    0
 11109,156871,20131109,   60,    0
 11109,156871,20131110,   66,    0
 11109,156871,20131111,   89,    0
 11109,156871,20131112,  103,    0
 11109,156871,20131113,   53,    0
 11109,156871,20131114,   60,    0
 11109,156871,20131115,   38,    0
 11109,156871,20131116,   58,    0
 11109,156871,20131117,   72,    0
 11109,156871,20131118,   79,    0
 11109,156871,20131119,   38,    0
 11109,156871,20131120,   33,    0
 11109,156871,20131121,   63,    0
 11109,156871,20131122,   44,    0
 11109,156871,20131123,   23,    0
 11109,156871,20131124,   41,    0
 11109,156871,20131125,   38,    0
 11109,156871,20131126,   32,    0
 11109,156871,20131127,   48,    0
 11109,156871,20131128,   82,    0
 11109,156871,20131129,   92,    0
 11109,156871,20131130,   57,    0
 11109,156871,20131201,   57,    0
 11109,156871,20131202,   57,    0
 11109,156871,20131203,   62,    0
 11109,156871,20131204,   65,    0
 11109,156871,20131205,   64,    0
 11109,156871,20131206,   47,    0
