EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156875) of UNITED KINGDOM, SUTTON BONINGTON (STAID: 11110)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11110,156875,20130101,   52,    0
 11110,156875,20130102,   74,    0
 11110,156875,20130103,   95,    0
 11110,156875,20130104,   98,    0
 11110,156875,20130105,  100,    0
 11110,156875,20130106,   69,    0
 11110,156875,20130107,   76,    0
 11110,156875,20130108,   96,    0
 11110,156875,20130109,   39,    0
 11110,156875,20130110,    4,    0
 11110,156875,20130111,   18,    0
 11110,156875,20130112,   20,    0
 11110,156875,20130113,   13,    0
 11110,156875,20130114,    8,    0
 11110,156875,20130115,    5,    0
 11110,156875,20130116,  -34,    0
 11110,156875,20130117,  -23,    0
 11110,156875,20130118,   -9,    0
 11110,156875,20130119,  -11,    0
 11110,156875,20130120,    3,    0
 11110,156875,20130121,   -8,    0
 11110,156875,20130122,  -24,    0
 11110,156875,20130123,  -27,    0
 11110,156875,20130124,    6,    0
 11110,156875,20130125,   -5,    0
 11110,156875,20130126,   50,    0
 11110,156875,20130127,   50,    0
 11110,156875,20130128,   65,    0
 11110,156875,20130129,   88,    0
 11110,156875,20130130,   95,    0
 11110,156875,20130131,   74,    0
 11110,156875,20130201,   61,    0
 11110,156875,20130202,   35,    0
 11110,156875,20130203,   48,    0
 11110,156875,20130204,   64,    0
 11110,156875,20130205,   34,    0
 11110,156875,20130206,   37,    0
 11110,156875,20130207,   24,    0
 11110,156875,20130208,   28,    0
 11110,156875,20130209,   16,    0
 11110,156875,20130210,   31,    0
 11110,156875,20130211,   13,    0
 11110,156875,20130212,   12,    0
 11110,156875,20130213,   20,    0
 11110,156875,20130214,   44,    0
 11110,156875,20130215,   61,    0
 11110,156875,20130216,   42,    0
 11110,156875,20130217,   50,    0
 11110,156875,20130218,   44,    0
 11110,156875,20130219,   32,    0
 11110,156875,20130220,    6,    0
 11110,156875,20130221,-9999,    9
 11110,156875,20130222,-9999,    9
 11110,156875,20130223,   13,    0
 11110,156875,20130224,   16,    0
 11110,156875,20130225,   23,    0
 11110,156875,20130226,   33,    0
 11110,156875,20130227,   51,    0
 11110,156875,20130228,   39,    0
 11110,156875,20130301,   47,    0
 11110,156875,20130302,   59,    0
 11110,156875,20130303,   34,    0
 11110,156875,20130304,   47,    0
 11110,156875,20130305,   15,    0
 11110,156875,20130306,   25,    0
 11110,156875,20130307,   60,    0
 11110,156875,20130308,   52,    0
 11110,156875,20130309,   46,    0
 11110,156875,20130310,   16,    0
 11110,156875,20130311,   -9,    0
 11110,156875,20130312,   11,    0
 11110,156875,20130313,   34,    0
 11110,156875,20130314,   17,    0
 11110,156875,20130315,   46,    0
 11110,156875,20130316,   68,    0
 11110,156875,20130317,   29,    0
 11110,156875,20130318,   18,    0
 11110,156875,20130319,   28,    0
 11110,156875,20130320,   22,    0
 11110,156875,20130321,   22,    0
 11110,156875,20130322,   16,    0
 11110,156875,20130323,    3,    0
 11110,156875,20130324,   -6,    0
 11110,156875,20130325,    1,    0
 11110,156875,20130326,   14,    0
 11110,156875,20130327,   11,    0
 11110,156875,20130328,   14,    0
 11110,156875,20130329,   14,    0
 11110,156875,20130330,   11,    0
 11110,156875,20130331,    5,    0
 11110,156875,20130401,   18,    0
 11110,156875,20130402,   26,    0
 11110,156875,20130403,   32,    0
 11110,156875,20130404,   37,    0
 11110,156875,20130405,   40,    0
 11110,156875,20130406,   50,    0
 11110,156875,20130407,   37,    0
 11110,156875,20130408,   43,    0
 11110,156875,20130409,   62,    0
 11110,156875,20130410,   51,    0
 11110,156875,20130411,   58,    0
 11110,156875,20130412,   78,    0
 11110,156875,20130413,   89,    0
 11110,156875,20130414,  137,    0
 11110,156875,20130415,  136,    0
 11110,156875,20130416,  128,    0
 11110,156875,20130417,  118,    0
 11110,156875,20130418,  119,    0
 11110,156875,20130419,   95,    0
 11110,156875,20130420,   71,    0
 11110,156875,20130421,   74,    0
 11110,156875,20130422,   87,    0
 11110,156875,20130423,  125,    0
 11110,156875,20130424,  123,    0
 11110,156875,20130425,  139,    0
 11110,156875,20130426,   92,    0
 11110,156875,20130427,   60,    0
 11110,156875,20130428,   65,    0
 11110,156875,20130429,   88,    0
 11110,156875,20130430,   70,    0
 11110,156875,20130501,   72,    0
 11110,156875,20130502,   93,    0
 11110,156875,20130503,   93,    0
 11110,156875,20130504,  124,    0
 11110,156875,20130505,  125,    0
 11110,156875,20130506,  123,    0
 11110,156875,20130507,  130,    0
 11110,156875,20130508,  148,    0
 11110,156875,20130509,  103,    0
 11110,156875,20130510,  134,    0
 11110,156875,20130511,   91,    0
 11110,156875,20130512,   88,    0
 11110,156875,20130513,  105,    0
 11110,156875,20130514,   78,    0
 11110,156875,20130515,   89,    0
 11110,156875,20130516,   79,    0
 11110,156875,20130517,   93,    0
 11110,156875,20130518,  107,    0
 11110,156875,20130519,  117,    0
 11110,156875,20130520,  143,    0
 11110,156875,20130521,  129,    0
 11110,156875,20130522,  116,    0
 11110,156875,20130523,   71,    0
 11110,156875,20130524,   77,    0
 11110,156875,20130525,  100,    0
 11110,156875,20130526,  100,    0
 11110,156875,20130527,  115,    0
 11110,156875,20130528,  110,    0
 11110,156875,20130529,  112,    0
 11110,156875,20130530,  130,    0
 11110,156875,20130531,  157,    0
 11110,156875,20130601,  127,    0
 11110,156875,20130602,  131,    0
 11110,156875,20130603,  121,    0
 11110,156875,20130604,  114,    0
 11110,156875,20130605,  122,    0
 11110,156875,20130606,  135,    0
 11110,156875,20130607,  132,    0
 11110,156875,20130608,  114,    0
 11110,156875,20130609,  134,    0
