EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156879) of UNITED KINGDOM, WIGHT ST CATHERINES POINT (STAID: 11111)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11111,156879,20140101,   85,    0
 11111,156879,20140102,   99,    0
 11111,156879,20140103,   94,    0
 11111,156879,20140104,   81,    0
 11111,156879,20140105,   80,    0
 11111,156879,20140106,  100,    0
 11111,156879,20140107,  106,    0
 11111,156879,20140108,   96,    0
 11111,156879,20140109,   98,    0
 11111,156879,20140110,   94,    0
 11111,156879,20140111,   78,    0
 11111,156879,20140112,   75,    0
 11111,156879,20140113,   84,    0
 11111,156879,20140114,   71,    0
 11111,156879,20140115,   74,    0
 11111,156879,20140116,   94,    0
 11111,156879,20140117,   83,    0
 11111,156879,20140118,   89,    0
 11111,156879,20140119,   73,    0
 11111,156879,20140120,   84,    0
 11111,156879,20140121,   66,    0
 11111,156879,20140122,   91,    0
 11111,156879,20140123,   77,    0
 11111,156879,20140124,   81,    0
 11111,156879,20140125,   92,    0
 11111,156879,20140126,   89,    0
 11111,156879,20140127,   73,    0
 11111,156879,20140128,   80,    0
 11111,156879,20140129,   65,    0
 11111,156879,20140130,   56,    0
 11111,156879,20140131,   67,    0
 11111,156879,20140201,   72,    0
 11111,156879,20140202,   77,    0
 11111,156879,20140203,   80,    0
 11111,156879,20140204,   78,    0
 11111,156879,20140205,   86,    0
 11111,156879,20140206,   89,    0
 11111,156879,20140207,   76,    0
 11111,156879,20140208,   81,    0
 11111,156879,20140209,   68,    0
 11111,156879,20140210,   71,    0
 11111,156879,20140211,   76,    0
 11111,156879,20140212,   77,    0
 11111,156879,20140213,   58,    0
 11111,156879,20140214,   81,    0
 11111,156879,20140215,   77,    0
 11111,156879,20140216,   85,    0
 11111,156879,20140217,   82,    0
 11111,156879,20140218,   94,    0
 11111,156879,20140219,   84,    0
 11111,156879,20140220,   94,    0
 11111,156879,20140221,   74,    0
 11111,156879,20140222,   78,    0
 11111,156879,20140223,   98,    0
 11111,156879,20140224,   99,    0
 11111,156879,20140225,   81,    0
 11111,156879,20140226,   85,    0
 11111,156879,20140227,   88,    0
 11111,156879,20140228,   73,    0
 11111,156879,20140301,   57,    0
 11111,156879,20140302,   72,    0
 11111,156879,20140303,   69,    0
 11111,156879,20140304,   69,    0
 11111,156879,20140305,   78,    0
 11111,156879,20140306,   89,    0
 11111,156879,20140307,  100,    0
 11111,156879,20140308,   99,    0
 11111,156879,20140309,  114,    0
 11111,156879,20140310,  124,    0
 11111,156879,20140311,   82,    0
 11111,156879,20140312,   99,    0
 11111,156879,20140313,   94,    0
 11111,156879,20140314,   65,    0
 11111,156879,20140315,   87,    0
 11111,156879,20140316,  107,    0
 11111,156879,20140317,   99,    0
 11111,156879,20140318,   93,    0
 11111,156879,20140319,   95,    0
 11111,156879,20140320,   93,    0
 11111,156879,20140321,   82,    0
 11111,156879,20140322,   67,    0
 11111,156879,20140323,   81,    0
 11111,156879,20140324,   58,    0
 11111,156879,20140325,   84,    0
 11111,156879,20140326,   59,    0
 11111,156879,20140327,   62,    0
 11111,156879,20140328,   83,    0
 11111,156879,20140329,   93,    0
 11111,156879,20140330,  127,    0
 11111,156879,20140331,  127,    0
 11111,156879,20140401,  103,    0
 11111,156879,20140402,  121,    0
 11111,156879,20140403,  136,    0
 11111,156879,20140404,  103,    0
 11111,156879,20140405,   98,    0
 11111,156879,20140406,  115,    0
 11111,156879,20140407,  113,    0
 11111,156879,20140408,   96,    0
 11111,156879,20140409,   93,    0
 11111,156879,20140410,   95,    0
 11111,156879,20140411,  119,    0
 11111,156879,20140412,  109,    0
 11111,156879,20140413,  112,    0
 11111,156879,20140414,  106,    0
 11111,156879,20140415,   91,    0
 11111,156879,20140416,   98,    0
 11111,156879,20140417,  106,    0
 11111,156879,20140418,  101,    0
 11111,156879,20140419,   83,    0
 11111,156879,20140420,  103,    0
 11111,156879,20140421,  115,    0
 11111,156879,20140422,  110,    0
 11111,156879,20140423,  109,    0
 11111,156879,20140424,  103,    0
 11111,156879,20140425,  110,    0
 11111,156879,20140426,  115,    0
 11111,156879,20140427,  114,    0
 11111,156879,20140428,  123,    0
 11111,156879,20140429,  115,    0
 11111,156879,20140430,  105,    0
 11111,156879,20140501,  113,    0
 11111,156879,20140502,  117,    0
 11111,156879,20140503,   81,    0
 11111,156879,20140504,   95,    0
 11111,156879,20140505,  116,    0
 11111,156879,20140506,  126,    0
 11111,156879,20140507,  122,    0
 11111,156879,20140508,  119,    0
 11111,156879,20140509,  124,    0
 11111,156879,20140510,  122,    0
 11111,156879,20140511,  117,    0
 11111,156879,20140512,  118,    0
 11111,156879,20140513,  123,    0
 11111,156879,20140514,  124,    0
 11111,156879,20140515,  132,    0
 11111,156879,20140516,  128,    0
 11111,156879,20140517,  139,    0
 11111,156879,20140518,  143,    0
 11111,156879,20140519,  164,    0
 11111,156879,20140520,  140,    0
 11111,156879,20140521,  128,    0
 11111,156879,20140522,  135,    0
 11111,156879,20140523,  124,    0
 11111,156879,20140524,  119,    0
 11111,156879,20140525,  131,    0
 11111,156879,20140526,  123,    0
 11111,156879,20140527,  135,    0
 11111,156879,20140528,  121,    0
 11111,156879,20140529,  141,    0
 11111,156879,20140530,  150,    0
 11111,156879,20140531,  137,    0
 11111,156879,20140601,  145,    0
 11111,156879,20140602,  145,    0
 11111,156879,20140603,  140,    0
 11111,156879,20140604,  129,    0
 11111,156879,20140605,  127,    0
 11111,156879,20140606,  148,    0
 11111,156879,20140607,  162,    0
 11111,156879,20140608,  161,    0
 11111,156879,20140609,  164,    0
 11111,156879,20140610,  145,    0
 11111,156879,20140611,  164,    0
 11111,156879,20140612,  172,    0
 11111,156879,20140613,  174,    0
 11111,156879,20140614,  176,    0
 11111,156879,20140615,  155,    0
 11111,156879,20140616,  149,    0
 11111,156879,20140617,  156,    0
