EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156883) of UNITED KINGDOM, WISLEY (STAID: 11112)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
 11112,156883,20140101,   80,    0
 11112,156883,20140102,   86,    0
 11112,156883,20140103,   87,    0
 11112,156883,20140104,   86,    0
 11112,156883,20140105,   51,    0
 11112,156883,20140106,   72,    0
 11112,156883,20140107,  105,    0
 11112,156883,20140108,   96,    0
 11112,156883,20140109,  105,    1
 11112,156883,20140110,   63,    0
 11112,156883,20140111,   77,    0
 11112,156883,20140112,   27,    0
 11112,156883,20140113,   62,    0
 11112,156883,20140114,   50,    0
 11112,156883,20140115,   54,    0
 11112,156883,20140116,   90,    0
 11112,156883,20140117,   83,    0
 11112,156883,20140118,   75,    0
 11112,156883,20140119,   83,    0
 11112,156883,20140120,   39,    0
 11112,156883,20140121,   44,    0
 11112,156883,20140122,   42,    0
 11112,156883,20140123,   66,    0
 11112,156883,20140124,   57,    0
 11112,156883,20140125,   62,    0
 11112,156883,20140126,   82,    0
 11112,156883,20140127,   61,    0
 11112,156883,20140128,   58,    0
 11112,156883,20140129,   73,    1
 11112,156883,20140130,   37,    0
 11112,156883,20140131,   28,    0
 11112,156883,20140201,   54,    0
 11112,156883,20140202,   65,    0
 11112,156883,20140203,   71,    0
 11112,156883,20140204,   65,    0
 11112,156883,20140205,   74,    0
 11112,156883,20140206,   83,    0
 11112,156883,20140207,   70,    0
 11112,156883,20140208,   72,    0
 11112,156883,20140209,   73,    0
 11112,156883,20140210,   65,    0
 11112,156883,20140211,   60,    0
 11112,156883,20140212,   57,    0
 11112,156883,20140213,   64,    0
 11112,156883,20140214,   53,    0
 11112,156883,20140215,   83,    0
 11112,156883,20140216,   65,    0
 11112,156883,20140217,   66,    0
 11112,156883,20140218,   90,    0
 11112,156883,20140219,   73,    0
 11112,156883,20140220,   85,    0
 11112,156883,20140221,   80,    0
 11112,156883,20140222,   74,    0
 11112,156883,20140223,   91,    0
 11112,156883,20140224,   94,    0
 11112,156883,20140225,  111,    0
 11112,156883,20140226,   75,    0
 11112,156883,20140227,   85,    0
 11112,156883,20140228,   69,    0
 11112,156883,20140301,   57,    0
 11112,156883,20140302,   56,    0
 11112,156883,20140303,   61,    0
 11112,156883,20140304,   42,    0
 11112,156883,20140305,   50,    0
 11112,156883,20140306,   84,    0
 11112,156883,20140307,   93,    0
 11112,156883,20140308,  109,    0
 11112,156883,20140309,  113,    0
 11112,156883,20140310,  100,    0
 11112,156883,20140311,  101,    0
 11112,156883,20140312,   71,    0
 11112,156883,20140313,   83,    0
 11112,156883,20140314,   91,    0
 11112,156883,20140315,  100,    0
 11112,156883,20140316,  126,    0
 11112,156883,20140317,  122,    0
 11112,156883,20140318,  107,    0
 11112,156883,20140319,  105,    0
 11112,156883,20140320,  117,    0
 11112,156883,20140321,   96,    0
 11112,156883,20140322,   78,    0
 11112,156883,20140323,   64,    0
 11112,156883,20140324,   40,    0
 11112,156883,20140325,   84,    0
 11112,156883,20140326,   36,    0
 11112,156883,20140327,   42,    0
 11112,156883,20140328,   53,    0
 11112,156883,20140329,   99,    0
 11112,156883,20140330,  112,    0
 11112,156883,20140331,  148,    0
 11112,156883,20140401,  111,    0
 11112,156883,20140402,  133,    0
 11112,156883,20140403,  143,    0
 11112,156883,20140404,  145,    0
 11112,156883,20140405,   91,    0
 11112,156883,20140406,  130,    0
 11112,156883,20140407,  141,    0
 11112,156883,20140408,   97,    0
 11112,156883,20140409,   89,    0
 11112,156883,20140410,  109,    0
 11112,156883,20140411,  128,    0
 11112,156883,20140412,   96,    0
 11112,156883,20140413,  107,    0
 11112,156883,20140414,  107,    0
 11112,156883,20140415,   78,    0
 11112,156883,20140416,   72,    0
 11112,156883,20140417,   95,    0
 11112,156883,20140418,  107,    0
 11112,156883,20140419,   62,    0
 11112,156883,20140420,  100,    0
 11112,156883,20140421,   77,    0
 11112,156883,20140422,  140,    0
 11112,156883,20140423,  114,    0
 11112,156883,20140424,  127,    0
 11112,156883,20140425,  129,    0
 11112,156883,20140426,  105,    0
 11112,156883,20140427,  124,    0
 11112,156883,20140428,  117,    0
 11112,156883,20140429,  115,    0
 11112,156883,20140430,  110,    0
 11112,156883,20140501,  144,    1
 11112,156883,20140502,  112,    0
 11112,156883,20140503,   62,    0
 11112,156883,20140504,   83,    0
 11112,156883,20140505,   94,    0
 11112,156883,20140506,  150,    0
 11112,156883,20140507,  147,    0
 11112,156883,20140508,  136,    0
 11112,156883,20140509,  131,    0
 11112,156883,20140510,  139,    0
 11112,156883,20140511,  129,    0
 11112,156883,20140512,  119,    0
 11112,156883,20140513,  115,    0
 11112,156883,20140514,  102,    0
 11112,156883,20140515,  115,    0
 11112,156883,20140516,  129,    0
 11112,156883,20140517,  150,    0
 11112,156883,20140518,  160,    0
 11112,156883,20140519,  166,    0
 11112,156883,20140520,  193,    0
 11112,156883,20140521,  130,    0
 11112,156883,20140522,  151,    0
 11112,156883,20140523,  142,    0
 11112,156883,20140524,  132,    0
 11112,156883,20140525,  126,    0
 11112,156883,20140526,  116,    0
 11112,156883,20140527,  115,    0
 11112,156883,20140528,  112,    0
 11112,156883,20140529,  132,    0
 11112,156883,20140530,  156,    0
 11112,156883,20140531,  102,    0
 11112,156883,20140601,  142,    0
 11112,156883,20140602,  173,    0
 11112,156883,20140603,  156,    0
 11112,156883,20140604,  160,    1
 11112,156883,20140605,  112,    0
 11112,156883,20140606,  118,    0
 11112,156883,20140607,  179,    0
 11112,156883,20140608,  165,    0
 11112,156883,20140609,  176,    0
 11112,156883,20140610,  178,    0
 11112,156883,20140611,  156,    0
 11112,156883,20140612,  156,    0
 11112,156883,20140613,  175,    0
 11112,156883,20140614,  199,    0
 11112,156883,20140615,  178,    0
 11112,156883,20140616,  150,    0
 11112,156883,20140617,  155,    0
 11112,156883,20140618,  167,    0
 11112,156883,20140619,  153,    0
 11112,156883,20140620,  144,    0
 11112,156883,20140621,  169,    0
 11112,156883,20140622,  163,    0
 11112,156883,20140623,  178,    0
 11112,156883,20140624,  191,    0
 11112,156883,20140625,  168,    0
 11112,156883,20140626,  146,    0
 11112,156883,20140627,  173,    0
 11112,156883,20140628,  167,    0
 11112,156883,20140629,  160,    0
 11112,156883,20140630,  139,    0
 11112,156883,20140701,  138,    0
 11112,156883,20140702,  148,    0
 11112,156883,20140703,  169,    0
 11112,156883,20140704,  184,    0
 11112,156883,20140705,  206,    0
 11112,156883,20140706,  169,    0
 11112,156883,20140707,  146,    0
 11112,156883,20140708,  151,    0
 11112,156883,20140709,  153,    0
 11112,156883,20140710,  177,    0
 11112,156883,20140711,  157,    0
 11112,156883,20140712,  170,    0
 11112,156883,20140713,  216,    0
 11112,156883,20140714,  163,    0
 11112,156883,20140715,  201,    0
 11112,156883,20140716,  185,    0
 11112,156883,20140717,  206,    0
 11112,156883,20140718,  226,    0
 11112,156883,20140719,  232,    0
 11112,156883,20140720,  212,    0
 11112,156883,20140721,  198,    0
 11112,156883,20140722,  191,    0
 11112,156883,20140723,  203,    0
 11112,156883,20140724,  212,    0
 11112,156883,20140725,  213,    0
 11112,156883,20140726,  213,    0
 11112,156883,20140727,  216,    0
 11112,156883,20140728,  192,    0
 11112,156883,20140729,  187,    0
 11112,156883,20140730,  189,    0
 11112,156883,20140731,  188,    0
 11112,156883,20140801,  189,    0
 11112,156883,20140802,  192,    0
 11112,156883,20140803,  167,    0
 11112,156883,20140804,  176,    0
 11112,156883,20140805,  167,    0
 11112,156883,20140806,  199,    0
 11112,156883,20140807,  188,    0
 11112,156883,20140808,  198,    0
 11112,156883,20140809,  184,    0
 11112,156883,20140810,  187,    0
 11112,156883,20140811,  171,    0
 11112,156883,20140812,  160,    0
 11112,156883,20140813,  157,    0
 11112,156883,20140814,  165,    0
 11112,156883,20140815,  157,    0
 11112,156883,20140816,  150,    0
 11112,156883,20140817,  174,    0
 11112,156883,20140818,  150,    0
 11112,156883,20140819,  145,    0
 11112,156883,20140820,  119,    0
 11112,156883,20140821,  114,    0
 11112,156883,20140822,  142,    0
 11112,156883,20140823,  137,    0
 11112,156883,20140824,  116,    0
