EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGHT   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  257,100897,CET CENTRAL ENGLAND                     ,GB,+52:25:12,-001:49:48,  78, TG5,18810101,20250131,   35,National Climate Information Centre (UKMO)        
  271,146811,ARMAGH OBSERVATORY                      ,GB,+54:21:00,-006:39:00,  62, TG5,18440101,20250130,   60,Michael Burton                                    
  272,100928,ESKDALEMUIR                             ,GB,+55:19:00,-003:12:00, 242, TG5,19540101,20250131,   35,National Climate Information Centre (UKMO)        
  273,100930,HULL                                    ,GB,+53:45:21,-000:21:23,   2, TG5,19050602,20100917,   35,National Climate Information Centre (UKMO)        
  274,100929,RADCLIFFE METEOROLOGICAL STATION OXFORD ,GB,+51:45:40,-001:15:50,  63, TG5,18150101,20250131,   77,The Radcliffe Meteorological Station              
  275,100931,WICK                                    ,GB,+58:27:00,-003:05:00,  36, TG5,19301201,20250131,   35,National Climate Information Centre (UKMO)        
  348,106714,LERWICK                                 ,GB,+60:08:00,-001:11:00,  82, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
  349,106715,STORNOWAY AIRPORT                       ,GB,+58:12:49,-006:19:03,  15, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
  350,106716,VALLEY                                  ,GB,+53:15:00,-004:32:00,  11, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
  351,106717,WADDINGTON                              ,GB,+53:09:58,-000:31:26,  68, TG5,20010101,20250123,   35,National Climate Information Centre (UKMO)        
  352,106718,CAMBORNE                                ,GB,+50:13:00,-005:19:00,  88, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
  461,156851,DURHAM                                  ,GB,+54:46:04,-001:35:04, 102, TG5,18800102,20250131,   35,National Climate Information Centre (UKMO)        
 1627,106930,KIRKWALL                                ,GB,+58:57:00,-002:54:00,  26, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
 1628,106931,KINLOSS                                 ,GB,+57:39:00,-003:34:12,   5, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
 1629,106932,CRAIBSTONE                              ,GB,+57:10:48,-002:12:00, 102, TG5,20010101,20210822,   35,National Climate Information Centre (UKMO)        
 1630,106933,MYLNEFIELD                              ,GB,+56:27:00,-003:04:12,  31, TG5,20010101,20250122,   35,National Climate Information Centre (UKMO)        
 1631,106934,RINGWAY                                 ,GB,+53:21:00,-002:16:48,  69, TG5,20010101,20041030,   35,National Climate Information Centre (UKMO)        
 1632,106935,ASKHAM BRYAN                            ,GB,+53:55:12,-001:10:12,  32, TG5,20010101,20051031,   35,National Climate Information Centre (UKMO)        
 1633,106936,SHAWBURY                                ,GB,+52:48:00,-002:40:12,  72, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
 1634,106937,GOUDHURST                               ,GB,+51:04:48,+000:27:36,  85, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
 1635,106938,DALE FORT                               ,GB,+51:42:00,-005:09:00,  33, TG5,20010101,20240909,   35,National Climate Information Centre (UKMO)        
 1636,106939,PAISLEY                                 ,GB,+55:50:43,-004:25:46,  32, TG5,19140103,20110331,   35,National Climate Information Centre (UKMO)        
 1637,106940,CWMYSTWYTH                              ,GB,+52:21:00,-003:49:12, 301, TG5,20010101,20110629,   35,National Climate Information Centre (UKMO)        
 1638,106941,LONG ASHTON                             ,GB,+51:25:48,-002:40:12,  51, TG5,20010101,20020628,   35,National Climate Information Centre (UKMO)        
 1639,106942,CAMBRIDGE (B. GDNS)                     ,GB,+52:11:35,+000:07:55,  13, TG5,20010101,20241229,   35,National Climate Information Centre (UKMO)        
 1640,106943,ALDERGROVE                              ,GB,+54:39:00,-006:13:12,  81, TG5,20010101,20250131,   35,National Climate Information Centre (UKMO)        
 1800,106994,AUCHINCRUIVE                            ,GB,+55:28:37,-004:33:58,  48, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1801,106995,GLENLEE                                 ,GB,+55:05:56,-004:11:10,  55, TG5,19600101,20131010,   35,National Climate Information Centre (UKMO)        
 1802,106996,THREAVE                                 ,GB,+54:55:30,-003:57:00,  73, TG5,19610101,20250131,   35,National Climate Information Centre (UKMO)        
 1803,106997,RONALDSWAY                              ,GB,+54:05:06,-004:37:59,  16, TG5,19600101,20250131,   35,National Climate Information Centre (UKMO)        
 1804,106998,NEWTON RIGG                             ,GB,+54:40:11,-002:47:11, 169, TG5,19060103,20210717,   35,National Climate Information Centre (UKMO)        
